"EjemploID";"BIBLIOGRAFIA";"Cordemaforo";"AUTOR";"TITULO";"FECHA";"TEMA";"PAIS";"CONCORDANCIA";"Valido";"Reflexivo";"Complemento_de";"Aspecto_verbal";"Sujeto";"Perifrasis";"Observaciones"
340;"a1467 [tercer cuarto del siglo XV (1467)] ANÓNIMO, Traducción del Mapa mundi de San Isidoro [España] [María Teresa Herrera/María Nieves Sánchez, Salamanca, Universidad de Salamanca, 2000] Geografía";"R";"ANÓNIMO";"Traducción del Mapa mundi de San Isidoro";"a1467[tercer cuarto del siglo XV (1467)] ";"Geografía";"España";"natura que del morder que muerda tan solamente a los omes mueren; & otrosi en esta isla non naçe ninguna yerva mala, si non es una que semeja a la yerva que dizen Apiastrun, e esta yerva es de tal natura que encoje las bocas a los que la comen & ha semejança que les faze reir e sacales las almas a si; e esta isla es contra tierra de Mumidia; ay unas fuentes calientes en que sanan muchos enfermos e aqui çiegan los ladrones si sobre sacramento mojaren los ojos desta agua.";"si";"no";"no";"infinitivo";"animado";"causativa";
382;"c1499-1502 [s. XVI (1507)] ROJAS, FERNANDO DE, La Celestina. Tragicomedia de Calisto y Melibea [España] [Francisco J. Lobera/Guillermo Serés/Paloma Díaz-Mas/Carlos Mota/Íñigo Ruiz Arzálluz/Francisco Rico, Barcelona, Crítica, 2000] Teatro";;"ROJAS, FERNANDO DE";"La Celestina. Tragicomedia de Calisto y Melibea";"c1499-1502[s. XVI (1507)] ";"Teatro";"España";"CALISTO. Maldito seas, que hecho me has reír, lo que no pensé hogaño.";"si";"no";"no";"infinitivo";"animado";"causativa";
411;"a1524 TORRES NAHARRO, BARTOLOMÉ DE, «Comedia Aquilana»(Propaladia) [España] [Madrid, Turner, 1994] Verso";;"TORRES NAHARRO, BARTOLOMÉ DE";"Comedia Aquilana(Propaladia)";"a1524";"Verso";"España";"DANDARIO Para hazella reír nunca mejor has habrado. Ora ver, y para dalle a entender que la querías besar, ¿cómo havías de hazer?";"si";"no";"no";"infinitivo";"animado";"causativa";
473;"c1545-c1565 RUEDA, LOPE DE, Pasos [España] [Fernando González Ollé/Vicente Tusón, Madrid, Cátedra, 1981] Teatro";;"RUEDA, LOPE DE";"Pasos";"c1545-c1565";"Teatro";"España";"Alameda. ¡Ande d'ay, que me hará reír! Mejor beva yo que tal haga.";"si";"no";"no";"infinitivo";"animado";"causativa";
480;"c1545-1567 RUEDA, LOPE DE, Comedia llamada Armelina [España] [Alfredo Hermenegildo, Madrid, Cátedra, 2001] Teatro";;"RUEDA, LOPE DE";"Comedia llamada Armelina";"c1545-1567";"Teatro";"España";"Armelina. ¡Maldita seas!, que reír me has hecho.";"si";"no";"no";"infinitivo";"animado";"causativa";
541;"1575-1588 HUARTE DE SAN JUAN, JUAN, Examen de ingenios para las ciencias [España] [Guillermo Serés, Madrid, Cátedra, 1989] Literatura";;"HUARTE DE SAN JUAN, JUAN";"Examen de ingenios para las ciencias";"1575-1588";"Literatura";"España";"fodientes argentum quaerunt. * Y, así, procedió muy a larga contando los varios apetitos de los hombres y las locuras que hacen y dicen por razón de estar todos enfermos. Y concluyendo, le dijo que este mundo no era más que una casa de locos, cuya vida era una comedia graciosa representada para hacer reír a los hombres; y que ésta era la causa de que se reía tanto. Lo cual oído por Hipócrates, dijo públicamente a los abderitas:  Non insanit Democritus, sed super omnia sapit et nos sapientiores efficit. *";"si";"no";"no";"infinitivo";"animado";"causativa";
686;"1615 CERVANTES SAAVEDRA, MIGUEL DE, «Comedia famosa de Pedro de Urdemalas»(Ocho comedias y ocho entremeses nuevos nunca representados) [España] [Alcalá de Henares, Centro de Estudios Cervantinos, 1995] Verso";;"CERVANTES SAAVEDRA, MIGUEL DE";"Comedia famosa de Pedro de Urdemalas(Ocho comedias y ocho entremeses nuevos nunca representados)";1615;"Verso";"España";"Alcalde Tocado, a lo que imagino, señor, de la envidia estáis. Pues en verdad que hemos de ir con veinte y cuatro donceles como aquéllos, sin mentir, porque invenciones noveles, o admiran o hacen reír.";"si";"no";"no";"infinitivo";"animado";"causativa";
755;"1631 QUIÑONES DE BENAVENTE, LUIS, «Los planetas»(Jocoseria) [España] [Madrid, Universidad de Navarra. Iberoamericana. Vervuert, 2001] Verso";;"QUIÑONES DE BENAVENTE, LUIS";"Los planetas(Jocoseria)";1631;"Verso";"España";"Marte Solo para hacer reír.";"si";"no";"no";"infinitivo";"animado";"causativa";
757;"1632 VEGA CARPIO, LOPE DE, La Dorotea [España] [Donald McGrady, Madrid, Biblioteca Castro, 1998] Teatro";;"VEGA CARPIO, LOPE DE";"La Dorotea";1632;"Teatro";"España";"CELIA Y ¿qué padecen las mujeres con su crianza? ¡Eso que no es nada! Fuera de los dolores que les cuestan. ¡Quien los ve tan humildes, diciendo taita y mama, jugando con los pezones de los pechos, y a las pobres madres llamándolos reyes, emperadores y papas, y haciéndolos reír con las cosquillas! Y después, hechos unos leones, con tan malas palabras, con tan crueles obras; y lo que es más de llorar, ensangrentando a veces esos mismos pechos que los criaron.";"si";"no";"no";"infinitivo";"animado";"causativa";
784;"1635-1645 QUEVEDO Y VILLEGAS, FRANCISCO DE, La Fortuna con seso y la Hora de todos. Fantasía moral [España] [Lía Schwartz, Madrid, Castalia, 2003] Novela";;"QUEVEDO Y VILLEGAS, FRANCISCO DE";"La Fortuna con seso y la Hora de todos. Fantasía moral";"1635-1645";"Novela";"España";"El tratadillo, burla burlando, es de veras. Tiene cosas de las cosquillas, pues hace reír con enfado y desesperación. Extravagante reloj que dando una hora sola, no hay cosa que no señale con la mano. Bien sé que le han de leer unos para otros, y nadie para sí. Hagan lo que mandaren, y reciban unos y otros mi buena voluntad. Si no agradare lo que digo,";"si";"no";"no";"infinitivo";"animado";"causativa";
852;"1737 MAYANS Y SISCAR, GREGORIO, Vida de Miguel de Cervantes Saavedra [España] [Antonio Mestre Sanchis, Valencia, Ayuntamiento de Oliva-Diputación de Valencia, 1984] Literatura";;"MAYANS Y SISCAR, GREGORIO";"Vida de Miguel de Cervantes Saavedra";1737;"Literatura";"España";"ladrón juntamente, que el verdadero Sancho Panza soi yo que tengo más gracias que llovidas i, si no, haga V. M. la experiencia i ándese tras de mí por lo menos un año i verá que se me caen a cada passo, i tales i tantas que, sin saber yo las más veces lo que me digo, hago reír a quantos me escuchan; i el verdadero Don Quijote de la Mancha, el famoso, el valiente, i el discreto, el enamorado, el desfacedor de agravios, el tutor de pupilos i huérfanos, el amparo de las viudas, el mantenedor de las doncellas, el que tiene por única señora a la sin par Dulcinea del Toboso, es";"si";"no";"no";"infinitivo";"animado";"causativa";
882;"1757 JOSÉ DE RADA Y AGUIRRE, fragmento (1758 Isla, José Francisco de, Historia del famoso predicador Fray Gerundio de Campazas alias Zotes)  [España] [José Jurado, Madrid, Gredos, 1992] Novela";;"JOSÉ DE RADA Y AGUIRRE(Isla, José Francisco de)";"Historia del famoso predicador Fray Gerundio de Campazas alias Zotes";"1757(1758)";"Novela";"España";", fuera de ellos, al espectáculo: mirones y los que llamaba la antigüedad propiamente mimos y nosotros, tomándolo del italiano, decimos arlequines. El mirón no le pierde punto al jugador de manos; pero no acierta a conocer en qué consiste aquello. El arlequín le pretende imitar y sólo para en hacer  reír. Este será el asunto de mi oración: la luz de mi gran padre oculta para el diablo, sub modio. De suerte que, cuando éste le atienda al juego, cuando sea mirón, empleando toda su perspicacia, se le pasen las suertes más primorosas; y, cuando arlequín intente remedar su ligereza y rectitud";"si";"no";"no";"infinitivo";"animado";"causativa";
893;"1765 CRUZ, RAMÓN DE LA, El Prado por la noche [España] [John Dowling, Madrid, Castalia, 1986] Verso";;"CRUZ, RAMÓN DE LA";"El Prado por la noche";1765;"Verso";"España";"Granadina Chico tú ponte ahí a un lado cuanto no oigas lo que hablamos, y di cosas que nos hagan reír de los pasajeros.";"si";"no";"no";"infinitivo";"animado";"causativa";
933;"1785 TRIGUEROS, CÁNDIDO MARÍA, Teatro español burlesco o Quijote de los teatros [España] [M.ª José Rodríguez Sánchez de León, Salamanca, Grupo de Estudio del siglo XVIII, 2001] Relatos";;"TRIGUEROS, CÁNDIDO MARÍA";"Teatro español burlesco o Quijote de los teatros";1785;"Relatos";"España";", mal que les pese a sus padres o a sus mayores; dicen que todo esto se propone premiado con salirse con la suya, aunque hayan tenido por empleo poco menos que un imposible; dicen que todos los graciosos son unos glotones, borrachos y deshonestos en sus acciones y en sus dichos, tales que no parece puedan hacer reír si no desemballestan treinta desvergüenzas; dicen que, amén de esto que es general a todas las comedias, hay muchísimas de ellas que presentan picardías groseras, ejemplos de desobediencia, de trapacerías, de particular orgullo, de amor a la ociosidad, y de todas cuantas malas cosas se quiera V. pensar; todas las cuales no";"si";"no";"no";"infinitivo";"animado";"causativa";
934;"1785 TRIGUEROS, CÁNDIDO MARÍA, Teatro español burlesco o Quijote de los teatros [España] [M.ª José Rodríguez Sánchez de León, Salamanca, Grupo de Estudio del siglo XVIII, 2001] Relatos";;"TRIGUEROS, CÁNDIDO MARÍA";"Teatro español burlesco o Quijote de los teatros";1785;"Relatos";"España";"extranjeros. Bien conozco que en esto era de la misma opinión que aquellos otros muchos que acabo de decir, pero yo no me contento con eso. Quería que hubiese dicho que las comedias son absolutamente las mejores del mundo, y que ningunas son buenas sino ellas, y no solamente algunas sino todas me hacen reír, o me pasman o, por lo menos, me entretienen; pero de cualquier forma quedé más pacífico con este buen género de defensa, y me determiné a creer que no era necesaria la otra que yo iba a emprender.";"si";"no";"no";"infinitivo";"animado";"causativa";
936;"1785 TRIGUEROS, CÁNDIDO MARÍA, Teatro español burlesco o Quijote de los teatros [España] [M.ª José Rodríguez Sánchez de León, Salamanca, Grupo de Estudio del siglo XVIII, 2001] Relatos";;"TRIGUEROS, CÁNDIDO MARÍA";"Teatro español burlesco o Quijote de los teatros";1785;"Relatos";"España";"— Admírese en hora buena a quien V. quisiere, que yo no conozco a ninguno de esos caballeros, pero todos serán sin duda muy admirables. Mas ¿qué tienen que ver todos ellos y sus reglas con mi obra, ellos que todos juntos no serán capaces de hacer reír tanto como la menor hoja de esas comedias?";"si";"no";"no";"infinitivo";"animado";"causativa";
952;"1789 IGNACIO DE LUZÁN, fragmento (1737-a1754 Luzán, Ignacio de, La Poética o reglas de la poesía en general y de sus principales especies)  [España] [Russell P. Sebold, Barcelona, Labor, 1977] Literatura";;"IGNACIO DE LUZÁN(Luzán, Ignacio de)";"La Poética o reglas de la poesía en general y de sus principales especies";"1789(1737-a1754)";"Literatura";"España";"y mucho menos las Poéticas de Aristóteles y Horacio, ni regla alguna de poesía dramática; pero muy pronto se llegaron a conocer, no por los que escribían para dar sus composiciones a las compañías cómicas, que por lo común eran ignorantes y no pensaban en más reglas que la de sacar el dinero al vulgo, haciéndole reír, o entreteniéndole con necedades; sino por los hombres de erudición y buen gusto. El primero en quien yo hallo distinguida en algún modo la esencia y objeto de la tragedia y comedia es don Pedro de Villegas, en el prólogo a su traducción de la Comedia del Dante impresa año de 1515, donde dice: """;"si";"no";"no";"infinitivo";"animado";"causativa";
962;"1790 FERNÁNDEZ DE MORATÍN, LEANDRO, «Carta al Correo de Madrid»(Epistolario) [España] [Madrid, Castalia, 1973] Historia";;"FERNÁNDEZ DE MORATÍN, LEANDRO";"Carta al Correo de Madrid(Epistolario)";1790;"Historia";"España";"3. Censura el vulgar arbitrio de que se vale el Autor para hacer reír por medio de las palabras o conceptos y no por el de los mismos accidentes de la fábula, que son los que deben mover las pasiones, como encarga Horacio.";"si";"no";"no";"infinitivo";"animado";"causativa";
963;"1790 FERNÁNDEZ DE MORATÍN, LEANDRO, «Carta al Correo de Madrid»(Epistolario) [España] [Madrid, Castalia, 1973] Historia";;"FERNÁNDEZ DE MORATÍN, LEANDRO";"Carta al Correo de Madrid(Epistolario)";1790;"Historia";"España";"3. Muy ex trípode pronuncia el Crítico esta decisión, y hubiera debido, a mi parecer, detenerse un poco en probar lo que afirma. Yo creo que la Comedia de el Viejo y la Niña ha hecho reír por las situaciones y golpes de teatro; si el Crítico no lo juzga así, individualice, señale los pasages, pruebe los defectos, en una palabra, no piense tachar una obra sin dar las razones en que funda su censura; que esto, además de ser ya un vulgar arbitrio, es perder tiempo y";"si";"no";"no";"infinitivo";"animado";"causativa";
986;"1791 ANÓNIMO, La mágica blanca descubierta [España] [Madrid, Imprenta Real, 1792] Deportes";;"ANÓNIMO";"La mágica blanca descubierta";1791;"Deportes";"España";"la pared, que le habia parecido blanca como la nieve, estaba pintada al fresco; de un lado ve un quadro de animales feroces, cabezas erizadas de serpientes, y duendes de todas especies; del otro la tentación de San Antonio Abad, donde los diablos estaban pintados de toda suerte de figuras; le hace reir ver el diablo con el cuerpo de una arpía, la cola de cocodrilo, los colmillos de javalí, la cabeza de cervo; vuelven á llamar otras tres veces á la puerta, los postigos de las ventanas se cierran por sí mismos; enmedio de la obscuridad ve un rayo de luz que dura un instante,";"si";"no";"no";"infinitivo";"animado";"causativa";
1050;"1820 FERNÁNDEZ DE MORATÍN, LEANDRO, «Cartas de 1820»(Epistolario) [España] [Madrid, Castalia, 1973] Historia";;"FERNÁNDEZ DE MORATÍN, LEANDRO";"Cartas de 1820(Epistolario)";1820;"Historia";"España";"El proyecto de vm. de irse a vivir a Pastrana me ha hecho reir, y me persuade que todavía no ha conocido vm. bien lo que son los lugareños y los lugares. Mi deseo es que la tal casa se venda a trueque de papel de estraza o de azeytunas; pero mientras fuere mía, pueden vms. usar de ella con entera libertad. Pregunten vms. a la Luisa en el";"si";"no";"no";"infinitivo";"animado";"causativa";
1055;"1825 FERNÁNDEZ DE MORATÍN, LEANDRO, «Cartas de 1825»(Epistolario) [España] [Madrid, Castalia, 1973] Historia";;"FERNÁNDEZ DE MORATÍN, LEANDRO";"Cartas de 1825(Epistolario)";1825;"Historia";"España";", ni la que ha empezado y no sé si concluirá Brissat Tivars, traducida también, ninguna de ellas puede satisfacer a un hombre de gusto. Todas ellas se han emprendido atropelladamente. Falta de conocimientos históricos en la literatura española, elección casual de las piezas, ningún orden cronológico en su colocación, traducciones que hacen reír de lástima a quantos españoles llegan a verlas, y una crítica tan equivocada y superficial como magistral y orgullosa, todo aumenta el deseo de ver en otras manos la empresa de formar con buen método, con buen gusto, con sana crítica, una colección de piezas del teatro español. Diré a V. lo que";"si";"no";"no";"infinitivo";"animado";"causativa";
1057;"1825 FERNÁNDEZ DE MORATÍN, LEANDRO, «Cartas de 1825»(Epistolario) [España] [Madrid, Castalia, 1973] Historia";;"FERNÁNDEZ DE MORATÍN, LEANDRO";"Cartas de 1825(Epistolario)";1825;"Historia";"España";"estante de libros, y todo lo al, y poderme pasar allí largas temporadas, paseándome por aquellos bosques y aquellas viñas. Si Dios me lo concede, dígote que no le cansará su siervo con nuevos votos. Y si la posteridad espera que de este retiro han de resultar preciosos opúsculos, que la hagan reir y la diviertan, solemne chasco habrá de llevarse la tal posteridad.";"si";"no";"no";"infinitivo";"inanimado";"causativa";
1065;"1828 LARRA, MARIANO JOSÉ DE, «El café»(Fígaro. Colección de artículos dramáticos, literarios y de costumbres) [España] [Barcelona, Crítica, 2000] Educación";;"LARRA, MARIANO JOSÉ DE";"El café(Fígaro. Colección de artículos dramáticos, literarios y de costumbres)";1828;"Educación";"España";"reunidas al tomarle; pues ya que quería poner un título de cosa de comer o de beber, ¿por qué no dijo El chocolate de las damas? ¡Como si fuera preciso que para hablar unas señoras estuviesen tomando algo! ¡Pues no andan por ahí mil títulos rodando, que, a lo menos, no hacen reír y no puede equivocarse lo que pueda dar de sí la obra, como Tertulias en Chinchón, Noches de invierno, y caso que fuese para hablar de personas muertas, llamáralas primero Tertulias en los infiernos o Noches en el otro mundo, y no El té de las damas, título que, después de habernos abierto";"si";"no";"no";"infinitivo";"animado";"causativa";
1066;"1828 FERNÁNDEZ DE MORATÍN, LEANDRO, «Cartas de 1828»(Epistolario) [España] [Madrid, Castalia, 1973] Historia";;"FERNÁNDEZ DE MORATÍN, LEANDRO";"Cartas de 1828(Epistolario)";1828;"Historia";"España";"a nadie, y los placeres de teatro que yo disfruto se reducen a ver los títulos de las piezas que se echan, en la lista que ponen los diarios. Dígame V. si hay viejo que pase vegez más arrugada y antisocial que yo. Y ahí tiene V. a Moratín: el que en otro tiempo hizo reir a tantos, y causó placeres tan inocentes a su desventurada nación. Tres veces he visto el teatro, y hace ya quatro meses que estoy aquí, pero como siempre vivimos en lo futuro y renegamos de lo presente, quiero y es mi voluntad (si el tiempo mejora y hay verano en este lugar) aprovecharle";"si";"no";"no";"infinitivo";"animado";"causativa";
1090;"1833 LARRA, MARIANO JOSÉ DE, «La polémica literaria»(Fígaro. Colección de artículos dramáticos, literarios y de costumbres) [España] [Barcelona, Crítica, 2000] Educación";;"LARRA, MARIANO JOSÉ DE";"La polémica literaria(Fígaro. Colección de artículos dramáticos, literarios y de costumbres)";1833;"Educación";"España";"— Pero, señor, haremos reír al público...";"si";"no";"no";"infinitivo";"animado";"causativa";
1091;"1833 LARRA, MARIANO JOSÉ DE, «La polémica literaria»(Fígaro. Colección de artículos dramáticos, literarios y de costumbres) [España] [Barcelona, Crítica, 2000] Educación";;"LARRA, MARIANO JOSÉ DE";"La polémica literaria(Fígaro. Colección de artículos dramáticos, literarios y de costumbres)";1833;"Educación";"España";"— No tenga usted cuidado: el público se morirá de risa, y la palestra queda por el que hace reír. ¿Qué más tiene el adversario? ¿Tiene alguna verruga en las narices, tiene moza, debe a alguien, ha estado en la cárcel alguna vez, gasta peluca, ha tenido opinión nula...?";"si";"no";"no";"infinitivo";"animado";"causativa";
1092;"1833 LARRA, MARIANO JOSÉ DE, «La polémica literaria»(Fígaro. Colección de artículos dramáticos, literarios y de costumbres) [España] [Barcelona, Crítica, 2000] Educación";;"LARRA, MARIANO JOSÉ DE";"La polémica literaria(Fígaro. Colección de artículos dramáticos, literarios y de costumbres)";1833;"Educación";"España";"— No importa; usted hará reír, y ése es el caso. ¿Dice él que usted se equivoca una vez? Dígale usted que él se equivoca ciento, y pata. «Usted es una tal; y usted es más»: éste es el modo.";"si";"no";"no";"infinitivo";"animado";"causativa";
1096;"1834 LARRA, MARIANO JOSÉ DE, «Los tres no son más que dos, y el que no es nada vale por tres. Mascarada política»(Fígaro. Colección de artículos dramáticos, literarios y de costumbres) [España] [Barcelona, Crítica, 2000] Educación";;"LARRA, MARIANO JOSÉ DE";"Los tres no son más que dos, y el que no es nada vale por tres. Mascarada política(Fígaro. Colección de artículos dramáticos, literarios y de costumbres)";1834;"Educación";"España";"— ¡Ya! Por eso te descuidas, y haces a veces artículos tan largos y tan pesados, y con tantas digresiones y atrevimientos; no teniendo respeto a nadie, fácil es hacer reír...";"si";"no";"no";"infinitivo";"animado";"causativa";
1098;"1834 LARRA, MARIANO JOSÉ DE, «Primera contestación de un liberal de allá a un liberal de acá»(Fígaro. Colección de artículos dramáticos, literarios y de costumbres) [España] [Barcelona, Crítica, 2000] Educación";;"LARRA, MARIANO JOSÉ DE";"Primera contestación de un liberal de allá a un liberal de acá(Fígaro. Colección de artículos dramáticos, literarios y de costumbres)";1834;"Educación";"España";"Háceme reír por último en tu carta lo que del miedo que a los liberales se tiene por ahí me dices. En cuanto a eso, y en cuanto a los muchos que han andado de cárcel en cárcel y de destierro en destierro por conspiradores, así como a los que andan sin colocación todavía por anarquistas, concluiré esta mi misiva con recordarte el";"si";"no";"no";"infinitivo";"animado";"causativa";
1100;"1834 LARRA, MARIANO JOSÉ DE, «Representación de «La mojigata» comedia de don Leandro Fernández de Moratín»(Fígaro. Colección de artículos dramáticos, literarios y de costumbres) [España] [Barcelona, Crítica, 2000] Educación";;"LARRA, MARIANO JOSÉ DE";"Representación de «La mojigata» comedia de don Leandro Fernández de Moratín(Fígaro. Colección de artículos dramáticos, literarios y de costumbres)";1834;"Educación";"España";"el manejo de los modismos de la lengua, que en la pintura del corazón humano, sin que por esto queramos decir que fuese ignorante de él Moratín; la gracia de Molière es más candorosamente cómica, y se trasluce menos al poeta; presenta las situaciones solas, y esto basta en él para hacer reír. Moratín ayuda a la situación con una sátira más decidida; no se contenta con exponer el cuadro ridículo sencillamente a la vista del espectador; echa además en la balanza para inclinarla a su favor el peso de su propia opinión; sus gracias toman muchas veces gran parte de realce de su mordacidad. Sea hecho";"si";"no";"no";"infinitivo";"animado";"causativa";
1101;"1834 LARRA, MARIANO JOSÉ DE, «Dos liberales o lo que es entenderse. Primer artículo»(Fígaro. Colección de artículos dramáticos, literarios y de costumbres) [España] [Barcelona, Crítica, 2000] Educación";;"LARRA, MARIANO JOSÉ DE";"Dos liberales o lo que es entenderse. Primer artículo(Fígaro. Colección de artículos dramáticos, literarios y de costumbres)";1834;"Educación";"España";"Gracias a Dios, impertérrito escritor, que ha dado usted algún descanso a su pluma: no le negaré a usted que sus artículos me han solido  hacer reír alguna vez; pero siempre tuve en medio de eso deseos vehementes de dar a usted un consejo. Yo, señor Fígaro, soy liberal desde chiquito, así como hay otros chiquitos desde liberales; anduve en lo del año 12, asunto de grandes controversias; que salvé, pues, la patria de la dependencia francesa";"si";"no";"no";"infinitivo";"animado";"causativa";
