BIBLIOGRAFÍA;AUTOR;CORDEMÁFORO;TÍTULO;FECHA;TEMA;PAÍS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;ANÓNIMO;A;Bocados de oro;a1250[s. XV] ;Relatos;España;el fruto conviene-le que non le pese con él, ca el que faze a sí mesmo perder los sabores del mundo, e sufre el lazerío de la sapiencia por aver el su gualardón después de la muerte, e desí quando allega a la muerte pesa-le con ella, meresce que rían d'él e que le escarnescan, assí como al que plantó arboles o fizo alguna  casa, e está triste e dolorido quando se cunple aquello que atiende, por lo que se ha trabajo en ello. E maravillado só de aquel que le pesa con la muerte, sabiendo de cierto qual gualardón espera aver por la su obra.;transitivo;;;;;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;ANÓNIMO;A;Bocados de oro;a1250[s. XV] ;Relatos;España;"[9] E fijo, sey manso e fazedor del bien, e de mucho pensar e de poco fablar, si non en la verdat, e de mucho llorar, e non quieras mucho reír nin escarnescas, nin pelees nin porfíes, e quando callares calla pensando, e sienpre te fallarás bien por el callar. E yo nunca me arrepentí por  el callar; e algunas vezes fablé e arrepentí-me.";si;no;no;imperfectivo;;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;ANÓNIMO;A;Bocados de oro;a1250[s. XV] ;Relatos;España;malo, e por sabio e él es nescio. E si la verdat se acordare con la su voluntad, ama-la e alaba-la, e si se desacordare, denuesta-la. E si estudiere con los sabios, non se les omillará nin los escuchará, e si estudiere con los que saben manos que él, desprecia-los e escarnesce-los. E manda fazer bien e él faze mal, e manda dezir verdat e él dize mentira. E non se acuerda el su dicho con el su fecho, nin lo que tiene en coraçón, con lo que dize la su lengua. Pues fijo, ¡desanpara este mundo por el otro! Ca si fueres;transitivo;;;;;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;ANÓNIMO;A;Bocados de oro;a1250[s. XV] ;Relatos;España;verdat e él dize mentira. E non se acuerda el su dicho con el su fecho, nin lo que tiene en coraçón, con lo que dize la su lengua. Pues fijo, ¡desanpara este mundo por el otro! Ca si fueres sabio, non querra aprender de ti, e si poco supieres, escarnecer-te-ha e non te querrá amostrar, e si fueres rico, dirá que eres arrufado, e si fueres pobre, dirá que eres de mal recabdo, e si fizieres bien, dirá que lo fazes por ipocrisía, e si fizieres mal, desenfamar-te-ha, e si dieres, dirá que eres desgastador, e si;transitivo;;;;;;
1251 [finales del s. XIV-primer tercio del s. XV] ANÓNIMO, Calila e Dimna [España] [Juan Manuel Cacho Blecua/María Jesús Lacarra, Madrid, Castalia, 1993] Relatos;ANÓNIMO;R;Calila e Dimna;1251[finales del s. XIV-primer tercio del s. XV] ;Relatos;España;las almas de las leyes. Et detove mi mano de ferir et de abiltar et de robar et de furtar et falsar. Et guardé el mi cuerpo de las mugeres, et mi lengua de mentir et de toda razón que daño fuese a alguno. Et detóveme de fazer mal a los omnes nin de burlar et escarneçer de ninguno et de quantas malas costunbres pude. Et trabajéme con mi razón de non querer mal a ninguno et de non desmentir la verdad nin el día del juizio et el gualardón et la pena.;si;no;si;infinitivo;animado;;
1251 [finales del s. XIV-primer tercio del s. XV] ANÓNIMO, Calila e Dimna [España] [Juan Manuel Cacho Blecua/María Jesús Lacarra, Madrid, Castalia, 1993] Relatos;ANÓNIMO;R;Calila e Dimna;1251[finales del s. XIV-primer tercio del s. XV] ;Relatos;España;"el que se alaba que es esforçado et que lidió, et non ha en él señal de lançada nin de ferida; et el que enfinge que sabe la ley et que es de religión et es corporiento, et gordo, et pescoçudo, ca el que religión mantiene enmagresçe et adelgaza; et la muger virgen que escarnesçe a la maridada; et el que dize de lo que es ya fecho et pasado: ""Quisiese Dios que non fuese"".";transitivo;;;;;;
c1253 [primer cuarto del s. XV] ANÓNIMO, Sendebar [España] [María Jesús Lacarra, Madrid, Cátedra, 1989] Relatos;ANÓNIMO;R;Sendebar;c1253[primer cuarto del s. XV] ;Relatos;España;E arrepintióse el mercador mucho quando lo oyó, e dixo la vieja: — Ya omne bueno, los de esta villa son engañadores, e malos baratadores e nunca viene omne estraño que ellos non lo escarnescan. E guardatvos dellos.;transitivo;;;;;;
1256-1263 [finales del s. XIII (c1290)] ALFONSO X, Primera Partida [España] [Juan Antonio Arias Bonet , Valladolid, Universidad de Valladolid, 1975] Justicia, legislación;ALFONSO X;V;Primera Partida;1256-1263[finales del s. XIII (c1290)] ;Justicia, legislación;España;poner las piedras preciosas ante los puercos, que quiere tanto dezir cuemo ensennar las nobles poridades de la nuestra Ley a los hereges ni a los omnes desentendudos porque están apareiados pora reprehender más que pora creer. Pero si tanto fizieren porque ayan de uenir a disputación con ellos, déuenles mostrar el yerro en que están, escarneciéndolos dello cuerdamientre, camiándoles las razones o diziéndoles otras palabras por que los saquen daquella materia ca en no responder alguna cosa a lo que dixiessen los hereges semeiaríe que por que no auíen razones con que se emparar, lo dexauan de fazer. E por auentura los otros christianos que y estudiessen, dubdaríen por ende no entendiendo la;transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Evangelio de San Mateo [España] [Thomas Montgomery, Madrid, Real Academia Española, 1962] Religión;ANÓNIMO;V;El Evangelio de San Mateo;a1260[mediados del s. XIII] ;Religión;España;"seer ha que Erodes busque el ni nno pora matar le. El tomo el ninno e la madre de noche, e fuesse pora Egipto, e moro alla fasta la muerte de Erodes; por ques cumpliesse lo que dixiera el p roph eta por mandado de Dios: De Egipto llame mio fiio. Erodes, quando uio quel escarnecieran los magos, fue mucho irado; e fizo matar todos los ninnos que eran en Bethleem  e en todos sos terminos de dos annos a aiuso, segund el tiempo que sopiera de los magos. Estonce fue co mplido lo que dixiera Ih eremias el p roph eta: Voz fue oyda en Rama, lloro e mucho llanto; Rachel llora sos";transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Evangelio de San Mateo [España] [Thomas Montgomery, Madrid, Real Academia Española, 1962] Religión;ANÓNIMO;V;El Evangelio de San Mateo;a1260[mediados del s. XIII] ;Religión;España;"Crey, fiia, ca tu fe te sano. E sano la mugier en aquella hora. E quando uino Ih esu a la casa del capdiello, e uio alli los que ta nnien las bozinas, e la companna que fazien mormollo, dixo: Via daqui; ca la moça no es muerta mas duerme. Ellos escarnecien le. E quando la co mpanna fue echada fuera, entro el, e tomo la por la mano, e leuantos la moça. E salio esta fama por toda aquella tierra.";transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Evangelio de San Mateo [España] [Thomas Montgomery, Madrid, Real Academia Española, 1962] Religión;ANÓNIMO;V;El Evangelio de San Mateo;a1260[mediados del s. XIII] ;Religión;España;E fues Ih esus pora Iherusalem, e dixo a sos diciplos en poridat: Nos imos a Ih er usal em, e el Fi del ombre sera dado a los capdiellos de los sacerdotes e a los maestros de la ley, e iudgaran lo de muert, e sera dado a las yentes pora escarnecer e pora açotar e pora crucifigar, e resucitara a tercer dia.;si;no;no;infinitivo;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Evangelio de San Mateo [España] [Thomas Montgomery, Madrid, Real Academia Española, 1962] Religión;ANÓNIMO;V;El Evangelio de San Mateo;a1260[mediados del s. XIII] ;Religión;España;Partieron mis uestiduras e echaron suerte sobre mios pannos. E estauan le guardando. E pusiero n sobre su cabeça escripta aquella cosa por quel crucifigaran: Est es Ih esu nazareno, rey de los iudios. E crucifigaron dos ladrones con el, el uno a diestro del, el otro a siniestro. Los que passauan escarneciera le mouiendo las cabeças, e dizien: Tu que destruyes el templo de Dios e fazes lo de cabo en tres dias, salua a ti mismo. Si eres fiio de Dios, decende de la cruz agora. Otrosi los obispos e los maestros e los uieios del pueblo, escarneciendol, dizien: Touo pro;transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Evangelio de San Mateo [España] [Thomas Montgomery, Madrid, Real Academia Española, 1962] Religión;ANÓNIMO;V;El Evangelio de San Mateo;a1260[mediados del s. XIII] ;Religión;España;"el pueblo, escarneciendol, dizien: Touo pro a los otros e assi mismo no n puede tener pro. Si rey de Isr ael es, decenda agora de la cruz, e creer lemos. Fia en Dios; librel agora si quiere; ca dixo que fiio era de Dios. Otrosi los ladrones que fuero n crucifigados con el escarnecien le.";transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis [España] [Thomas Montgomery/Spurgeon W. Baldwin, Madrid, Real Academia Española, 1970] Religión;ANÓNIMO;V;El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis;a1260[mediados del s. XIII] ;Religión;España;"ir consigo ninguno sino Pedro, e Yague, e Iohan ermano de Yague.  E fueron a la casa del princep de la synoa, e uieron el roydo e el lloro e los llantos muchos.  Entro, e dixo les: ¿Por que llorades? Ca la ninna no es muerta, mas duerme.  Ellos escarnecien le. El echo los todos fuera sino el padre e la madre de la ninna e los que eran con el, e entraron o la ninna iazie.  Ihesus tomo la mano de la ninna, e dixol: Tabita cumi; que es tanto cuemo: Moça, a ti digo quet leuantes.  E leuantos";transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis [España] [Thomas Montgomery/Spurgeon W. Baldwin, Madrid, Real Academia Española, 1970] Religión;ANÓNIMO;V;El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis;a1260[mediados del s. XIII] ;Religión;España;a ti mismo, e decende de la cruz.  Otro si los obispos dizien unos a otros, e los sacerdotes: A los otros saluo, e assi mismo non puede tener pro.  Christo, el rey de Israel, decenda agora de la cruz..., e creer lemos. E los que estauan crucifigados con el escarnecien le.;transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis [España] [Thomas Montgomery/Spurgeon W. Baldwin, Madrid, Real Academia Española, 1970] Religión;ANÓNIMO;V;El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis;a1260[mediados del s. XIII] ;Religión;España;"toma su cruz e ua en pos mi, no puede seer mio diciplo.  Si alguno de uos quiere fazer torre, no contara primero todas las missiones que  ha y mester por que lo pueda acabar;  que depues que ouier fecho el cimiento no lo pueda acabar, e todos los que lo uieren quel compieecen * a escarnecer,  diziendo: Est ombre compeço a fraguar, e no lo pudo acabar.  E ¿qual es el que quiere lidiar con otro rey, e no asma primero si pode con .x. mil contra aquel que uiene con ueynte mil?  E si non satreue, ante que el otro sea cerca enuia mandaderos que fablen la paz";transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis [España] [Thomas Montgomery/Spurgeon W. Baldwin, Madrid, Real Academia Española, 1970] Religión;ANÓNIMO;V;El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis;a1260[mediados del s. XIII] ;Religión;España;"Los phariseos... oyen todas estas cosas, e escarnecien le.  E dixo les: Uos sodes los que uos metedes por iustos delante los ombres; mas Dios sabe uuestros coraçones, ca lo que los ombres tienen por alta cosa, aborrecimiento es de Dios.  Ley e prophetas ualen fasta Iohan; desde oy mas el regno de Dios es preygado, e tod ombre faze";transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis [España] [Thomas Montgomery/Spurgeon W. Baldwin, Madrid, Real Academia Española, 1970] Religión;ANÓNIMO;V;El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis;a1260[mediados del s. XIII] ;Religión;España;": Un ombre planto uinna, e dio la a obreros, e andudo en peregrinage mucho tiempo.  E al tiempo enuio so ombre a los labradores, quel diessen del fruto de la uinna. Ellos firieron le e enuiaron le uazio.  Des hy enuio les otro so ombre. Ellos firieron le e escarnecieron le; des hy enuiaron le uazio.  Enuio  les el tercero; ellos firieron le e echaron le fuera.  E dixo el sennor de la uinna: ¿Que fare? Enuiare el mio amado fiio, e por uentura quandol uieren auran le uerguença.  E quandol uieron los labradores, dixieron entre si: Este";transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis [España] [Thomas Montgomery/Spurgeon W. Baldwin, Madrid, Real Academia Española, 1970] Religión;ANÓNIMO;V;El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis;a1260[mediados del s. XIII] ;Religión;España;"dizie: Padre, perdona los, ca non saben que se * fazen. Partieron sos uestidos, e echaron suerte.  El pueblo estaua esperando; e los principes de los sacerdotes fazien escarnio del e dizien: A los otros fizo saluos; salue assi mismo, si est es Christo, el escogido de Dios.  Escarnecien le los caualleros, dandol uinagre a beuer, e diziendol:  Si tu eres rey de los iudios, libra a ti mismo.  Estaua sobre su cabeça escripto de letras griegas e ladinas e ebraygas: Est es el rey de los iudios.  Uno daquellos ladrones que estauan crucifigados estaual denostando, e diziel: Si";transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis [España] [Thomas Montgomery/Spurgeon W. Baldwin, Madrid, Real Academia Española, 1970] Religión;ANÓNIMO;V;El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis;a1260[mediados del s. XIII] ;Religión;España;e Pamphilia, Egipto e tierras de Libia, que es cerca de Cirenen, e los romanos auenedizos,  iudios e conuertidos, cretos e arabes, oymos los fablar en nuestras lenguas grandes cosas de Dios.  Espauorecien todos e marauillauan se, diziendo unos a otros: ¿Que cosa quier seer esto?  Otros dizien, escarneciendo: Llenos son estos de mosto.;si;no;no;gerundio;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis [España] [Thomas Montgomery/Spurgeon W. Baldwin, Madrid, Real Academia Española, 1970] Religión;ANÓNIMO;V;El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis;a1260[mediados del s. XIII] ;Religión;España;por uierbo de la su gracia, faziendo miraglos e signos por manos de los apostolos.  Mas departieron se las yentes de la ciudat: los unos eran con los iudios e los otros con los apostolos.  Quando fue el acedamiento de los gentiles e de los iudios con sos capdiellos contra ellos, por apedrear los e escarnecer los,  ellos, entendiendo lo, fuxieron a las ciudades que son nombradas Licaonia e Listra e Derben, e a toda la tierra en derredor, e alli preygauan.;transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis [España] [Thomas Montgomery/Spurgeon W. Baldwin, Madrid, Real Academia Española, 1970] Religión;ANÓNIMO;V;El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis;a1260[mediados del s. XIII] ;Religión;España;"El que es conformado por palaura acompannesse a aquel que se conforma en todos bienes.  No querades errar; non sera Dios escarnecido.  Ca lo que sembrare ombre, esso segara. El que sembra en su carne, de su carne segara corrompimiento; el que  sembra en Espirito, de Espirito segara uida sin fin.  Bien faziendo no cansemos, y en so tiempo segaremos, no fallecientes.  Pues mientre tiempo auemos, obremos bien a todos,";transitivo;;;;;;
a1260 [mediados del s. XIII] ANÓNIMO, El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis [España] [Thomas Montgomery/Spurgeon W. Baldwin, Madrid, Real Academia Española, 1970] Religión;ANÓNIMO;V;El Nuevo Testamento según el manuscrito escurialense I-j-6. Desde el Evangelio de San Marcos hasta el Apocalipsis;a1260[mediados del s. XIII] ;Religión;España;"Por uentura yo escriuiera a la eglesia; mas el princep de la eregia, que ama tener el principado, no nos recibe;  e por ende si yo fuer alla, moure las sus obras que el faze, con malas palauras escarneciendo en nos; e cuemo si nol cumpliessen  estas cosas, aun a los nuestros hermanos non quier recebir, e uieda a los que los reciben que lo non fagan, e echa los de la eglesia.";si;no;en;gerundio;animado;;
c1270 [mediados del s. XIV] ANÓNIMO, Historia troyana en prosa y verso [España] [Ramón Menéndez Pidal, Madrid, Espasa-Calpe, 1976] Verso;ANÓNIMO;R;Historia troyana en prosa y verso;c1270[mediados del s. XIV] ;Verso;España;Commo Diomedes derribo a Eneas e escarneçia del, e commo despues solto Anchiles do lo leuaua preso don Hebtor. *;si;no;si;imperfectivo;animado;;
c1270 [mediados del s. XIV] ANÓNIMO, Historia troyana en prosa y verso [España] [Ramón Menéndez Pidal, Madrid, Espasa-Calpe, 1976] Verso;ANÓNIMO;R;Historia troyana en prosa y verso;c1270[mediados del s. XIV] ;Verso;España;Commo el rrey Epitrofo ferio muy mal a don Hebtor e escarneçio del, e commo don Hector lo mato. *;si;no;si;perfectivo;animado;;
c1270 [mediados del s. XIV] ANÓNIMO, Historia troyana en prosa y verso [España] [Ramón Menéndez Pidal, Madrid, Espasa-Calpe, 1976] Verso;ANÓNIMO;R;Historia troyana en prosa y verso;c1270[mediados del s. XIV] ;Verso;España;"benablo muy agudo e muy tajante a sobre mano o fuelo ferir con grand saña, e diol tan grand ferida que, avnque peso a don Hector, bañose la su siella en sangre; mas de guisa estudo fuerte, que non lo pudo derribar della. E dixo estonçe el rrey Epitrofo contra don Hebtor, escarneçiendolo: «non anda aqui ninguno a quien non enoje la vuestra locura; * mas bien se que toda tornara sobre vos, ca tanto daño nos auedes fecho oy en nos, que todo lo lazeraredes e pornedes y la vuestra alma; e sera muy grand derecho que vayades tener conpaña a aquellos que sacastes  deste";transitivo;;;;;;
c1270 [mediados del s. XIV] ANÓNIMO, Historia troyana en prosa y verso [España] [Ramón Menéndez Pidal, Madrid, Espasa-Calpe, 1976] Verso;ANÓNIMO;R;Historia troyana en prosa y verso;c1270[mediados del s. XIV] ;Verso;España;"todo lo lazeraredes e pornedes y la vuestra alma; e sera muy grand derecho que vayades tener conpaña a aquellos que sacastes  deste mundo, e aueran alguna alegria e conortarse an conuusco desque se vieren de uos vengados». E don Hector entendio muy bien aquello que dezia, e dixo el con grand saña, escarneçiendolo el otrosy: «eso non se yo commo ha de ser; mays ya  vos, luego en los primeros, e bien treynta de vuestra parte, yredes depos ellos antes que yo vaya a tenerles conpaña. E vos non dexedes por mi de leuarles mandado e a dezirles de commo vos enbie yo alla, por que uos non";transitivo;;;;;;
c1275 [s. XIII (c1270)] ALFONSO X, General Estoria. Primera parte [España] [Pedro Sánchez Prieto-Borja, Alcalá de Henares, Universidad de Alcalá de Henares, 2002] Historia;ALFONSO X;V;General Estoria. Primera parte;c1275[s. XIII (c1270)] ;Historia;España;"que coma, ca es manjar que ama él. E combrá, e bendezir te á. Respondió Jacob a Rebeca e dixol: — Madre, sabes tú que Esaú mio hermano es velloso; yo non, mas só len; e si mio padre me tentare e lo sentiere é miedo que cuede quel quis escarnecer, e en logar de bendezirme temo que me maldiga. A estol dixo su madre Rebeca: — Fijo, sobre mí sea esta maldición, e yo me paro a ella; e óime, e ve a la nuestra grey e faz como te yo digo. Jacob fuera siempre obediente al mandado de la madre, e";transitivo;;;;;;
c1275 [s. XIII (c1270)] ALFONSO X, General Estoria. Primera parte [España] [Pedro Sánchez Prieto-Borja, Alcalá de Henares, Universidad de Alcalá de Henares, 2002] Historia;ALFONSO X;V;General Estoria. Primera parte;c1275[s. XIII (c1270)] ;Historia;España;"como que quisiesse llorar. E cuenta aquí la estoria que llorava más por la quexa del amor de Josep que non pudié aver como ella querié que non por lo que ella querellava d'él, que non era assí. E dixo a Futifar muy sañudamientre: — Aduxiéstesnos aquí un omne hebreo e siervo que nos escarneciesse. Yazíame yo en mi cámara  doliente e flaca como vos dix que lo era, e que por esso non podía ir a la fiesta; e los omnes de casa eran idos fuera a sos mandados, e entró él, e cuando me vío señera quísome forçar. E yo essora començé a dar bozes. E";transitivo;;;;;;
