EjemploID;BIBLIOGRAFIA;AUTOR;TITULO;FECHA;TEMA;PAIS;CONCORDANCIA;fecha;Valido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perifrasis;Observaciones
11;01/04/1989 , El País, 01/04/1989 [España] [Madrid, Diario El País, S.A., 01/04/1989] Política;NA;El País, 01/04/1989;1/4/89;Política;España;Ben Alí, revelaba ante el mundo la misma fe. Y claro, el mundo, cortésmente, le creía. Sería imperdonable, y muy peligroso para la estabilidad de esta santa alianza de regímenes nacida en Marraquech, que las montañas del Atlas hubieran sido testigos de una resurrección más. La mueca desdentada de El Glaoul se reiría obscenamente desde su caverna histórica: fragmentación, tribalismo, oscurantismo. La unidad del Magreb es palabra bendita que depende de la humildad y sinceridad de las cabezas que hoy lo guían. En esta panorámica actual donde escribir es blasfemar, faltar a esa verdad será también pecado mortal. Se ha dicho, y sabiamente, que;1989;si;si;no;imperfectivo;inanimado;;
12;01/05/1980 , El País, 01/05/1980 [España] [Madrid, Diario El País, S.A., 01/05/1980] Iglesia;NA;El País, 01/05/1980;1/5/80;Iglesia;España;— Matámolo todos. Fómolo aforcar o río dos lomos.;1980;no;;;;;;
13;01/05/1980 , El País, 01/05/1980 [España] [Madrid, Diario El País, S.A., 01/05/1980] Testimonios varios;NA;El País, 01/05/1980;1/5/80;Testimonios varios;España;«Le dije que fuera a dar un paseo», dice la viuda. Se trata de un anciano que se ha ahogado silenciosamente, discretamente, en el Manzanares. Este río, que apenas dio vida a nuestra juventud, de pronto le quita un viejo a la vejez. Los viejos. Ese eufemismo como arqueológico de «la tercera edad» comprende toda una confusa operación, entre la beneficencia y la mala conciencia, para que los viejos viajen barato cuando ya no tienen curiosidad, para que los viejos coman;1980;no;;;;;;
14;01/05/1989 , ABC, 01/05/1989 [España] [Madrid, Prensa Española, S.A., 01/05/1989] Meteorología;NA;ABC, 01/05/1989;1/5/89;Meteorología;España;"Temperaturas del agua del mar: Cantábrico, entre 13 y 14 grados; Rías Bajas, 13-14; Costa de la Luz, 14-16; Costa del Sol, 15-16; Costa Cálida, 15-16; Costa del Azahar, 15-16; Costa Dorada, 14-15; Costa Brava, 13-14; Baleares, 15-17, y Canarias, entre 16 y 18 grados.";1989;no;;;;;;
15;01/06/1984 , El País, 01/06/1984 [España] [Madrid, Diario El País, S.A., 01/06/1984] Cine y vídeo;NA;El País, 01/06/1984;1/6/84;Cine y vídeo;España;Este personaje secundario es lo mejor de Karate Kid. Reposado, firme y escurridizo, Noriyuki Tat Worita interpreta a este anciano socarrón con un humor simpático y eficaz. El público, en efecto, ríe con sus razonamientos y le aplaude cuando ejercita modos de karateka. Ese mismo público vibra con el mínimo suspense del combate final como si fuera ésta la vez primera que contempla un filme similar. Hay, por tanto, una forma feliz de ver Karate Kid.;1984;si;no;no;imperfectivo;animado;;
16;01/06/1984 , El País, 01/06/1984 [España] [Madrid, Diario El País, S.A., 01/06/1984] Ejército, ciencia militar;NA;El País, 01/06/1984;1/6/84;Ejército, ciencia militar;España;", porque hemos desarrollado ya una capacidad combativa que nos permite hacer frente a los equipos que les suministra Washington"". La ocupación de Suchitoto en la primera quincena de noviembre, donde fueron inutilizados tres helicópteros y averiados dos aviones, y el asalto a la presa del Cerrón Grande en julio, revelan que la tecnología militar río basta por sí sola para ganar esta guerra. Los rebeldes se mueven ahora en pequeños grupos para no ser detectados por los aviones, pero mantienen su capacidad de concentrarse rápidamente para llevar a cabo una gran operación. Las armas convencionales que recibe el Ejército constituyen, por otra parte, la principal fuente de abastecimiento de una guerrilla a";1984;no;;;;;;
17;01/06/1984 , El País, 01/06/1984 [España] [Madrid, Diario El País, S.A., 01/06/1984] Escultura;NA;El País, 01/06/1984;1/6/84;Escultura;España;forjado está detrás del pleito desde antes de que la Constitución le amparara. Tras las gafas enormes con las que ilumina su vista, Serrano guarda la inocencia de los niños de su tierra, y camina como sobre hojarascas de otoño creyendo que el monte puede ser enteramente de orégano. A lo mejor gana el pleito, y entonces se reirá como hace cuando se acaba la noche y él se traslada en silencio asombrado a la casa de la Castellana donde vive como un paje egipcio rodeado de cuadros de Juana Francés, del alegato mudo de Aranguren y del grito sin vetas de su amigo Miguel de Unamuno. En la cocina está el pan, pero él lo traslada, para;1984;si;si;no;imperfectivo;animado;;
18;01/06/1984 , El País, 01/06/1984 [España] [Madrid, Diario El País, S.A., 01/06/1984] Gobierno;NA;El País, 01/06/1984;1/6/84;Gobierno;España;"¿En qué momento se enamoró Barrionuevo del tricornio? El ministro del Interior dice, riéndose: ""Nunca me he enamorado del tricornio. Es una pregunta insidiosa. Lo que pasa es que, cuando nosotros entramos con los principios regeneracionistas de este Gobierno pude comprobar el trabajo de los guardias humildes"". Y Barrionuevo cuenta que en aquella primera Nochebuena hubo una amenaza de bomba en el tren que venía de París";1984;si;si;no;imperfectivo;animado;;
19;01/06/1985 , El País, 01/06/1985 [España] [Madrid, Diario El País, S.A., 01/06/1985] Actualidad;NA;El País, 01/06/1985;1/6/85;Actualidad;España;— Bueno, que se está haciendo tarde y los amigos van a empezar a comer sin nosotros. ¡A abrirse tocan! Peonía sube gateando con rápido y atractivo culeo el terraplén, perseguida de cerca por Narciso, que la alcanza al llegar a la carretera. Los dos se besan, riendo, contra el perfil azulado de la sierra. Jacinto les oye desde abajo reír y cuchichear. Quizá estén hablando de él y de su altar, piensa. Se vuelve un momento para verlo por última vez, casi con rencor. No es el vapor cálido de las plantas soleadas lo que forma esa figura alta junto a;1985;si;no;no;gerundio;animado;;
20;01/06/1986 , El País, 01/06/1986 [España] [Madrid, Diario El País, S.A., 01/06/1986] Deportes;NA;El País, 01/06/1986;1/6/86;Deportes;España;En Sao Paulo, ciudad normalmente más austera que Río, en los últimos días las calles fueron tomadas por multitudes vestidas con verde o amarillo. Los comercios pusieron cintas de los mismos colores en las vidrieras, los coches circulan con banderitas brasileñas y todos parecen sufrir la doble sensación de arrepentimiento por el pesimismo que existió hasta hace pocos días y, a la vez, el temor de;1986;no;;;;;;
21;01/06/1987 , El País, 01/06/1987 [España] [Madrid, Diario El País, S.A., 01/06/1987] Testimonios varios;NA;El País, 01/06/1987;1/6/87;Testimonios varios;España;"ni el Dr. Johnson ni el Dr. Watson pudieron imaginar. La tienda estaba abarrotada ya sin vender nada todavía, y bajamos al sótano el director de cine, Miriam Gómez y yo. Enseguida descendieron, como en un ascensor, los cuatro que hacían época. Paul McCartney fue, como parecía, atento y blando, y Ringo reía, liberado de la misión de llevar el compás. De pronto, John Lennon advirtió la presencia del director y se volvió a Paul: ""Qué hace este tipo aquí? ¿Amigo tuyo o qué"" Antes de que Paul dijera en broma, ""o qué"", George intervino, suave, bajo: acababa de hacer la";1987;si;no;no;imperfectivo;animado;;
22;01/06/1988 , El País, 01/06/1988 [España] [Madrid, Diario El País, S.A., 01/06/1988] Política;NA;El País, 01/06/1988;1/6/88;Política;España;"de irreversibilidad"". La cumbre que mantendrá con Reagan ha de reforzar la mano del dirigente soviético frente a los conservadores. El semanario Ogoniok, en una caricatura, los muestra rezando ante una estatua de Stalin: ""Resucita, padre nuestro bienamado, y ayúdanos a saldar cuentas con los que hacen la perestroika"". Todos ríen tranquilos, porque ese milagro jamás se producirá. Sin embargo, el hecho de que muchos de los principitos del aparato eleven esas plegarias constituye un problema para Gorbachov. Traducción de Ana Poljak.";1988;si;no;no;imperfectivo;animado;;
23;01/06/1989 , ABC, 01/06/1989 [España] [Madrid, Prensa Española, S.A., 01/06/1989] Meteorología;NA;ABC, 01/06/1989;1/6/89;Meteorología;España;"Temperaturas del agua del mar: Cantábrico, entre 13 y 15 grados; Rías Bajas, 14-15; Costa de la luz, 15-17; Costa del Sol, 16-17; Costa Cálida, 16-17; Costa del Azahar, 16-17; Costa Dorada, 15-16; Costa Brava, 14-15; Baleares, 16-17 y Canarias, 17 y 19 grados.";1989;no;;;;;;
24;01/06/1994 , La Vanguardia, 01/06/1994 [España] [Barcelona, T.I.S.A, 1994] Sociología;NA;La Vanguardia, 01/06/1994;1/6/94;Sociología;España;de civilización sin necesidad de que nadie les dictara el manual de instrucciones de la vida o de la muerte. La civilización equivale a saber que no se puede hacer de cuerpo en plena calle ni se puede pisotear al vecino sin pedirle excusas. Por civilización los amantes buscan la intimidad para amarse y en los entierros nadie ríe a carcajadas. Cabe pensar que el fumar encontrará de por sí un ámbito tan digno y tolerable como el que corresponde a sus practicantes. Y que no se convertirá en el pretexto de esa nueva intolerancia que quiere expulsar del paraíso urbano a fumadores, obesos, colesterólicos, calvos y noctámbulos. Se empieza por ahí y se acaba;1994;si;no;no;imperfectivo;animado;;
25;01/06/1995 , El Mundo, 01/06/1995 [España] [Madrid, Unidad Editorial, 1995] Ejército, ciencia militar;NA;El Mundo, 01/06/1995;1/6/95;Ejército, ciencia militar;España;ordene. Estamos firmes y en nuestros puestos», responde el legionario desde Nedarici con fría determinación. La «ronda» de contactos con soldados franceses de FORPRONU prisioneros o cercados continúa a ritmo acelerado esta mañana. Los militares serbios tan sólo permiten una comunicación diaria a primera hora del día. Por eso Gobillard no tiene más remedio que reir las bromas de los serbios: «Aquí tenemos a un general aún más bajo que usted, se llama Mladic (comandante general de las fuerzas serbias)», le comenta uno de los secuestradores.;1995;transitivo;;;infinitivo;;;
26;01/06/1995 , El Mundo, 01/06/1995 [España] [Madrid, Unidad Editorial, 1995] Política;NA;El Mundo, 01/06/1995;1/6/95;Política;España;El presidente González se ríe de las protestas internas del PSOE por el fracaso electoral y dice que no ve en los comentarios de su compañeros motivos importantes para una crisis de gobierno que de momento considera innecesaria y que es cuestión que le compete solamente a él. Es verdad, como a él le corresponde disolver las Cortes y convocar elecciones y la total;1995;si;si;si;imperfectivo;animado;;
27;01/06/1995 , Hola, nº 2651, 01/06/1995 [España] [Madrid, Hola, 01/06/1995] Actualidad;NA;Hola, nº 2651, 01/06/1995;1/6/95;Actualidad;España;Ambos son, obviamente, unos padres enamorados de su hijo y hacen cualquier cosa con tal de hacerle sonreír. Este hecho, unido a la natural simpatía de los dos, hizo que tras el encuentro Alessandro se recostase en el capó del coche mientras Ana lo llevaba hacia el aparcamiento, lo que divirtió e hizo reír al pequeño. Estas pequeñas «locuras» que se le ocurren a Alessandro son, ciertamente, una prueba de su buen humor y del entendimiento que hay de nuevo entre la pareja.;1995;si;no;;;;causativa;
28;01/06/1996 , El Mundo, 01/06/1996 [España] [Madrid, Unidad Editorial, 1996] Actualidad;NA;El Mundo, 01/06/1996;1/6/96;Actualidad;España;Los gestos de Joana, que aún transmiten parte de aquella serenidad perdida, me dan sosiego y me abren al amor por asuntos muy pequeñitos pero que envuelven el corazón con un fascinante entusiasmo. Joana me cuenta y se ríe como los indios pero sin llegar a tirarse pedos. Joana me pasa papeles que hablan de masacres y se va con nostalgia a recuperar a unos padres que no ve desde hace años. Yo me quedo solo, y por unas horas me siento extraño en estas tierras urbanas sedientas de ruido y fatalidad. Una vez traspasado;1996;si;si;no;imperfectivo;animado;;
29;01/07/1994 , La Vanguardia, 01/07/1994 [España] [Barcelona, T.I.S.A, 1994] Cine y vídeo;NA;La Vanguardia, 01/07/1994;1/7/94;Cine y vídeo;España;"Original: ""Free Willy"". Duración: 105 minutos. Estreno: Coliseum, Palacio Balañá, Río y Rívoli (24/VI/94). En 1977, el competente artesano Michael Anderson rodó ""Orca, la ballena asesina"", extravagante combinación de cine de terror y ecológico donde el cetáceo de marras se zampaba una pierna de Bo Derek, la ""chica diez"", que hasta el momento de la amputación lucía su belleza en tan";1994;no;;;;;;
30;01/07/1994 , La Vanguardia, 01/07/1994 [España] [Barcelona, T.I.S.A, 1994] Literatura;NA;La Vanguardia, 01/07/1994;1/7/94;Literatura;España;"que Julio Alberto no hable de fútbol: el bosquejo de su rebelión ante Cruyff es lo mejor de todo. Baño de humanidad ""Onze del Barça"" representa un baño de humanidad para los once intelectuales y periodistas que lo suscriben (Miravitllas, Ballarín, Pons, Carol, Termes, Espadaler, Villatoro, Solé Tura, Riera, Permanyer y Rahola). Priva una visión retrospectiva de lo blaugrana, que se sustenta más en la recreación sociológica y antifranquista que en el fútbol-fútbol o en las contingencias empresariales y mediáticas del momento actual. Descollan la magnífica crónica de Ramon Miravitllas sobre Ramallets, cargada de ironía y de humor, y el texto de Lluís Permanyer";1994;no;;;;;;
31;01/07/1995 , El Mundo, 01/07/1995 [España] [Madrid, Unidad Editorial, 01/07/1995] Actualidad;NA;El Mundo, 01/07/1995;1/7/95;Actualidad;España;Todos los alimentos vienen de fuera de Rusia, «a excepción del caviar», indica Christophe sin reír su propia gracia. La carne fresca llega en camiones frigoríficos y el pescado en avión cada dos o tres días. Nada, ni tan siquiera las verduras, es comprado en Moscú o sus alrededores. Es el precio de la exquisitez.;1995;transitivo;;;;;;
32;01/07/1995 , El Mundo, 01/07/1995 [España] [Madrid, Unidad Editorial, 01/07/1995] Antropología;NA;El Mundo, 01/07/1995;1/7/95;Antropología;España;cara de empollón y una incapacidad para «hablar con chicas», verdaderamente sobresaliente. Y, sin embargo las mujeres fueron muy importantes en su formación, empezando por su madre, desde luego, una mujer aparte. Caro nunca ha negado la predilección por su madre. Ni ha evitado las lecturas freudianas al caso. Se ha reído para sus adentros, desde luego, sin aspavientos. Su madre fue una mujer cultivada por encima de la media española de entonces, que vio frustrados sus anhelos pronto, en parte por el matrimonio, como tantas mujeres valiosas de aquella España gárrula y mostrenca. «Mi madre se refugió cada vez más en el amor de sus hijos. No;1995;si;si;reflexivo;perfectivo;animado;;
33;01/07/1995 , El Mundo, 01/07/1995 [España] [Madrid, Unidad Editorial, 01/07/1995] Cine y vídeo;NA;El Mundo, 01/07/1995;1/7/95;Cine y vídeo;España;¿Qué está bebiendo?» De Niro se ríe. Los dos a la vez dicen: «Champán, cócteles de champán». A De Niro se le arrugan las mejillas por la mueca. «Oye, Lillo, haz de Al», dice. El chico realiza su imitación de Al Pacino. De Niro se ríe a carcajadas. En este instante vive tal como aspira vivir, vive el momento.;1995;si;si;no;imperfectivo;animado;;
34;01/07/1995 , El Mundo, 01/07/1995 [España] [Madrid, Unidad Editorial, 01/07/1995] Testimonios varios;NA;El Mundo, 01/07/1995;1/7/95;Testimonios varios;España;¿Quién le ha hecho reír más en el cine?;1995;si;no;;;;causativa;
35;01/07/1996 , El Mundo, 01/07/1996 [España] [Madrid, Unidad Editorial, 1997] Deportes;NA;El Mundo, 01/07/1996;1/7/96;Deportes;España;También nos reíamos de vernos aún compitiendo, después de tantos años. Nos reíamos del hecho de que quizá somos las únicas dos personas en el mundo que saben lo que nos ha costado física y emocionalmente seguir compitiendo tras haber pasado por tanto.;1996;si;si;si;imperfectivo;animado;;
36;01/07/1996 , El Mundo, 01/07/1996 [España] [Madrid, Unidad Editorial, 1997] Tauromaquia;NA;El Mundo, 01/07/1996;1/7/96;Tauromaquia;España;Barcelona.– Se lidiaron cinco novillos de Paco Ojeda, bien presentados, de juego desigual, y uno de Rio Frío, tercero, manso. Antonio Barrera, ovación tras un aviso y vuelta tras petición. Juan Muriel, silencio y vuelta tras petición. José Calvo, silencio en los dos.;1996;no;;;;;;
37;01/08/1976 , El País, 01/08/1976 [España] [Madrid, Diario El País, S.A., 01/08/1976] Cine y vídeo;NA;El País, 01/08/1976;1/8/76;Cine y vídeo;España;los directores que empezaron a hacer alguna cosa buena, pero esporádica, porque no se podía. Y ahora, sin embargo, en este último tiempo asistimos a un auténtico renacimiento del cine español. Y es que hay una cópula indestructible entre los criterios de la censura y los sueños de los creadores. Somos muy frágiles —ríe—, como un castillo de naipes. Un mero cambio de un funcionario, y... Por otra parte, creo que el futuro del cine va a ser distinto. Va entrar en la intimidad, que es una conquista propiciada por ese invento que es la cinta magnética. Claro que el cine mismo cambiará, con las películas;1976;si;no;no;imperfectivo;animado;;
38;01/08/1976 , El País, 01/08/1976 [España] [Madrid, Diario El País, S.A., 01/08/1976] Música;NA;El País, 01/08/1976;1/8/76;Música;España;"y dedicada como saludo a España («Abuela querida de Fidel y de Martí») y continuó con algunas de sus canciones más conocidas; a pesar de no haberse editado ninguna de sus grabaciones discográficas en España, temas como «Hasta siempre, comandante», dedicada al «Che»; «Cómo no me voy a reír de la OEA», de la que hizo una excepcional y espontánea recreación, o «Ya se acabó la diversión» se han trasmitido por un proceso casi oral y son interpretadas por numerosos intérpretes aficionados o profesionales españoles. Carlos Puebla y Los Tradicionales representan con toda su pureza y su ingenuidad un folklore sin contaminaciones y con";1976;si;si;si;infinitivo;animado;no_reflexiva;
39;01/08/1976 , El País, 01/08/1976 [España] [Madrid, Diario El País, S.A., 01/08/1976] Política;NA;El País, 01/08/1976;1/8/76;Política;España;"y Gramsci; Camacho y Sartorius, dedicaban sus obras en un stand fácilmente reconocible por la masa de público que lo asediaba; centenares de jóvenes de ambos sexos, con el atuendo y porte desenvueltos característicos de los campus universitarios norteamericanos, paseaban en grupos bulliciosos, se detenían a hojear la vasta mercancía impresa, bromeaban, reían, se perdían en el gentío cogidos del brazo. Algo extraordinario: lo mismo que si estuviera en el extranjero. Es decir, me sentía como en mi propia casa.";1976;si;no;no;imperfectivo;animado;;
40;01/08/1980 , El País, 01/08/1980 [España] [Madrid, Diario El País, S.A., 01/08/1980] Deportes;NA;El País, 01/08/1980;1/8/80;Deportes;España;Ovett pretende pasar a la historia del deporte por algo más que por sus portentosas facultades. Al acabar la carrera sonriente, con un índice levantado como pintaban a san Vicente Ferrer, echó una especie de bendiciones al público. Ovett se ríe de la música y de quien la toca. Por ahora le va bien. Por ahora puede permitirse el lujo de imitar a Luis Miguel Dominguín. Ovett es un corredor que parece inigualable en casi todo. Coe lo pasará muy mal para vencerle.;1980;si;si;si;imperfectivo;animado;;
41;01/08/1984 , El País, 01/08/1984 [España] [Madrid, Diario El País, S.A., 01/08/1984] Negocios;NA;El País, 01/08/1984;1/8/84;Negocios;España;La alegría del que ríe último;1984;frase hecha;;;;;;
42;01/08/1985 , El País, 01/08/1985 [España] [Madrid, Diario El País, S.A., 01/08/1985] Sociología;NA;El País, 01/08/1985;1/8/85;Sociología;España;— Basta —dije— ¿Te estás riendo de mí? Me gustaría veros si tuviérais que vivir de vuestro sector primario. ¿Cuánto representa realmente en vuestra economía, contándolo todo, los arenques y las patatas y la madera y la mantequilla? ¿El 8%? ¿El 7%? ¿El 6,5%?;1985;si;si;si;gerundio;animado;no_reflexiva;
43;01/08/1987 , El País, 01/08/1987 [España] [Madrid, Diario El País, S.A., 01/08/1987] Cine y vídeo;NA;El País, 01/08/1987;1/8/87;Cine y vídeo;España;que proviene de la cancha de tenis, al tiempo que escucha los sonidos característicos de un partido. Pero la pista está vacía. Siguen produciéndose sucesos extraños que llevan a pensar a Maggie, al fin, que la pista de tenis está embrujada. El asunto es encargado a un parapsicólogo, que logra filmar cómo una sombra que se ríe tenebrosamente le asesina. La solución, esta noche a las 23.45 en la primera cadena, dentro del espacio Misterio.;1987;si;si;no;imperfectivo;inanimado;;
44;01/08/1987 , El País, 01/08/1987 [España] [Madrid, Diario El País, S.A., 01/08/1987] Economía y hacienda;NA;El País, 01/08/1987;1/8/87;Economía y hacienda;España;Esta ampliación del sector público cuando tantos países del Tercer Mundo eligen la privatización muestra una vez más que el Gobierno peruano está decidido a reírse de las reglas elementales de una política económica ortodoxa. La prevista nacionalización del sistema bancario no tiene una explicación económica clara. García ha señalado que es necesario movilizar fondos hacia inversiones productivas y facilitar el acceso a los créditos bancarios a los campesinos más necesitados. Pero existe ya una estricta normativa para los bancos e instituciones financieras;1987;si;si;si;infinitivo;animado;;
45;01/10/1985 , El País, 01/10/1985 [España] [Madrid, Diario El País, S.A., 01/10/1985] Deportes;NA;El País, 01/10/1985;1/10/85;Deportes;España;". Ella no se incluye en el grupo de ""niños prodigio explotados por sus padres"", tan frecuente en el ajedrez. ""Afortunadamente, yo no tuve ese problema, pero lo conozco bien porque ocurre a menudo en Georgia. En mi caso, la familia respetó siempre mi voluntad"". ""En realidad"", añade riendo, ""es ahora cuando me obligan a jugar"". Para que no haya dudas sobre el tema, concluye: ""Hablando en serio, mi madre es actualmente mi mejor amiga y mi principal soporte psicológico"". Chiburdanidze fue campeona soviética a los 16 años y se proclamó campeona del mundo a los 17. Para ella,";1985;si;no;no;gerundio;animado;;
46;01/10/1987 , El País, 01/10/1987 [España] [Madrid, Diario El País S.A., 01/10/1987] Deportes;NA;El País, 01/10/1987;1/10/87;Deportes;España;El Leche Río, único invicto en la Primera B;1987;no;;;;;;
47;01/10/1987 , El País, 01/10/1987 [España] [Madrid, Diario El País S.A., 01/10/1987] Historia;NA;El País, 01/10/1987;1/10/87;Historia;España;": ""When New Orleans was the capital of the Spanish province of Luisiana, 1762-1803"". ""This street bore the name of San Pedro"". Junto a estos caballeros, otro yanqui hacía de fraile para bendecir el río. Habiendo también una princesa indígena, yo le indiqué el Guadiana para que a través del mar llegasen esas flores hasta la ría del Manattee, en Florida. Resultaba impresionante contemplar a estos estadounidenses llegando hasta Badajoz para recordar a los españoles que, gracias a extremeños, como De Soto, habían iniciado la defensa del Atlántico norte: la OTAN. Por eso hay que recordar, una vez más, al gran Lummis cuando afirmó que: ""Si no";1987;no;;;;;;
