BIBLIOGRAFÍA;CORDEMÁFORO;AUTOR;TÍTULO;FECHA;TEMA;PAÍS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
1376-1396 [último cuarto del s. XIV (1385-1393)] FERNÁNDEZ DE HEREDIA, JUAN, De secreto secretorum [España] [Juan Manuel Cacho Blecua, Zaragoza, Universidad de Zaragoza, 2003] Educación;V;FERNÁNDEZ DE HEREDIA, JUAN;De secreto secretorum;1376-1396[último cuarto del s. XIV (1385-1393)] ;Educación;España;"Conuiente en tu ordenamiento auer goyo et alegria et razon et gloria et alabança et uençimiento de los enemigos, et sperança et grant fiança en tu pueblo; et deletarte en iuegos et ueyr caras fermosas, et huyr libros de plazeres et star con aquellos con qui mas amas; et redir et burlar con ellos et huyr cantares bellos; et seyr uestido de bellos uestidos et de uarios colores et ornados segunt los tienpos, et seyr untado de unguentes en los tienpos conuenibles.";si;no;no;infinitivo;animado;;
c1378-1406 [mediados del s. XV] LÓPEZ DE AYALA, PERO, Rimado de Palacio [España] [Germán Orduna, Madrid, Castalia, 1987] Verso;;LÓPEZ DE AYALA, PERO;Rimado de Palacio;c1378-1406[mediados del s. XV] ;Verso;España;"el dueño de mí la su valía.   El ochauo defiende: non serás mal testigo por amor nin por pauor, amigo nin enemigo; nunca por el tu dicho otro pierda su abrigo; aurá buena ventura, quien fiziere el castigo. *  Nunca te pagues mucho de querer profaçar, * nin de escarnesçer nin de falso burlar; ca esto non es ál si non mal enfamar al próximo inoçente, por le muy más dañar. *  De biuos e de muertos, Señor, yo profaçé; afirmé muchas vezes las cosas que non sé; enfamé al mi christiano e su fama dañé, por que, Señor, te pido perdón pues que";no;;;;;;
1379-a1425 [s. XV (c1465)] VILLASANDINO, ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;;VILLASANDINO, ALFONSO DE;Poesías(Cancionero de Baena);1379-a1425[s. XV (c1465)] ;Verso;España;".   2 Es en los bivos muy bien declarado e por exemplo assaz verdadero en cómo este mundo es fallesçedero, assí como sueño que es olvidado. ca non sabe quándo será derribado del mundo cabtivo que aína * fal lesçe. * pues vedes que a todos aquéstos conteçe, al rico e al pobre que finca burlado.  3 Es este mundo burlador conosçido porque a todos muy mal escarmienta, pone a los omnes en gran d * sobrevienta * e non veo en él un gozo complido. ¡Assí Dios me ayude! que quando comido * sus grandes bolliçios e rumbos estraños, tengo por poco vevir ochenta años; quando non cuido,";no;;;;;;
1379-a1425 [s. XV (c1465)] VILLASANDINO, ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;R;VILLASANDINO, ALFONSO DE;Poesías(Cancionero de Baena);1379-a1425[s. XV (c1465)] ;Verso;España;"5 Los sus ofiçiales e muchos criados que vieron un tiempo el mundo a su parte, deprenden * de nuevo otra sotil arte e ruegan agora de quien eran rogados; dizen con coita estando apartados: * ""¿Qué es ya del tiempo de nuestra privança?  Avemos en troque mucha tribulança e somos del mundo agora burlados.""  6 El bien d'este mundo es falleçedor segunt que por obra lo vedes passar, pues non se deve ninguno esforçar de mucha riqueza nin ser grant señor; que non veo en él más fructo mejor que ser diligente en el bien obrar, demás si plazeres pudiere tomar, que todo lo otro ha poco";transitivo;;;;;;
1379-a1425 [s. XV (c1465)] VILLASANDINO, ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;;VILLASANDINO, ALFONSO DE;Poesías(Cancionero de Baena);1379-a1425[s. XV (c1465)] ;Verso;España;gasajado * bailar a Graçiosa, muger del Trompeta, oíd dulçes cantos d'algunt buen poeta: será vuestro pienso * alquanto * aliviado.  6 Quiçá que faredes al Rey más pagado, al qual Dios ensalçe e en coraçón meta  que abaxe e destruya la vil perra seta * del falso Mahomad e finque burlado.;no;;;;;;
1379-a1425 [s. XV (c1465)] VILLASANDINO, ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;;VILLASANDINO, ALFONSO DE;Poesías(Cancionero de Baena);1379-a1425[s. XV (c1465)] ;Verso;España;"*  7 Mi señor Adelantado, ya la fiesta se revessa, * atendiendo al abadessa * a quien fui encomendado; * ésta en dinero contado me será caritativa desque Enrique, fi' de Oliva, * salga de ser encantado.  8 Mi señor Adelantado, otros a quien escreví quiérolos nombrar aquí, porque sin pleito burlado fezieron todo aguisado, * con efecto razona ble * -able * cada qual segunt su estado.  9 Ya dexemos lo passado si en algo es incurable;  tornemos a lo palpable, si puede ser enmendado.";no;;;;;;
1379-a1425 [s. XV (c1465)] VILLASANDINO, ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;R;VILLASANDINO, ALFONSO DE;Poesías(Cancionero de Baena);1379-a1425[s. XV (c1465)] ;Verso;España;"só bien çierto e sé qu'el vuestro alto cuidar sabe todo este cantar  asonar. *  2 Pues vuestra obra es fermosa, guardada sin mal pensar, la grant dinidat onrosa * vos la devedes cobrar; si lo veo, folgaré porque lo profetizé * en Roa, * do vos fallé presto por me consolar sin burlar.  3 Que, señor, non sé quién osa nin osando osa osar el contrario de tal cosa, ca bien se puede mojar; * yo no digo nin diré quién es, antes callaré, pero siempre loaré vos, que devo loar guardar.   4 Señor, queredvos membrar * de mí, que vos siempre";absoluto;;;;;;
1379-a1425 [s. XV (c1465)] VILLASANDINO, ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;R;VILLASANDINO, ALFONSO DE;Poesías(Cancionero de Baena);1379-a1425[s. XV (c1465)] ;Verso;España;a Datán e Abirón. *  3 Por el trono en que sobistes seguiendo el bien que siguistes, quien * son ledos o quien tristes, echemos seso * a montón. *  4 Esto bien lo meresçistes pues, señor, desque naçistes en alto siempre tovistes los ojos como falcón.  5 Por el bien que me fezistes sin burlar desque me vistes, sabed que me conqueristes * por vuestro sin ser follón. *  6 Aunque es caçafatón, * ya vazío es mi bolsón.;absoluto;;;;;;
1379-a1425 [s. XV (c1465)] VILLASANDINO, ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;R;VILLASANDINO, ALFONSO DE;Poesías(Cancionero de Baena);1379-a1425[s. XV (c1465)] ;Verso;España;"pequeño afán, sin aver revés, segunt otros han. En esto se están e aun se estarán fasta que pronunçie el alto Soldán: * desque pronunçiare, muchos callarán, que verçüeña avrán.  6 Porque enxerí * aquí este refrán * algunos dirán: rico balandrán * unos nin otros non me lo darán; quiçá burlarán.";frase hecha;;;;;;
c1400-a1440 [s. XV (c1439)] LÓPEZ, ÍÑIGO, «Poesías»(Cancionero de Palacio) [España] [Salamanca, Junta de Castilla y León, 1993] Verso;R;LÓPEZ, ÍÑIGO;Poesías(Cancionero de Palacio);c1400-a1440[s. XV (c1439)] ;Verso;España;"Mis oxos fueron a veer fermosura tan estranya que de bien poqua manya yo fuy preso en su poder.  Por burlar fuy demudado a ver su grant fermosura, mas yo, triste, sin ventura, del todo quedé burlado; por cierto, de tal manera, que de quien yo antes era esto le plega saber: que no me deve querer.";absoluto;;;;;;
c1400-a1440 [s. XV (c1439)] LÓPEZ, ÍÑIGO, «Poesías»(Cancionero de Palacio) [España] [Salamanca, Junta de Castilla y León, 1993] Verso;;LÓPEZ, ÍÑIGO;Poesías(Cancionero de Palacio);c1400-a1440[s. XV (c1439)] ;Verso;España;"Mis oxos fueron a veer fermosura tan estranya que de bien poqua manya yo fuy preso en su poder.  Por burlar fuy demudado a ver su grant fermosura, mas yo, triste, sin ventura, del todo quedé burlado; por cierto, de tal manera, que de quien yo antes era esto le plega saber: que no me deve querer.";no;;;;;;
c1400 [principios del s. XV] LÓPEZ DE AYALA, PERO, Traducción de las Décadas de Tito Livio [España] [Curt J. Wittlin, Barcelona, Puvill, 1982] Historia;V_manual;LÓPEZ DE AYALA, PERO;Traducción de las Décadas de Tito Livio;c1400[principios del s. XV] ;Historia;España;"cosa pública que sería restituida sobre este punto. E el otro cónsul, non queriendo qu'él paresciesse ser actor en estas cosas, sofrió luengamente que su conpañero rescibiese la protestación de assí grave negocio, e estonce se movió e ocupó en otras cosas que tocavan el oficio del consulado. Estonce los tribunos començaron a burlar e trufar de los dichos cónsules como de palabras vanas, e demandavan en quál manera los cónsules entendían de levar esta hueste sobre los canpos, los quales non sufrían aver elección nin escripvyr los cavalleros. Mas a estas cosas respondió el dicho Quincius: ""Nós, dixo él, non avemos punto mester elección e discrepción";si;no;si;infinitivo;animado;;no reflexiva
c1400 [principios del s. XV] LÓPEZ DE AYALA, PERO, Traducción de las Décadas de Tito Livio [España] [Curt J. Wittlin, Barcelona, Puvill, 1982] Historia;V_manual;LÓPEZ DE AYALA, PERO;Traducción de las Décadas de Tito Livio;c1400[principios del s. XV] ;Historia;España;"loaron al dicho Quincius e dezían que él avía muy bien dicho su fabla e su sermón así como palabras dignas de señorío e inperio consular, assí por razón de quatro consulados que él avía avido como por razón de los fechos e de los merescimientos de su persona. E dezían más que los otros cónsules en burlando al pueblo avían traydo e engañado la dignidat de los padres, o en defendimiento desto  muy agramente avían tirado los derechos de aquella orden, en queriendo someter la muchedunbre del pueblo la avían fecho más áspera; mas que Titus Quincius avía fecho un sermón maravilloso, do él á contado aquéllo que fazía a la";transitivo;;;;;;
p1400-a1440 [s. XV (c1439)] GUEVARA, FERNANDO DE, «Poesías»(Cancionero de Palacio) [España] [Salamanca, Junta de Castilla y León, 1993] Verso;;GUEVARA, FERNANDO DE;Poesías(Cancionero de Palacio);p1400-a1440[s. XV (c1439)] ;Verso;España;Yo us he visto requestar tantas damas en Castilla, Johan de Merlo, qu'en Sevilla tienen d'esto que parlar. ¿Para qué queréys fengir que morís por tal manjar? A vos conviene seguir camino de no'nganyar o, ¡vía!, la burla jugar.;no;;;;;;
c1400 [finales del s. XIV o principios del s. XV] ANÓNIMO, Biblia Escorial I-j-4: Pentateuco [España] [O.H. Hauptmann, Philadelphia, University of Pennsylvania Press, 1953] Religión;;ANÓNIMO;Biblia Escorial I-j-4: Pentateuco;c1400[finales del s. XIV o principios del s. XV] ;Religión;España;"corronper auemos aqueste lugar; ca grande es el su clamor çerca dela faz de Dios. Et enbio nos el Sennor ala corronper; e salio Loth e fablo asus yernos, maridos de sus fijas, e dixo: leuantad vos e salid deste lugar, ca corronpe el Sennor este lugar. Et fue commo burlante en ojos de sus yerrnos. Et asy commo el alua subio, soliçitaron los angeles aLoth, diziendo: leuantate, toma atu muger e atus dos fijas presentes; por que non te destruyas conel pecado dela çibdat. Et detardose; e prisieron los omnes su mano, e mano de su muger e";no;;;;;;
c1400 [finales del s. XIV o principios del s. XV] ANÓNIMO, Biblia Escorial I-j-4: Pentateuco [España] [O.H. Hauptmann, Philadelphia, University of Pennsylvania Press, 1953] Religión;A;ANÓNIMO;Biblia Escorial I-j-4: Pentateuco;c1400[finales del s. XIV o principios del s. XV] ;Religión;España;"a Rrachel e aLea al canpo, asu ganado; e dixo aellas: veo la cara de vuestro padre, que non esta comigo segunt ayer e antiyer; e el Dios de mi padre ayer fue comigo. Et vos otras sabedes que con toda mi fuerça serui avuestro padre; e vuestro padre burlo de mi e diversifico mi salario por diez vezes; e non le dexo Dios fazer mal comigo.  Sy asy dixo: goteados sea tu salario, e parieron todas las ouejas goteados; e sy dixo: manchados sea tu salario, e parieron todas las ouejas manchados. Et quito el Sennor el ganado de vuestro padre";intransitivo;no;si;perfectivo;animado;;
c1400 [finales del s. XIV o principios del s. XV] ANÓNIMO, Biblia Escorial I-j-4: Pentateuco [España] [O.H. Hauptmann, Philadelphia, University of Pennsylvania Press, 1953] Religión;A;ANÓNIMO;Biblia Escorial I-j-4: Pentateuco;c1400[finales del s. XIV o principios del s. XV] ;Religión;España;"yuso de Balam; e encendio se la yra de Balam, e firio el asna conla vara. Et abrio el Sennor la boca del asna, e dixo aBalam: ¿que te fize, que me has ferido con esta son tres vezes? Et dixo Balam al asna: por que tu has burlado de mi; e agora touiese espada en mi mano, que agora te mataria. Et dixo el asna aBalam: cierta mente yo soy tu asna, que caualgaste sobre mi desque eres fasta el dia de oy; ¿si te puse en peligro para te fazer tal? E dixo: non. Et descubrio el Sennor los";intransitivo;no;si;perfectivo;animado;;
c1400 [segundo cuarto del s. XV] LÓPEZ DE AYALA, PERO, Crónica del rey don Pedro y del rey don Enrique [España] [Germán Orduna, Buenos Aires, SECRIT-Incipit, I: 1994, II: 1997] Historia;;LÓPEZ DE AYALA, PERO;Crónica del rey don Pedro y del rey don Enrique;c1400[segundo cuarto del s. XV] ;Historia;España;Pero Manrrique gelas fizo acoger e dar posadas, e sallio al rrey fuera de la villa e pidiole por merçed que entrasse. E ya commo fue, el rrey de Nauarra non se fiaua en aquella caualgada  e penso pues que los suyos eran entrados en la villa, que luego paresçeria si auia en este fecho alguna burla e que le cunplia atender lo que seria, e non quiso entrar, antes se arredro de la puente e dixo que otro dia seria alli e que entraria de buena mente.;no;;;;;;
c1400-a1440 [s. XV (c1439)] CARRILLO DE ACIMÁN, GÓMEZ, «Poesías»(Cancionero de Palacio) [España] [Salamanca, Junta de Castilla y León, 1993] Verso;R;CARRILLO DE ACIMÁN, GÓMEZ;Poesías(Cancionero de Palacio);c1400-a1440[s. XV (c1439)] ;Verso;España;"Amor, si yo por burlar passé tienpo en otra parte, sin duda fue por provarte.  Mas yo siempre te serví e sirvo de cada día, aunque nunca reçebí de tu merçet cortesía; sé que me puedo llamar tuyo, triste, por non ver persona tan singular.";absoluto;;;;;;
c1400-a1440 [s. XV (c1439)] CÁRDENAS, PEDRO DE, «Poesías»(Cancionero de Palacio) [España] [Salamanca, Junta de Castilla y León, 1993] Verso;R;CÁRDENAS, PEDRO DE;Poesías(Cancionero de Palacio);c1400-a1440[s. XV (c1439)] ;Verso;España;"Mi coraçón, ¿vos quedáis o qué fazéis, que no venís? Vos dezitme si partís si no vome, adiós seáys.  No quiero más esperar c'astí quedando perdrés, a lo menos no dirés  que yo vos fize quedar; vos dezitme si burláis, paréçeme que os reís, verés si comigo ys si no vome, adiós siáys.";absoluto;;;;;;
1406-1411 [s. XV] ANÓNIMO, Crónica de Juan II de Castilla [España] [Juan de Mata Carriazo y Arroquia, Madrid, Real Academia de la Historia, 1982] Historia;;ANÓNIMO;Crónica de Juan II de Castilla;1406-1411[s. XV] ;Historia;España;En el qual alarde ovo muchas burlas, que muchos de los vasallos del Rey y de los grandes caualleros de Castilla alquilaron omes de pie de los conçejos por jornal de un día, con que fiziesen alarde, ansí de las aldeas de señoríos como de los de Seuilla e de las otras ciudades e villas. E así fizieron su alarde e finchieron quanto;no;;;;;;
1406-a1435 [s. XV (c1465)] BAENA, JUAN ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;;BAENA, JUAN ALFONSO DE;Poesías(Cancionero de Baena);1406-a1435[s. XV (c1465)] ;Verso;España;"el paño de tiritaña. * e veamos quién regaña. *  3 Señor alto, Rey de España, pues tenemos tales juezes que miren nuestros jahezes, si venimos de Alimaña o de Chipre o de Cucaña, * mande vuestr a  señoría * que pierdan malenconía e tomen plazentería, sin enojo e sin zizaña, ca la burla non rascaña. *   4 Señor alto, Rey de España, yo les mando mal otoño, ca les meteré el demoño; démelo por testimo ño * Ferrand López de Saldaña, * que de risa bien se apaña.";no;;;;;;
1406-a1435 [s. XV (c1465)] BAENA, JUAN ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;;BAENA, JUAN ALFONSO DE;Poesías(Cancionero de Baena);1406-a1435[s. XV (c1465)] ;Verso;España;"* polida, graçiosa, que assí vos atiesta, * non le pornedes parlando de gesta * miedo tan grande que le terrefique.  2 Fernand Manuel, non se glorifique aquel que con miedo se caga en la silla, ca si vos catan * so la rabadilla fallarán tal çumo que vos perjudique; mas, por que la burla non se publique, guardadvos, amigo, de aver mala fiesta, ca, si yo empulgo * mi rezia ballesta, la vida e * la onra tenéis en un trique. *  3 Ferrand Manuel, tañer el farlique * en harpa o guitarra echado de cuesta, * vos dó la ventaja, mas juro por ésta";no;;;;;;
1406-a1435 [s. XV (c1465)] BAENA, JUAN ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;R;BAENA, JUAN ALFONSO DE;Poesías(Cancionero de Baena);1406-a1435[s. XV (c1465)] ;Verso;España;", * e responde Juan Vizconde: ""Non sé dónde libre *  el * Conde,  ¡ay, ay, ay!, por que a bonde, * ca por me librar con brío calentura tengo e frío.""  6 Muy casto, aun digo que más es mi duelo pues mi enemigo ya es Daviuelo, * ca burla comigo e non ha reçelo de ser mal amigo, maguer * que le velo repullones * e baldones e chançones * e cançiones ¡ay, ay, ay! por mill razones. Si Daví daña o revessa * buelta es la grant remessa. *";absoluto;;;;;;
1406-a1435 [s. XV (c1465)] BAENA, JUAN ALFONSO DE, «Poesías»(Cancionero de Baena) [España] [Madrid, Visor, 1993] Verso;R;BAENA, JUAN ALFONSO DE;Poesías(Cancionero de Baena);1406-a1435[s. XV (c1465)] ;Verso;España;1 Si me sodes buen padrino, mi señor Alfonso Pérez, e me sodes buen alférez, llanamente determino que esta noche, Dios queriendo, a Ferrant López plaziendo, quier burlando, quier riendo, me darán para tozino.  2 Pero si fuer' al revés e non se libra * este mes, en mi ojo grant pujés * meresco por adevino. *;absoluto;;;;;;
c1407-1463 [s. XV (1460-1463)] MARQUÉS DE SANTILLANA (ÍÑIGO LÓPEZ DE MENDOZA), «Sin título»(Cancionero de Estúñiga) [España] [Madrid, Alhambra, 1987] Verso;R;MARQUÉS DE SANTILLANA (ÍÑIGO LÓPEZ DE MENDOZA);Sin título(Cancionero de Estúñiga);c1407-1463[s. XV (1460-1463)] ;Verso;España;", segond que fizo a Fesón, pues tan bien uos razonáys"".  Respondió: ""Amigo, non curo de amar nin ser amado, ca, por Iúpiter uos iuro, yo nunca fue enamorado, bien que el amor, de grado, asayó mi fantasía; mas yo, uiendo su falsía, me guardé de ser burlado"".   Yo le repliqué: ""Sennor, ¿qu'es aquesto que uos faze tan rotamente de amor dezir esto que uos plaze? ¿Es que non uos satisfaze seruicio, sy le fezistes, o por quál razón dixistes que su fecho uos desplaze?""   Dixo: ""Amigo, non queráys saber más de";transitivo;;;;;;
c1407-1463 [s. XV (1460-1463)] ANÓNIMO, «Sin título»(Cancionero de Estúñiga) [España] [Madrid, Alhambra, 1987] Verso;R;ANÓNIMO;Sin título(Cancionero de Estúñiga);c1407-1463[s. XV (1460-1463)] ;Verso;España;"enamorara, tanta ui su fermosura. Dixe: ""¿Qué queréys mandar, sennora, pues soys casada? Que uos non quiero enoiar nin offender mi enamorada"".   Replicó: ""Yd en buen hora, non curés de amar uillana; pues seruís a tal sennora, non troqués seda por lana, nin queráys de mí burlar, pues sabéys que só enaienada"". Vi serrana que tornar me fizo de mi iornada.";intransitivo;no;si;imperfectivo;animado;;
c1407-1463 [s. XV (1460-1463)] VALERA, DIEGO DE, «Sin título»(Cancionero de Estúñiga) [España] [Madrid, Alhambra, 1987] Verso;R;VALERA, DIEGO DE;Sin título(Cancionero de Estúñiga);c1407-1463[s. XV (1460-1463)] ;Verso;España;"que ella se duelle de mí que sufro tal danno y ella muestra, como suelle, que me tiene por estranno;  por ende, podéys pensar, pues que nunca se meiora, la cruel de mi sennora qué uida me faz passar.   Muchas ueses yo le digo toda mi quexa llorando, ella ríese comigo, tómalo todo burlando. ¿Qué plazer puedo tomar viendo mucho en mal hora la cruel de mi sennora qué uida me faz passar?";absoluto;;;;;;
