BIBLIOGRAFÍA;AUTOR;TÍTULO;FECHA;CRITERIO;BLOQUE;MEDIO;SOPORTE;TEMA;PAÍS;ZONA;TIPOLOGÍA;NOTAS;CONCORDANCIA
kovalski: «Bernhard y la Venus de Cabanel». El dilema de Kovalski. danivanhelsing.blogspot.com.es: danivanhelsing.blogspot.com.es, 2006-10-30.;kovalski;El dilema de Kovalski;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;esto era así ¿por qué no decidió suprimir su personalidad, no digo ya que se inclinara al suicidio, sino más bien por qué no hizo una desautorización de su propia identidad, manifestando la impregnación que el contexto le validaba para así ejercer una nueva actuación humana que no recalificara su proceso creativo, de forma que cualquiera pudiera reirse cuando y cuanto considerara menester? Lo cierto es que los actores continuaron su trabajo sin reparar en los horribles asesinatos que se estaban llevando a cabo en el patio de butacas. ¿Significa esto que la presencia del arte llega a anestesiar hasta los más básicos soportes éticos del individuo? Es decir, ¿salvaría
Abuín, Alberto: «'Manuale D'Amore', todo sobre el amor». Críticas de películas y estrenos. Blog de cine. www.blogdecine.com: blogdecine.com, 2006-01-02.;Abuín, Alberto;Críticas de películas y estrenos. Blog de cine;2006;Primera edición;No ficción;Escrito; ;Artes, cultura y espectáculos;España;;Blog;;la mujer frustrada o traicionada, hasta llegar al hombre abandonado. Carlo Verdone, Silvio Muccino, Luciana Littizzetto y Sergio Rubini entre otros ofrecen buenas interpretaciones de unos personajes entrañables que llenan la pantalla, y con los que, todo aquel que haya estado enamorado o tenga una relación, no le será difícil identificarse. Yo concretamente me reí muchísimo en la primera historia, viendo las 'locuras' que uno es capaz de hacer por amor.
Abuín, Alberto: «'Manuale D'Amore', todo sobre el amor». Críticas de películas y estrenos. Blog de cine. www.blogdecine.com: blogdecine.com, 2006-01-02.;Abuín, Alberto;Críticas de películas y estrenos. Blog de cine;2006;Primera edición;No ficción;Escrito; ;Artes, cultura y espectáculos;España;;Blog;;punto negativo señalaría que en la tercera etapa, la de la traición, la película pierde un poco de gas, al estar un poco peor explicada y su resolución no ser demasiado convincente. Ésto le impide ser un film perfecto, pero no le impide ser una muy buena película con la que uno llora, ríe, se lo pasa pipa y sale del cine con una sonrisa tanto exterior como interior. Ya les gustaría a muchos de por aquí hacerlo la mitad de bien de lo que está película está.
Abuín, Alberto: «'Un Franco, 14 Pesetas', ¡Así se hace!». Críticas de películas y estrenos. Blog de cine. www.blogdecine.com: blogdecine.com, 2006-05-13.;Abuín, Alberto;Críticas de películas y estrenos. Blog de cine;2006;Primera edición;No ficción;Escrito; ;Artes, cultura y espectáculos;España;;Blog;;Suiza para Carlos Iglesias, y concretamente ese pueblo en el que rodó parte de la película, y al que vuelve todos los años de visita. Su amor por ese lugar y por sus gentes, y sobre todo por una forma distinta de pensar, nos es transmitido maravillosamente, lo comparte con nosotros, haciéndonos reir, llorar y de paso dando una lección, sin pretender hacerlo, al resto de colegas profesionales. Menuda película. Si en la próxima edición de los Goya no se ve recompensada en más de una modalidad, es que no hay justicia en el mundo, a parte de muchos envidiosos. Así se hace
jserna: «¿La mala educación?». Serna, Justo: Los archivos de Justo Serna. justoserna.com: justoserna.com, 2006-07-19.;Serna, Justo;Los archivos de Justo Serna;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;Uno de los últimos libros que he leído y con los que más me he reído es He dicho, de Andreu Buenafuente (obra de la que, por cierto, he escrito una reseña periodística). No es cultura basura: es un volumen generado por la cultura de masas que estimula la agudeza, el ingenio. Precisamente por eso se lo recomendé a mi hijo. Tiene dieciséis años y Buenafuente es un referente para
Ortiz, Enrique: «Fantasmas, de Chuck Palahniuk». El blog de Enrique Ortiz. elblogdeenriqueortiz.blogspot.com.es: elblogdeenriqueortiz.blogspot.com.es, 2006-09-13.;Ortiz, Enrique;El blog de Enrique Ortiz;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;¿Qué quieren que les diga? A mí me gusta Chuck Palahniuk. Mucho. Más allá de la teorización sobre la cultura pop, sobre la contracultura o sobre la vanguardia, a mí Palahniuk me divierte, hace que me ría y, en alguna ocasión, que me ría mucho.
Ortiz, Enrique: «Fantasmas, de Chuck Palahniuk». El blog de Enrique Ortiz. elblogdeenriqueortiz.blogspot.com.es: elblogdeenriqueortiz.blogspot.com.es, 2006-09-13.;Ortiz, Enrique;El blog de Enrique Ortiz;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;¿Qué quieren que les diga? A mí me gusta Chuck Palahniuk. Mucho. Más allá de la teorización sobre la cultura pop, sobre la contracultura o sobre la vanguardia, a mí Palahniuk me divierte, hace que me ría y, en alguna ocasión, que me ría mucho.
Centinel: «Fundamentalismo católico». El Blog de Centinel. elcentinel.blogspot.com.es: elcentinel.blogspot.com.es, 2006-12-21.;Centinel;El Blog de Centinel;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;Buscando por la red al respecto, encontrarás cosas que te harán reir, llorar e incluso temblar. Para empezar fuerte, este vídeo de chavalotes y chavalitas guapos/as, formales, seguramente vírgenes y que probablemente han sacado el BUP o el COU, o como se llame ahora, con notas estupendas. Sus argumentos son tan aplastantes que hasta yo me lo estoy empezando a plantear: ¿Cómo es
Centinel: «Fundamentalismo católico». El Blog de Centinel. elcentinel.blogspot.com.es: elcentinel.blogspot.com.es, 2006-12-21.;Centinel;El Blog de Centinel;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;este vídeo de chavalotes y chavalitas guapos/as, formales, seguramente vírgenes y que probablemente han sacado el BUP o el COU, o como se llame ahora, con notas estupendas. Sus argumentos son tan aplastantes que hasta yo me lo estoy empezando a plantear: ¿Cómo es que las galaxias tienen los brazos de espiral? Para reir pero llorando un poco. Y quizás alguna arcadita que otra.
Liceaga, Ambrosio: «Mis cinco extraños hábitos». CienciaDeBolsillo.com. cienciadebolsillo.com: cienciadebolsillo.com, 2006-02-18.;Liceaga, Ambrosio;CienciaDeBolsillo.com;2006;Primera edición;No ficción;Escrito; ;Actualidad, ocio y vida cotidiana;España;;Blog;;Quinto: No continuo las cadenas, aunque agradezco enormemente que se acuerden de mi (gracias Omalaled, no es algo personal). Si es para darme suerte, llenarme de dinero o garantizarme sexo sin limite, me rio y lo dejo pasar. Cuando es una historia falsa, devuelvo el correo. E intento convencer al remitente, con suavidad, del error que supone reenviarlos. Una buena forma es remitirle a esta lista de historias falsas.
Altea: «¿Cómo se detecta a un filósofo?». Reflexiones de un filósofo cotidiano. blog.nueva-acropolis.es: blog.nueva-acropolis.es, 2006-05-21.;Altea;Reflexiones de un filósofo cotidiano;2006;Primera edición;No ficción;Escrito; ;Ciencias sociales, creencias y pensamiento;España;;Blog;;bien. Una de mis favoritas era: ¿qué animal habrá sido ese hombre, justo antes de ser hombre? Es increíble cómo las personas se parecen a los animales. Mi padre, sin ir más lejos, es igualito que un sapo. Gordito, pequeño, de ojos saltones y siempre sentado. Hay gente que ríe como los caballos o que anda moviendo la cabeza de alante atrás como los pájaros.
Marín, Daniel: «Reflexiones sobre el programa espacial tripulado...». Eureka. EL BLOG DE DANIEL MARÍN. danielmarin.naukas.com: danielmarin.naukas.com, 2006-06-26.;Marín, Daniel;Eureka. EL BLOG DE DANIEL MARÍN;2006;Primera edición;No ficción;Escrito; ;Ciencias y tecnología;España;;Blog;;"con lo que paradójicamente mantener la ISS operativa sería la única ""excusa"" para continuar el programa espacial tripulado americano. Es por esto que la NASA no sabe qué hacer con la ISS a medio plazo. Los rusos tampoco lo tienen claro: paradojas de la vida, su tándem Soyuz/Progress, del que tanto se reían los americanos en los años 80 y 90, ha demostrado ser el sistema de acceso al espacio más barato, seguro y eficaz de la historia, así que desecharlo por el futuro Klíper es una apuesta cuando menos arriesgada, dado el aún precario estado de las finanzas rusas. El Klíper es una nave más grande, sí"
Ramos, Andy: «Copia Privada y Campamentos de Verano». Interiuris.com. www.interiuris.com/blog: interiuris.com/blog, 2006-07-31.;Ramos, Andy;Interiuris.com;2006;Primera edición;No ficción;Escrito; ;Política, economía y justicia;España;;Blog;;"actividades de entretenimiento estaba la proyección de películas que, ante la sorpresa de este pequeño, eran obras cinematográficas de reciente estreno (""Cars"" o ""Devuélveme Mi Suerte"") que habían sido descargadas de Internet, hecho evidente (me decía) por la escasa calidad de la proyección y porque los monitores se rieron de él cuando les recriminó por la procedencia ilícita de las copias. Pero no sólo eso, sino que además, como premio por ganar determinados concursos que organizaban, obsequiaban a cada ganador con una recopilación ""casera"" de todos los éxitos del verano, canciones obtenidas lógicamente a través de Internet."
Javier: «La ópera prima del señor Poe». Crespo, Javi: Javiercrespoblog. javicrespo.blogspot.com.es: javicrespo.blogspot.com.es, 2006-10-23.;Crespo, Javi;Javiercrespoblog;2006;Primera edición;No ficción;Escrito; ;Política, economía y justicia;España;;Blog;;"Convencido de que de verdad ha llegado a Presidente, el protagonista de la historia da rienda suelta a su necrofilia y comienza a desenterrar muertos de hace setenta años a los que pone medallas y con quienes organiza un desfile de la victoria que ríanse ustedes de La noche de los muertos vivientes, mientras deja que los protagonistas secundarios se tiren cadáveres a la cabeza en unos pitorreos organizados llamados ""comisiones""."
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;De modo que era eso: Silvio pensaba que era una acompañante de esas que se contratan para entretener a los viejos, reírles las gracias y escuchar batallitas sin decir ni mil.
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Silvio se echó a reír.
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;"Nos reímos los dos. A las siete, Lucinda nos trajo una taza de té con bizcochos, y al terminar la merienda me marché. Silvio no me preguntó cuándo iba a regresar, pero creo que se alegró cuando le dije ""hasta el viernes"". Estábamos a martes. Faltaban sólo tres días."
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;No te rías. Ya te he dicho que antes la gente era muy bruta, y los curas de provincias no iban a ser una excepción. El caso es que, aquella tarde, mi padre fue al hotel Almirante a hablar con Zachary West para pedirle que apadrinase al menor de sus hijos. Y el señor West,
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;de mediana edad ocupando el lugar del copiloto. A todas luces eran madre e hija. Iban tan enfrascadas en su conversación que hasta creo que el atasco había dejado de importarles. La mujer joven gesticulaba, más apasionada que indignada, y la otra asentía como dándole la razón, y luego se echó a reír. Hubiese querido bajar la ventanilla y escuchar las carcajadas de aquella mujer. Inevitablemente, pensé que mi madre y yo hubiéramos podido protagonizar aquella escena de no haber tenido tan mala suerte. Yo iría con ella, en un coche, bajo la lluvia, y le explicaría algo que me hubiese ocurrido, algo gracioso, y a ella le
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;las carcajadas de aquella mujer. Inevitablemente, pensé que mi madre y yo hubiéramos podido protagonizar aquella escena de no haber tenido tan mala suerte. Yo iría con ella, en un coche, bajo la lluvia, y le explicaría algo que me hubiese ocurrido, algo gracioso, y a ella le daría la risa. Mi madre se reía mucho con las cosas que yo contaba. A ella, que tenía un carácter eminentemente pacífico y dulce, le divertía mi naturaleza impaciente, mi humor sombrío y mi mordacidad extrema. Y se reía, cerrando los ojos y echando la cabeza hacia atrás. Puedo escuchar su risa ahora mismo, en esta tarde de otoño
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;, y le explicaría algo que me hubiese ocurrido, algo gracioso, y a ella le daría la risa. Mi madre se reía mucho con las cosas que yo contaba. A ella, que tenía un carácter eminentemente pacífico y dulce, le divertía mi naturaleza impaciente, mi humor sombrío y mi mordacidad extrema. Y se reía, cerrando los ojos y echando la cabeza hacia atrás. Puedo escuchar su risa ahora mismo, en esta tarde de otoño. La risa de mi madre, que debía de ser parecida a la de la mujer del otro coche.
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Quién reparte los números de esa lotería? ¿Quién y desde dónde decide que haya trayectos vitales tan ridículamente cortos como el de mi madre o el de esos otros desgraciados de las notas necrológicas? ¿Por qué en ese coche una mujer de sesenta y tantos años va partiéndose de risa y yo ya no puedo reírme con mi madre?
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;años. Ninguno de mis amigos es huérfano. Yo soy la única huérfana que conozco, por todos los santos. Apuesto a que hasta el taxista tiene padres, y eso que peina canas. La chica del otro coche tiene a su madre consigo, puede hablar con ella, contarle sus cosas, hacerla reír, pedirle consejos o dárselos. ¿Por qué yo no? ¿Por qué me ocurrió precisamente a mí? Me dieron ganas de pedir al conductor que hiciera cualquier cosa por cambiar de carril hasta apartarnos de aquel coche donde una madre y una hija compartían su intimidad en una tarde de lluvia
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Publio se echó a reír.
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;desde el primer momento. Durante aquellos días tuve ocasión de descubrir hasta qué punto era perfecta y envidiable la relación entre Ithzak y su padre. Ambos parecían muy por encima de ataduras familiares, del afecto impuesto por los lazos de sangre. Eran amigos, cómplices, compañeros de fatigas, colegas, hermanos. Se reían exactamente igual y de las mismas cosas, tenían idéntica forma de sorprenderse y de emocionarse. Durante el viaje nocturno de París a Amsterdam, tocaron juntos el violín en el vagón restaurante, cuando ya todos los clientes se habían marchado. En un instante, una música prodigiosa recorrió todo el tren y, en un
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;"que su espléndida melena rubia era en realidad una peluca y facilitaba las señas de la tienda donde la había comprado, contaba que estaba siguiendo un régimen vegetariano para preservar su hígado maltrecho, que había explicado a sus hijos que iba a perder el pelo ""para que no se asusten cuando tengo que lavar el postizo"". Se reía mucho, era guapa y alegre, y joven, y estaba enferma, y quería ayudar a otros, y no tenía miedo, y contagiaba su serenidad y su optimismo y sus ganas de estar viva. No sé qué habrá sido de Cristina, pero deseo de todo corazón que siga ahí, repartiendo a manos llenas el"
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;No siempre fuimos completamente infelices durante las semanas que precedieron a la muerte de mi madre. Lo cierto es que luchamos con uñas y dientes por procurarnos algunos momentos de alegría. Recuerdo algo que ocurrió una noche con mi sobrina, que entonces tenía ocho meses. Yo jugaba con ella y empezó a reírse. Creo que nunca he escuchado carcajadas tan imponentes en un bebé. Se reía con fuerza, con ganas, como si quisiese jalear mis payasadas y mis muecas. La pequeña se escacharraba, literalmente, y mi madre y yo nos contagiamos de su risa ignorante. Acabamos riéndonos con ella, y ella con nosotras
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;muerte de mi madre. Lo cierto es que luchamos con uñas y dientes por procurarnos algunos momentos de alegría. Recuerdo algo que ocurrió una noche con mi sobrina, que entonces tenía ocho meses. Yo jugaba con ella y empezó a reírse. Creo que nunca he escuchado carcajadas tan imponentes en un bebé. Se reía con fuerza, con ganas, como si quisiese jalear mis payasadas y mis muecas. La pequeña se escacharraba, literalmente, y mi madre y yo nos contagiamos de su risa ignorante. Acabamos riéndonos con ella, y ella con nosotras. No puedo explicar la carga de dicha, la invaluable carga de dicha fugaz
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;. Yo jugaba con ella y empezó a reírse. Creo que nunca he escuchado carcajadas tan imponentes en un bebé. Se reía con fuerza, con ganas, como si quisiese jalear mis payasadas y mis muecas. La pequeña se escacharraba, literalmente, y mi madre y yo nos contagiamos de su risa ignorante. Acabamos riéndonos con ella, y ella con nosotras. No puedo explicar la carga de dicha, la invaluable carga de dicha fugaz que nos transmitió la niña en aquel momento. Me pregunté de dónde estábamos sacando fuerzas para reírnos así en medio de una situación como la nuestra. Ahora lo sé: la risa venía de
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;pequeña se escacharraba, literalmente, y mi madre y yo nos contagiamos de su risa ignorante. Acabamos riéndonos con ella, y ella con nosotras. No puedo explicar la carga de dicha, la invaluable carga de dicha fugaz que nos transmitió la niña en aquel momento. Me pregunté de dónde estábamos sacando fuerzas para reírnos así en medio de una situación como la nuestra. Ahora lo sé: la risa venía del profundo amor que nos profesábamos, del deseo de sentirnos vivas, de imaginar, por unos segundos, que teníamos verdaderos motivos para reír.
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;niña en aquel momento. Me pregunté de dónde estábamos sacando fuerzas para reírnos así en medio de una situación como la nuestra. Ahora lo sé: la risa venía del profundo amor que nos profesábamos, del deseo de sentirnos vivas, de imaginar, por unos segundos, que teníamos verdaderos motivos para reír.
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Es una imagen hermosa. Tres mujeres separadas por un abismo de tiempo y de circunstancias riendo al mismo tiempo. Mi madre, la abuela, intentando a sus sesenta años agarrarse a la vida. Yo, con treinta y cuatro, buscando desesperadamente algún motivo para la esperanza, perdida en mis dudas, haciéndome preguntas, esperando respuestas, intentando dominar mi angustia. Y el bebé, inconsciente de todo,
Rivera de la Cruz, Marta: En tiempo de prodigios. Barcelona: Planeta, 2006.;Rivera de la Cruz, Marta;En tiempo de prodigios;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Mi madre, la abuela, intentando a sus sesenta años agarrarse a la vida. Yo, con treinta y cuatro, buscando desesperadamente algún motivo para la esperanza, perdida en mis dudas, haciéndome preguntas, esperando respuestas, intentando dominar mi angustia. Y el bebé, inconsciente de todo, aguardando otra ocasión para seguir riendo. Mi madre, que pertenece a una generación que consideraba a los médicos como enemigos. Yo, que llevo años visitando al ginecólogo y haciéndome exámenes periódicos de todo tipo para prevenir los infinitos morbos de la sociedad moderna. Y la niña, mi sobrina, riendo a nuestro lado, Ella verá otro mundo
