BIBLIOGRAFÍA;AUTOR;TÍTULO;FECHA;TEMA;PAÍS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
1529-1531 GUEVARA, FRAY ANTONIO DE, Reloj de príncipes [España] [Emilio Blanco, Madrid, Turner, 1994] Novela;GUEVARA, FRAY ANTONIO DE;Reloj de príncipes;1529-1531;Novela;España;diferenciada para honrar la fiesta, o se avía de salir aquel día de Roma o estarse encerrado en casa. Ponían aquel día muchas luminarias encima las casas, y encendían a las puertas muchas hogueras, y hazían muchas farsas los pantomimos y muchos juegos los juglares, porque las fiestas de los hombres vanos más son para regozijar sus cuerpos que no para reformar sus espíritus. Velavan toda la noche en los templos, soltavan aquel día a todos los presos que por deudas estavan presos, y del erario público eran las deudas pagadas, y sin esto tenían por costumbre en Roma que a todos los patricios que venían a pobreza los sustentavan de;transitivo;;;;;;
1529-1531 GUEVARA, FRAY ANTONIO DE, Reloj de príncipes [España] [Emilio Blanco, Madrid, Turner, 1994] Novela;GUEVARA, FRAY ANTONIO DE;Reloj de príncipes;1529-1531;Novela;España;Querría yo que todos abriessen los ojos y viessen cómo viven engañados, ca todos los regozijos que regozijan el cuerpo házennos encreyente que vienen de assiento, y por otra parte pássanse de largo por otro camino, y por contrario las enfermedades y tristezas que cauterizan el espíritu dizen que vienen por huéspedes y alçánsenos por moradores. Maravillado me tienes, Epésipo, porque no sospechas que será de tu hermosura en el tiempo advenidero lo;transitivo;;;;;;
1529-1531 GUEVARA, FRAY ANTONIO DE, Reloj de príncipes [España] [Emilio Blanco, Madrid, Turner, 1994] Novela;GUEVARA, FRAY ANTONIO DE;Reloj de príncipes;1529-1531;Novela;España;"quisiessen ellas estarse recogidas en sus retraimientos, escusarían estos superfluos gastos; porque de ver una muger que su vezina va mejor vestida que no ella se torna contra su marido como una leona. Acontece muchas vezes lo que pluguiesse a Dios que no viéssemos acontescer, y es que, si viene una inopinada fiesta o una regozijada justa, no da la muger a su marido vida hasta que le saca para aquel día una ropa; y, como el pobre señor no tuvo dineros para la pagar, uviéronsela de necessidad de fiar; y, como se passasse la vanidad de la fiesta y se llegasse el tiempo de la paga, oviéronle de afrentar";no;;;;;;
1529-1531 GUEVARA, FRAY ANTONIO DE, Reloj de príncipes [España] [Emilio Blanco, Madrid, Turner, 1994] Novela;GUEVARA, FRAY ANTONIO DE;Reloj de príncipes;1529-1531;Novela;España;", sino pública ladrona; porque no hazen daño a los maridos tanto los ladrones en hurtarles los dineros quanto les hazen las mugeres en agenar dellos los coraçones. Si quiere la muger vivir en paz con su marido, deve mucho advertir a lo que él es inclinado, en que si es alegre, ella se regozije; si es triste, ella se mesure; si es avaro, ella guarde; si es pródigo, ella gaste; si es impaciente, ella dissimule; si es sospechoso, ella se guarde; porque la muger que tiene prudencia y cordura, si no puede lo que quiere, deve querer lo que puede.";si;si;no;imperfectivo;animado;;
1529-1531 GUEVARA, FRAY ANTONIO DE, Reloj de príncipes [España] [Emilio Blanco, Madrid, Turner, 1994] Novela;GUEVARA, FRAY ANTONIO DE;Reloj de príncipes;1529-1531;Novela;España;"ya tan perdida la vergüença en las mugeres de Roma, están ya tan dissolutas las mugeres de Italia, que si los hombres se descuydan, ellas los despiertan; si los hombres huyen, ellas los llaman; si los hombres se apartan, ellas a ellos se allegan; si los hombres se encogen, ellas los regozijan; si los hombres callan, ellas a hablar los costriñen; finalmente muchas vezes los hombres comiençan los amores de burla y ellas se dan tal maña que los tornan presto de veras.";transitivo;;;;;;
1529-1531 GUEVARA, FRAY ANTONIO DE, Reloj de príncipes [España] [Emilio Blanco, Madrid, Turner, 1994] Novela;GUEVARA, FRAY ANTONIO DE;Reloj de príncipes;1529-1531;Novela;España;hijos no es por falta de criança, sino por sobra de malicia. Tenían por costumbre los príncipes romanos de celebrar la fiesta del dios Genio, el qual genio era el dios de su nacimiento, y esta fiesta se celebrava cada año el día en que el emperador avía nascido, y era la fiesta tan regozijada por toda Roma, que aquel día se perdonavan todos los presos de la cárcel mamortina. Pero es de saber que si avía alguno amotinado los pueblos, o hecho trayción en los exércitos, o avía robado o hecho algún desacato a los templos, jamás por jamás estos tres delictos eran en Roma perdonados. Assí como en la religión;no;;;;;;
1529-1531 GUEVARA, FRAY ANTONIO DE, Reloj de príncipes [España] [Emilio Blanco, Madrid, Turner, 1994] Novela;GUEVARA, FRAY ANTONIO DE;Reloj de príncipes;1529-1531;Novela;España;"avían de parecer los que tenían pesar y por contrario en el día de pesar no avían de parecer los que tenían plazer, por manera que en los actos públicos todos avían de llorar o todos avían de reýr. Dize Cina Catulo que este buen emperador era tan bien acondicionado, que holgava que se holgassen todos, y regozijávase si se regozijavan todos; y siempre quando el Pueblo Romano hazía alguna gran fiesta, él salía en persona a auctorizársela, y mostrava en ella tanta alegría como si él solo y no otro gozara de aquella fiesta; porque de otra manera, teniendo el príncipe triste la cara, ni deve, ni osará ninguno mostrar alegría";si;si;no;imperfectivo;animado;;
1529-1531 GUEVARA, FRAY ANTONIO DE, Reloj de príncipes [España] [Emilio Blanco, Madrid, Turner, 1994] Novela;GUEVARA, FRAY ANTONIO DE;Reloj de príncipes;1529-1531;Novela;España;"los que tenían pesar y por contrario en el día de pesar no avían de parecer los que tenían plazer, por manera que en los actos públicos todos avían de llorar o todos avían de reýr. Dize Cina Catulo que este buen emperador era tan bien acondicionado, que holgava que se holgassen todos, y regozijávase si se regozijavan todos; y siempre quando el Pueblo Romano hazía alguna gran fiesta, él salía en persona a auctorizársela, y mostrava en ella tanta alegría como si él solo y no otro gozara de aquella fiesta; porque de otra manera, teniendo el príncipe triste la cara, ni deve, ni osará ninguno mostrar alegría. Dizen d";si;si;no;imperfectivo;animado;;
1529-1531 GUEVARA, FRAY ANTONIO DE, Reloj de príncipes [España] [Emilio Blanco, Madrid, Turner, 1994] Novela;GUEVARA, FRAY ANTONIO DE;Reloj de príncipes;1529-1531;Novela;España;"no le falta cordura? ¿No sabéys que en las feroces heridas muestra su experiencia el cirujano, y en las peligrosas enfermedades muestra su saber el médico, y en las dubdosas batallas muestra el capitán su esfuerço, y en las bravas tormentas muestra su experiencia el piloto? Pues por semejante manera, do ay gran regozijo de pueblo, allí ha de mostrar su madureza el sabio. ¿No sabéys que de ánimo reposado procede tener el hombre el juyzio claro, la memoria prompta, la gravedad del cuerpo, el reposo de la persona, la pureza de la fama y, sobre todo, la templança de la lengua; porque";no;;;;;;
1529-1531 GUEVARA, FRAY ANTONIO DE, Reloj de príncipes [España] [Emilio Blanco, Madrid, Turner, 1994] Novela;GUEVARA, FRAY ANTONIO DE;Reloj de príncipes;1529-1531;Novela;España;"diferencia que ay de un coraçón tímido a otro que es animoso: en que el uno huye de una rueca y el otro no se espanta de una espada. El segundo oficio acepto a los romanos era el de los histriones y pantomimos, que son los truhanes y los que juegan farsas. Éste inventaron ellos para regozijar y alegrar la gente, mayormente a la gente de guerra, a la qual mucho festejavan a la yda y mucho más a la venida; porque de pensar los romanos que con tanta gloria avían de ser rescebidos, yvan con determinación de alcançar la victoria o de morir en la batalla. Los antiguos y verdaderos romanos";transitivo;;;;;;
1529-1531 GUEVARA, FRAY ANTONIO DE, Reloj de príncipes [España] [Emilio Blanco, Madrid, Turner, 1994] Novela;GUEVARA, FRAY ANTONIO DE;Reloj de príncipes;1529-1531;Novela;España;"Julio Capitolino, en el libro De moribus antiquorum, dize que antiguamente los truhanes y juglares fueron en muy gran precio tenidos, y no les neguemos que no tenían razón, pues con ellos honravan a sus dioses, tomavan sus plazeres, regozijavan sus fiestas; eran hombres agudos, eran muy graciosos, eran honestos y no importunos ni cobdiciosos; porque ninguna gracia ni sazón puede tener la burla si luego se ha de echar mano a la bolsa para pagarla. Hallámosla acotada, pero no la hallamos entera una solemne oración que hizo Cicerón en el Senado increpando mucho";transitivo;;;;;;
1529-1531 GUEVARA, FRAY ANTONIO DE, Reloj de príncipes [España] [Emilio Blanco, Madrid, Turner, 1994] Novela;GUEVARA, FRAY ANTONIO DE;Reloj de príncipes;1529-1531;Novela;España;"Otro truhán uvo en tiempo del mismo Augusto que avía nombre Pilas, y como el Emperador tenía de Roma desterrados a todos los truhanes, era este Pilas tan gracioso y tan regozijado, que con mucha instancia rogaron al Emperador le alçasse el destierro, el qual ruego no hizieran si desterraran algún filósofo; porque los hombres vanos y livianos antes emplearán quanto tienen por uno que les dize una locura que no por el que les enseña y corrige la vida. Condescendió el Emperador Augusto a lo que";no;;;;;;
c1535 ANÓNIMO, Diálogo de las transformaciones de Pitágoras [España] [Ana Vian Herrero, Barcelona, Sirmio-Quaderns Crema, 1994] Novela;ANÓNIMO;Diálogo de las transformaciones de Pitágoras;c1535;Novela;España;"Gallo Tú también me traes a la memoria lo que en el suenno viste como quien guarda unas vanas imajinaciones; en * tu fantasía te regozijas de una vana felicidad.";si;si;de;imperfectivo;animado;;
c1535 ANÓNIMO, Diálogo de las transformaciones de Pitágoras [España] [Ana Vian Herrero, Barcelona, Sirmio-Quaderns Crema, 1994] Novela;ANÓNIMO;Diálogo de las transformaciones de Pitágoras;c1535;Novela;España;Gallo Ansí como acaesce deleitarse el hombre recontando entre sí aquello que en tiempos pasados con próspero estado le acaesció, y se regozija en lo contar de nuevo mill * vezes a sus amigos representándoles cualquiera particularidad  notable que en ello se ofreciese, * ansí sin ninguna comparación apasionan más las adversidades traídas a la memoria, enoja * considerar de mucho cualquiera miseria y fatiga que acaso * pasó. Mas yo tengo por bien padescer cualquiera dolor que de contarte mis;si;si;en;imperfectivo;animado;;
1535-1536 VALDÉS, JUAN DE, Diálogo de la lengua [España] [Cristina Barbolani, Madrid, Cátedra, 1990] Lingüística y lenguaje;VALDÉS, JUAN DE;Diálogo de la lengua;1535-1536;Lingüística y lenguaje;España;", por sobrepujar, se sufre bien en metro, pero en prosa no, de ninguna manera. Sage por cruel he visto usar, pero yo no lo uso ni usaría, aunque al parecer muestra un poco de más crueldad el sage que el cruel, y deve ser derivado de SAGAX latino. Solaz por plazer o regozijo no me plaze. Seruenda por 'cosa tardía' nunca lo he oído ni leído sino en Librixa, y por esto ni lo he usado ni lo usaría; no me parecería mal que se usasse, pues no tenemos otro que sinifique lo que él. Sayón por verdugo se usa mucho, pero es mejor vocablo";no;;;;;;
1535-1536 VALDÉS, JUAN DE, Diálogo de la lengua [España] [Cristina Barbolani, Madrid, Cátedra, 1990] Lingüística y lenguaje;VALDÉS, JUAN DE;Diálogo de la lengua;1535-1536;Lingüística y lenguaje;España;"V. Pues assí lo queréis, sin sallir de los dos primeros capítulos os mostraré todo lo que pedís. Quanto a los vocablos, no me plaze que diga como dize «estando en aquel solaz» por «estando en aquel placer o regozijo». Tampoco me contenta dezir «quando vio ser sazón» por «quando vio ser tiempo»; mejor lo usa en otra parte, diziendo a aquella sazón. Y muchos menos me satisfaze donde dize «en vos dexo toda mi hazienda» por «todo lo que me toca». No me suena bien";no;;;;;;
c1540 VILLALÓN, CRISTÓBAL DE, El Scholástico [España] [José Miguel Martínez Torrejón, Barcelona, Crítica, 1997] Novela;VILLALÓN, CRISTÓBAL DE;El Scholástico;c1540;Novela;España;Éste es mi único hijo, puesto caso que otros engendré, pero éste tiene la mejora de mi caudal. Si él fuere rico, yo se lo di, y si fuere pobre, no tuve más. Si con su graçia y saber aplaziere, será la gloria de su padre, y regoçixarme he por haber açertado en cosa que me dé glorioso galardón, pues las buenas letras y escriptura suelen ser  divino bálsamo con el qual se conservan los hombres incorruptos por tiempo eterno.;si;si;por;imperfectivo;animado;;
c1540 VILLALÓN, CRISTÓBAL DE, El Scholástico [España] [José Miguel Martínez Torrejón, Barcelona, Crítica, 1997] Novela;VILLALÓN, CRISTÓBAL DE;El Scholástico;c1540;Novela;España;Suscedió que en el año de veinte y ocho fue elegido por rector, en mucha conformidad, el muy reverendo y muy magnífico señor el prior de Ronzesvalles, de todos muy amado por su mucho saber, buen natural, humanidad y afabilidad. Regoçixóse el estudio y los generosos y toda la congregación, y fue mucho a voluntad del señor don Françisco de Bobadilla, Maestrescuela. Gobernaba con tanta industria la Universidad, en tanto sosiego y quietud y con tanto peso y gravedad como si fuera el verdadero Solón Ateniense, o Catón, o Camilo, o si resucitara el mesmo Platón;si;si;no;perfectivo;animado;;Creo que animado… Un colectivo , quizá?
c1540 VILLALÓN, CRISTÓBAL DE, El Scholástico [España] [José Miguel Martínez Torrejón, Barcelona, Crítica, 1997] Novela;VILLALÓN, CRISTÓBAL DE;El Scholástico;c1540;Novela;España;Don Gabriel era en la verdad hombre docto y muy leído, y de buena esperiençia, y era con esto de su natural regoçijado y que hablaba siempre graçioso y apazible, y contaba muy bien, por lo qual todos se dispusieron a le oír y le rogaron que dixese, y él luego así començó:;no;;;;;;
c1540 VILLALÓN, CRISTÓBAL DE, El Scholástico [España] [José Miguel Martínez Torrejón, Barcelona, Crítica, 1997] Novela;VILLALÓN, CRISTÓBAL DE;El Scholástico;c1540;Novela;España;Acabando de hablar el Maestro Oliva, sin esperar más, don Alonso Osorio, regoçijado mucho con la buena conversaçión de aquellos caballeros, así començó:;no;;;;;;
c1540 VILLALÓN, CRISTÓBAL DE, El Scholástico [España] [José Miguel Martínez Torrejón, Barcelona, Crítica, 1997] Novela;VILLALÓN, CRISTÓBAL DE;El Scholástico;c1540;Novela;España;desta ley haze que en pecando tengamos gran vergüença y muestre nuestro coraçón la culpa con amarillez en el rostro y, sin nescesidad de testigos, por muy pequeños delitos temblamos, porque por cualquier yerro nos remuerde interiormente nuestra conçiençia, como reconozca  ser contra nuestro buen natural. Y, por el contrario, en qualquiera virtud nos regoçijamos y estamos muy constantes y sin temor, de tal manera que si está secreto procuramos que se manifieste. Todo esto lo causa la buena inclinaçión y natural de nuestra ánima, el qual es aborrescer el mal y amar el bien. Esta natural ley, juntamente con la lumbre de Dios, esforzó a vivir bien a;si;si;en;imperfectivo;animado;;
c1540 VILLALÓN, CRISTÓBAL DE, El Scholástico [España] [José Miguel Martínez Torrejón, Barcelona, Crítica, 1997] Novela;VILLALÓN, CRISTÓBAL DE;El Scholástico;c1540;Novela;España;", cuenta que Agesilao el laçedemonio jugaba muchas vezes con sus hijos pequeños, caballero en una caña; y reprendiéndole un amigo suyo le respondió: ""Calla hasta que sepas qué cosa es ser padre"". Leemos de aquel bienaventurado Sant Juan Evangelista que tenía para su recreaçión una hermosa ave, con la qual muchas vezes se regoçijaba; y queriendo algunos reprehenderle su líçito pasatiempo respondió que si de contino el arco tenía la cuerda tirada en las empulgueras, no era posible menos sino que quebrase o afloxase al tirar. Y así dezían los antiguos  que lo que caresce de holgança no es durable. Aun nuestro Dios, después de haber trabajado en los";si;si;con;imperfectivo;animado;;
c1540 VILLALÓN, CRISTÓBAL DE, El Scholástico [España] [José Miguel Martínez Torrejón, Barcelona, Crítica, 1997] Novela;VILLALÓN, CRISTÓBAL DE;El Scholástico;c1540;Novela;España;Venida la mañana, las regocijadas aves hazían por el jardín muy dulçe armonía, y era tanta la suavidad que daban de sí aquellas olorosas yerbas y flores con el frescor del alba, y tan apazible deleite el susurro y caída de la fuente, que el ánima que alumbrada de fee no estuviera tocada, le fuera fáçilmente persuadido consistir la bienaventurança;no;;;;;;
c1540 VILLALÓN, CRISTÓBAL DE, El Scholástico [España] [José Miguel Martínez Torrejón, Barcelona, Crítica, 1997] Novela;VILLALÓN, CRISTÓBAL DE;El Scholástico;c1540;Novela;España;tales tiempos suele mezclarse por estorbar semejantes obras que estas cristianas. Y cayendo algunos en la cuenta de sus afeites y porque el marido pareçió luego allí que los avisó de la burla y la publicó haberlo hecho  por castigar de los afeites a su muger, luego se aseguraron todos y rieron mucho el donaire y fue más regoçijada la boda por él. Y así reçibió la muger tan grande afrenta de aquella burla que nunca más se afeitó. Este género de burlas, aunque es provechoso, no debe aconteçer sino con personas sobre quien tenemos mando, si siendo rebeldes y contumaçes en la obediençia, sobre apartarlas de algún notable viçio, usan d;no;;;;;;
c1540 VILLALÓN, CRISTÓBAL DE, El Scholástico [España] [José Miguel Martínez Torrejón, Barcelona, Crítica, 1997] Novela;VILLALÓN, CRISTÓBAL DE;El Scholástico;c1540;Novela;España;"y que me deis el jarro de plata, que le quiere dar a adereçar el pie y el asa, porque haya buen aparejo para servir a la mesa"". La mujer, como vio que le daba buenas señas del jarro, tomó las gallinas y mandóle dar el jarro, y el ladrón fuese muy regoçijado con haber habido el jarro. Y yendo muy alegré topóse con otro ladrón, y como le contó el cuento que había pasado, reprehendióle de hombre para poco, pues no sabía industria para hurtar el jarro sin que le costase gallinas, y díxole que si le prometía parte del hurto, que él se refería";no;;;;;;
1540-c1550 MEJÍA, PEDRO, Silva de varia lección [España] [Antonio Castro, Madrid, Cátedra, 1989-1990] Historia;MEJÍA, PEDRO;Silva de varia lección;1540-c1550;Historia;España;"y plazer, y assí estos affetos universales, como vemos por las bozes que se hazen riendo y con plazer y los gemidos y gritos que se dan con dolor. Y esto en los brutos animales y aves, que tienen differencia en los cantos y bozes quando están tristes o alegres, o las hieren o se regozijan, o andan en celo; pero el hablar y sermón (por do se muestra, en particular, lo útil y necessario, lo dañoso y malo, y lo justo y lo injusto, y lo honesto y bueno, se cuenta lo passado y se avisa lo por venir por razones y palabras que lo signifiquen,";si;si;no;imperfectivo;animado;;
1540-c1550 MEJÍA, PEDRO, Silva de varia lección [España] [Antonio Castro, Madrid, Cátedra, 1989-1990] Historia;MEJÍA, PEDRO;Silva de varia lección;1540-c1550;Historia;España;"virtud del Sol participa y compete más al gallo que al león; y de aquí viene que el inferior y de menos virtud en esta parte, aunque mayor en grandeza y fuerça, tema y obedezca al superior. Y, de ser el gallo de propriedad del Sol, dizen que se regozija y canta quando quiere salir y venir el Sol. Sea qualquiera la razón déstas, este animal es el más fuerte y de mayor ánimo que todos los animales; y, aunque es assí, bravo y cruel contra los fieros y bravos, de su mansedumbre y clemencia ay hermosas hystorias y exemplos escriptos.  De";si;si;no;imperfectivo;animado;;
1540-c1550 MEJÍA, PEDRO, Silva de varia lección [España] [Antonio Castro, Madrid, Cátedra, 1989-1990] Historia;MEJÍA, PEDRO;Silva de varia lección;1540-c1550;Historia;España;cantaren. Los  cuervos o las cornejas o grajas subir bolando para arriba y dexarse venir para abaxo y tornar a subir, amenazan con frío y lluvia. El ayuntamiento de muchas aves blancas, no acostumbrado, suele ser quando ha de venir gran tempestad. Quando las gallinas y otras aves domésticas andan rebolando y saltando muy regozijadas, graznando y cantando, es que sienten lluvias y vientos venideros. Quando las garcetas cantan mucho en la mañana y las ánades se bañan mucho y se requieren y adoban las plumas con el pico, nos denotan viento y tempestad. Viendo bolar las golondrinas tan cerca del agua que van dando en ella, se;no;;;;;;
1544 CASTILLEJO, CRISTÓBAL DE, Diálogo de mujeres [España] [Rogelio Reyes Cano, Madrid, Castalia, 1986] Verso;CASTILLEJO, CRISTÓBAL DE;Diálogo de mujeres;1544;Verso;España;", según pareçía, con quien ella más holgava y con quien no se mostrava tan triste y sin alegría. Yo salí dende a un poco por allí, y mirando por defuera, vila estar tan chocarrera, que apenas la conoçí, assentada en una mesa quadrada con otros, puesta de codos, alegrándolos a todos de pura regozijada,  plazentera, de la tristeza primera ningún yndiçio en su cara, que pensé que le durara todo el tiempo que biviera. Muy loçana, hazía de la truhana * tanto que, a mi pareçer, en mi vida vi muger reyr de tan buena gana; yo, espantado de ver un tan gran ñublado en";no;;;;;;
1545 RUEDA, LOPE DE, Comedia llamada Medora [España] [Fernando González Ollé, Madrid, Espasa Calpe, 1973] Teatro;RUEDA, LOPE DE;Comedia llamada Medora;1545;Teatro;España;COMEDIA LLAMADA «MEDORA», muy afable y regozijada, compuesta por Lope de Rueda.;no;;;;;;
c1545-1567 RUEDA, LOPE DE, Comedia llamada Armelina [España] [Alfredo Hermenegildo, Madrid, Cátedra, 2001] Teatro;RUEDA, LOPE DE;Comedia llamada Armelina;c1545-1567;Teatro;España;Neptuno. No hay que temer, señores. Sossiéguense sin alteración ni espanto ninguno, porque mi principal venida no es más sino para daros cumplido contentamiento y afable regozijo a todos. Y cuanto a lo primero, sabed que me llaman Neptuno, señor de las marítimas aguas, sabidor de vuestros negocios. Por esso tú, Pascual Crespo, no seas tan cruel, desata a tu hijo llamado Justo, el cual ya perdido pensabas tener.;no;;;;;;
c1545-1567 RUEDA, LOPE DE, Comedia llamada Armelina [España] [Alfredo Hermenegildo, Madrid, Cátedra, 2001] Teatro;RUEDA, LOPE DE;Comedia llamada Armelina;c1545-1567;Teatro;España;Neptuno. Y más tú, honradíssimo viejo, en estremo grado te goza. Y tú, Pascual Crespo, te regozija, que aquella que  por Armelina tenías, Florentina se llama, hija natural d'este atribulado y anciano viejo dicho Viana.;transitivo;;;;;;
c1553-1556 VILLALÓN, CRISTÓBAL DE, El Crótalon de Cristóforo Gnofoso [España] [Asunción Rallo, Madrid, Cátedra, 1990] Novela;VILLALÓN, CRISTÓBAL DE;El Crótalon de Cristóforo Gnofoso;c1553-1556;Novela;España;Con los ojos todas las cosas que veis endereçáis para vuestra laçivia y cobdiçia, lo cual nosotras las fieras no hacemos ansí, porque cuando yo era hombre me holgaba y regoçijaba con gran deleite viendo el oro, joyas y piedras preçiosas, a tanto que me andaba bobo y desvaneçido un día tras un rey o príncipe si anduviesse vestido y adornado de jaezes y atavíos de seda, oro, púrpura y hermosos colores. Pero agora, como lo hacen las otras fieras, no estimo en más;si;ambiguo;no;imperfectivo;animado;;El reflexibo podría venir del holgar
