"BIBLIOGRAFÍA";"AUTOR";"TÍTULO";"FECHA";"TEMA";"PAÍS";"CONCORDANCIA"
"1975 GALA, ANTONIO, ¿Por qué corres, Ulises? [España] [Madrid, Editorial Espasa Calpe, 1994] Teatro";"GALA, ANTONIO";"¿Por qué corres, Ulises?";1975;"Teatro";"España";"(Ríen los dos.)"
"1975 GALA, ANTONIO, ¿Por qué corres, Ulises? [España] [Madrid, Editorial Espasa Calpe, 1994] Teatro";"GALA, ANTONIO";"¿Por qué corres, Ulises?";1975;"Teatro";"España";"Nausica.— Me hablará a mí de mí. Se acordará  de cosas que hemos hecho, de un color que vimos juntos, de alguna vez que nos reímos de algo mirándonos los ojos..."
"1975 GALA, ANTONIO, ¿Por qué corres, Ulises? [España] [Madrid, Editorial Espasa Calpe, 1994] Teatro";"GALA, ANTONIO";"¿Por qué corres, Ulises?";1975;"Teatro";"España";"(Ríen, se besan. Penélope corre el biombo.)"
"1975 PALOU, INÉS, Carne apaleada [España] [Barcelona, Círculo de Lectores, 1975] Novela";"PALOU, INÉS";"Carne apaleada";1975;"Novela";"España";"Los chiquillos no hacían más que mirarse unos a otros y reírse. El agente, serio, muy en su papel, pretendía infundirles  respeto. Todavía no había aprendido que a los mozalbetes que empiezan a temprana edad a delinquir, nada les infunde respeto. Carecen del sentido de la proporción, ignoran totalmente lo que está bien y lo que está mal. Hacen únicamente lo que se"
"1975 PALOU, INÉS, Carne apaleada [España] [Barcelona, Círculo de Lectores, 1975] Novela";"PALOU, INÉS";"Carne apaleada";1975;"Novela";"España";"Me reí por lo bajo a pesar del mal momento en que me encontraba. Pero estaba curtida en estos trances. Conocía el trámite policial, la mentalidad delictiva, y sabía en aquel momento mucho más que los mismos agentes. Por eso no me inmuté cuando el comisario, muy serio, ordenó:"
"1975 PALOU, INÉS, Carne apaleada [España] [Barcelona, Círculo de Lectores, 1975] Novela";"PALOU, INÉS";"Carne apaleada";1975;"Novela";"España";"Efectivamente, aquellas mujeres cantaban, reían y bromeaban con los guardias sin aparentar ninguna preocupación. Más adelante, tras varios meses de cárcel, yo comprendía muy bien su actitud. Aquello eran gajes del oficio."
"1975 PALOU, INÉS, Carne apaleada [España] [Barcelona, Círculo de Lectores, 1975] Novela";"PALOU, INÉS";"Carne apaleada";1975;"Novela";"España";"— Me pirran los españoles —decía riendo..."
"1975 GARCÍA-BADELL, GABRIEL, Funeral por Francia [España] [Barcelona, Destino, 1975] Novela";"GARCÍA-BADELL, GABRIEL";"Funeral por Francia";1975;"Novela";"España";"sortie de mon bain. Quand seras tu là auprès de moi? Prends ma main, prends mon corps, prends mon âme, tout a la fois. Je voudrais être soûle dans mon bain et ne plus penser que je suis séparée de toi, que tu restes separé de moi, et que tu ne fais rien pour me rencontrer. Je suis une femme et si tu l'oublies, j'oublierai moi aussi que je suis tienne. Le ciel est gris et bas. Je vais lire des poemas de Baudelaire et faire mes devoirs. Toujours des projets!, toujours la realité! Mes lévres sont mouillées et embrassent tes mains. Et après"
"1975 GARCÍA-BADELL, GABRIEL, Funeral por Francia [España] [Barcelona, Destino, 1975] Novela";"GARCÍA-BADELL, GABRIEL";"Funeral por Francia";1975;"Novela";"España";"de vivre avec toi, de danser dans la montagne près de l'eau, de la forêt. Samedi, je me suis baignée dans l'eau de mer seule. La plage ètait deserte et le soleil et l'eau froide étaient sur mon corps. Tu veux que je laisse pousser mes cheveux encore? Je ne t'aurais obligé à rien, pas même à parler de la guerre civile, que me passionne, ni de Goytisolo qui je commence a étudier. ¡Oiga va a decir que soy demasiado charrador!, que me gusta hablar, es la primera vez que me ve y también que no hay razón para que me meta en sus cosas, si"
"1975 GARCÍA-BADELL, GABRIEL, Funeral por Francia [España] [Barcelona, Destino, 1975] Novela";"GARCÍA-BADELL, GABRIEL";"Funeral por Francia";1975;"Novela";"España";". A partir de ese momento se iría desvaneciendo poco a poco. Él sabía lo que había sucedido. Con amor y sin amor habría que conformarse con el silencio, con el agua de la lluvia que pasaría por el cuerpo como si fuera una caricia. ¿Qué quedaba del amor? La luz se había extinguido para ella. Antes reía. Explicaba la realidad a su modo. Inventaba cosas, ocupaciones en las que podían invertir el tiempo. Hablaba del bien y del mal, de lo que estaba permitido y prohibido, seguía su camino hacia adelante en la misma dirección. Hasta que el movimiento cesó —se detuvo— del todo. No quedaba más que"
"1975 GARCÍA-BADELL, GABRIEL, Funeral por Francia [España] [Barcelona, Destino, 1975] Novela";"GARCÍA-BADELL, GABRIEL";"Funeral por Francia";1975;"Novela";"España";"Bienvenido Arcéiz —de profesión barbero— se había colocado delante y le interrumpía el camino. Tenía las manos entre las piernas —con las palmas vueltas— a manera de cuenco, reía, dijo, ¡aquí hay mucho borde!, y avanzó más hacia José Gracia colocando entonces una de sus manos en el aire con el índice extendido. Luego acercándolo hasta su pecho, al hacer presión, le obligó a retroceder."
"1975 SALISACHS, MERCEDES, La gangrena [España] [Barcelona, Planeta, 1976] Novela";"SALISACHS, MERCEDES";"La gangrena";1975;"Novela";"España";"Mi madre se desplomó sobre una silla. Luego, apoyando los codos en la mesa, escondió la cara entre las manos y rompió a llorar. Su espalda se agitaba histérica, casi rabiosa, y sobre la mesa iban quedando pequeñas lagunas de lágrimas. El tío Rodolfo reía. Se le iban las carcajadas de la boca, como chorros de aire comprimido: «Pero, mujer...» Mi madre hipaba y, entre sollozo y sollozo, decía: «Así no podemos continuar: es imposible, es inhumano.» Y señalando al tío Rodolfo le reprochaba: «Y tú... tú"
"1975 SALISACHS, MERCEDES, La gangrena [España] [Barcelona, Planeta, 1976] Novela";"SALISACHS, MERCEDES";"La gangrena";1975;"Novela";"España";"Muchas veces he pensado que aquel modo de reír, grueso y desbocado, era lo que más caracterizaba a aquel hombre: no hubiera sido posible imaginar al tío Rodolfo sin aquella risa."
"1975 SALISACHS, MERCEDES, La gangrena [España] [Barcelona, Planeta, 1976] Novela";"SALISACHS, MERCEDES";"La gangrena";1975;"Novela";"España";"Y rompía a bailar de un modo extraño, agitándose mucho, poniendo los ojos en blanco y torciendo la boca. Lolita reía:"
"1975 SALISACHS, MERCEDES, La gangrena [España] [Barcelona, Planeta, 1976] Novela";"SALISACHS, MERCEDES";"La gangrena";1975;"Novela";"España";"Era hermoso bailar con Lolita. Su aliento caía sobre el mío como una ducha de aire ardiente. Y mis pies obedecían, alígeros, ingrávidos sin el menor fallo. Pero en cuanto sus ojos se fijaban en los míos, todo en mí empezaba a flaquear y tropezaba y me volvía torpe. Paco reía:"
"1975 ALBA, VÍCTOR, El pájaro africano [España] [Barcelona, Planeta, 1975] Novela";"ALBA, VÍCTOR";"El pájaro africano";1975;"Novela";"España";"Y se echa a reír sin ganas. El otro sonríe. Tiene unos dientes de oro. Han ido acercándose a la esquina, donde hay un farol con los vidrios pintados de azul, cuyo cono de luz cae ahora sobre los dos rostros."
"1975 ALBA, VÍCTOR, El pájaro africano [España] [Barcelona, Planeta, 1975] Novela";"ALBA, VÍCTOR";"El pájaro africano";1975;"Novela";"España";"Se echó a reír y Martín, después de un momento de sorpresa, también. Reía como si tosiera."
"1975 ALBA, VÍCTOR, El pájaro africano [España] [Barcelona, Planeta, 1975] Novela";"ALBA, VÍCTOR";"El pájaro africano";1975;"Novela";"España";"Se echó a reír y Martín, después de un momento de sorpresa, también. Reía como si tosiera."
"1975 ALBA, VÍCTOR, El pájaro africano [España] [Barcelona, Planeta, 1975] Novela";"ALBA, VÍCTOR";"El pájaro africano";1975;"Novela";"España";"— Esa misma. —Todos rieron—. Dile que venga en seguida... a..., bueno, al portal del corral de las cabras."
"1976 RODRÍGUEZ-MÉNDEZ, JOSÉ MARÍA, Bodas que fueron famosas del Pingajo y la Fandanga [España] [Martín Recuerda, José, Madrid, Cátedra, 1990] Teatro";"RODRÍGUEZ-MÉNDEZ, JOSÉ MARÍA";"Bodas que fueron famosas del Pingajo y la Fandanga";1976;"Teatro";"España";"El Petate. (Riendo con mala intención.) ¿Y qué mercancía llevas a esas señoritas? ¿Polvos del pae Claré? (Risas de los otros.)"
"1976 RODRÍGUEZ-MÉNDEZ, JOSÉ MARÍA, Bodas que fueron famosas del Pingajo y la Fandanga [España] [Martín Recuerda, José, Madrid, Cátedra, 1990] Teatro";"RODRÍGUEZ-MÉNDEZ, JOSÉ MARÍA";"Bodas que fueron famosas del Pingajo y la Fandanga";1976;"Teatro";"España";"El Sargento. ¿Otra vez tú, so calamiá? ¿Otra vez tú..., Pingajo y Repingajo? (Los otros se ríen contemplando esto. En su guarida despertó el señor Teniente, y acude a ver lo que sucede.)"
"1976 RODRÍGUEZ-MÉNDEZ, JOSÉ MARÍA, Bodas que fueron famosas del Pingajo y la Fandanga [España] [Martín Recuerda, José, Madrid, Cátedra, 1990] Teatro";"RODRÍGUEZ-MÉNDEZ, JOSÉ MARÍA";"Bodas que fueron famosas del Pingajo y la Fandanga";1976;"Teatro";"España";"El Pingajo. (Riéndose.) Ja, ja... ¿Y aquel día que se confundió?"
"1976 RODRÍGUEZ-MÉNDEZ, JOSÉ MARÍA, Bodas que fueron famosas del Pingajo y la Fandanga [España] [Martín Recuerda, José, Madrid, Cátedra, 1990] Teatro";"RODRÍGUEZ-MÉNDEZ, JOSÉ MARÍA";"Bodas que fueron famosas del Pingajo y la Fandanga";1976;"Teatro";"España";"El Teniente. (Rompiendo a reír.) Vaya pareja: el Pingajo y la Fandanga... Me relamo de gusto... ¿Seguro que me la traes?"
"1976 ORTIZ, LOURDES, Luz de la memoria [España] [Madrid, Akal, 1986] Novela";"ORTIZ, LOURDES";"Luz de la memoria";1976;"Novela";"España";", con Eduardo entre los brazos sacando el enorme pecho blanquecino, algo rojizo, casi negro en las puntas, y  tú llorabas: Julián me ha pegado, decías y querías quizá que te cogiese en brazos y ella sonriente, a la amiga: «parece que últimamente no se ha barrido debajo de las camas» y reían y te llamaban dulzonas de pronto, zalameras y golosas: «Quique, ven aquí con nosotras; ¡upa el nene!, ¿cuándo vas a hablar de una vez, grandullón?, ¡con quince meses y todavía a gatas! Tienes que andar, que ya eres todo un hombrecito para ayudar a tu madre» y ella"
"1976 ORTIZ, LOURDES, Luz de la memoria [España] [Madrid, Akal, 1986] Novela";"ORTIZ, LOURDES";"Luz de la memoria";1976;"Novela";"España";", glotón y ella juguetona: «¿Quieres tú un poquito, grandullón? ¿Te gustaría a ti probar un poquito?», y tú te acercabas, trepabas por las rodillas, ofrecías la boca feliz ahora y ella te apartaba sin brusquedad, oferente aún, negándose: «cochino, grandullón» y se reía... (para ti la, papillita, la carnecita pasada por el pasapurés, los higaditos triturados para ti ya hombre.)»"
"1976 ORTIZ, LOURDES, Luz de la memoria [España] [Madrid, Akal, 1986] Novela";"ORTIZ, LOURDES";"Luz de la memoria";1976;"Novela";"España";", la resultante quedará como muestra remotísima, ciega siempre, de aquellos otros miles que como tú contribuyeron a elevarla, a la toma de fortalezas que luego felizmente será conmemorada a principios de julio, buen momento, indiscutiblemente, para que toda la ciudad se encienda en fiestas, para que los cafetines, de pronto bulliciosos, estallen de gente que ríe, conmemora y baila, mientras el otro, espectador entonces, declamaba desde los muros, gordo e insaciable, quizá crítico, sabiendo antes que nadie que la muerte es sólo un gesto pasajero... el gordo que todo lo sabía, piensas, arengando a las masas desde su ventanuco, mientras las bayonetas, las horcas"
"1976 ORTIZ, LOURDES, Luz de la memoria [España] [Madrid, Akal, 1986] Novela";"ORTIZ, LOURDES";"Luz de la memoria";1976;"Novela";"España";", no hay que preguntar nada y allá al fondo el muro blanco y el bulto sobre el que hay que disparar cuando suene el apunten-fuego como gritaba mi hermano a la salida del colegio, apunten-fuego y la bola de barro o de nieve o incluso la piedra se estrellaba contra el farol y nos reíamos y corríamos también entre el grupo de alumnos, buscando todos el anonimato, dispersándonos —Padre le aseguro que yo no he sido, esta vez no he sido yo— y el fusil vacío porque yo, el buen soldado, sólo recibo órdenes, no soy más que un pequeño engranaje sin importancia mientras ellos deciden,"
"1976 CHACEL, ROSA, Barrio de Maravillas [España] [Barcelona, Seix Barral, 1991] Novela";"CHACEL, ROSA";"Barrio de Maravillas";1976;"Novela";"España";"cuenten, no, para ellas no puede tener importancia... Hablan de otras cosas y también esas cosas serán infames. El tono de sus voces... No entiendo lo que dicen, pero si oyese las palabras tampoco entendería porque hablan como para que sólo se entiendan entre ellas... La Ernestina lleva la voz cantante y todas le ríen las gracias. Parece un macho que las domina a todas... ¡Hasta Elena se ríe! ¡Cómo es posible!... ¿Será que Elena también las entiende? ¿Puede encontrar también ella que tienen razón?... Si se lo digo y no me lo aclara es el último día de mi vida..."
"1976 CHACEL, ROSA, Barrio de Maravillas [España] [Barcelona, Seix Barral, 1991] Novela";"CHACEL, ROSA";"Barrio de Maravillas";1976;"Novela";"España";"esas cosas serán infames. El tono de sus voces... No entiendo lo que dicen, pero si oyese las palabras tampoco entendería porque hablan como para que sólo se entiendan entre ellas... La Ernestina lleva la voz cantante y todas le ríen las gracias. Parece un macho que las domina a todas... ¡Hasta Elena se ríe! ¡Cómo es posible!... ¿Será que Elena también las entiende? ¿Puede encontrar también ella que tienen razón?... Si se lo digo y no me lo aclara es el último día de mi vida..."
"1976 CHACEL, ROSA, Barrio de Maravillas [España] [Barcelona, Seix Barral, 1991] Novela";"CHACEL, ROSA";"Barrio de Maravillas";1976;"Novela";"España";"Carcajadas de los tres al llegar al portal. Risas convulsivas, imposible subir sin agarrarse a la barandilla. Un piso, otro piso, otro piso... Elena toca el timbre con todas sus fuerzas: abre doña Eulalia... Elena ríe y tose, sin poder respirar."
"1976 CHACEL, ROSA, Barrio de Maravillas [España] [Barcelona, Seix Barral, 1991] Novela";"CHACEL, ROSA";"Barrio de Maravillas";1976;"Novela";"España";"el picaporte y cuando pasó él doña Eulalia repitió la frase, «Además, dos galgos»...  ¡Por qué habrá sucedido una cosa así en un día como hoy!... Era una mañana maravillosa, yo volvía... no sé... como si llegase de otro país, y no llegaba sola. Llegábamos los tres riendo como camaradas... Es absurdo o parece absurdo, pero era la verdad. Porque llegar Elena y yo riendo como locas era cosa corriente. Y eso mismo ya era raro, ya era difícil de comprender, incómodo para las gentes de su familia, que se extrañaban de que Elena prefiriese andar conmigo y no con sus"
"1976 ALBERTI, RAFAEL, El adefesio [España] [Madrid, Cátedra, 1992] Teatro";"ALBERTI, RAFAEL";"El adefesio";1976;"Teatro";"España";"GORGO No seas humilde, sobrina, y menos con ese aire de árbol fuerte, lozano. Alégrate y ufánate, como lo estoy yo de ti. Ríete. (Levantándose y yendo hacia ella.) No, si tú no eres triste. Gústate, préciate de tu belleza, de la flor de tus años. (ALTEA se ríe tenuemente.) Más, más. Si no ofendes a nadie por recrearte en tu hermosura. Mírate bien en el espejo. ¿"
"1976 ALBERTI, RAFAEL, El adefesio [España] [Madrid, Cátedra, 1992] Teatro";"ALBERTI, RAFAEL";"El adefesio";1976;"Teatro";"España";", sobrina, y menos con ese aire de árbol fuerte, lozano. Alégrate y ufánate, como lo estoy yo de ti. Ríete. (Levantándose y yendo hacia ella.) No, si tú no eres triste. Gústate, préciate de tu belleza, de la flor de tus años. (ALTEA se ríe tenuemente.) Más, más. Si no ofendes a nadie por recrearte en tu hermosura. Mírate bien en el espejo. ¿Ves? ¿Quién más sumiso, servidor, obediente? Él no te añade nada, ni te lo quita tampoco.    Te devuelve sólo lo tuyo. (Alzándole los brazos.)"
"1976 ALBERTI, RAFAEL, El adefesio [España] [Madrid, Cátedra, 1992] Teatro";"ALBERTI, RAFAEL";"El adefesio";1976;"Teatro";"España";"AULAGA (Riendo.) O Frasco, el esquilador, que no tiene cejas."
"1976 ALBERTI, RAFAEL, El adefesio [España] [Madrid, Cátedra, 1992] Teatro";"ALBERTI, RAFAEL";"El adefesio";1976;"Teatro";"España";"(Como tres sombras, como tres rebujos siniestros, riendo, burlonas, hirientes, van y vienen alrededor de ALTEA, que llora, bajo, cubierta la cara por sus cabellos.)"
"01/08/1976 , El País, 01/08/1976 [España] [Madrid, Diario El País, S.A., 01/08/1976] Música";;"El País, 01/08/1976";"1/8/76";"Música";"España";"y dedicada como saludo a España («Abuela querida de Fidel y de Martí») y continuó con algunas de sus canciones más conocidas; a pesar de no haberse editado ninguna de sus grabaciones discográficas en España, temas como «Hasta siempre, comandante», dedicada al «Che»; «Cómo no me voy a reír de la OEA», de la que hizo una excepcional y espontánea recreación, o «Ya se acabó la diversión» se han trasmitido por un proceso casi oral y son interpretadas por numerosos intérpretes aficionados o profesionales españoles. Carlos Puebla y Los Tradicionales representan con toda su pureza y su ingenuidad un folklore sin contaminaciones y con"
"01/08/1976 , El País, 01/08/1976 [España] [Madrid, Diario El País, S.A., 01/08/1976] Política";;"El País, 01/08/1976";"1/8/76";"Política";"España";"y Gramsci; Camacho y Sartorius, dedicaban sus obras en un stand fácilmente reconocible por la masa de público que lo asediaba; centenares de jóvenes de ambos sexos, con el atuendo y porte desenvueltos característicos de los campus universitarios norteamericanos, paseaban en grupos bulliciosos, se detenían a hojear la vasta mercancía impresa, bromeaban, reían, se perdían en el gentío cogidos del brazo. Algo extraordinario: lo mismo que si estuviera en el extranjero. Es decir, me sentía como en mi propia casa."
"1976 BUERO VALLEJO, ANTONIO, La doble historia del doctor Valmy. Relato escénico en dos partes [España] [Iglesias, Luis; Paco, Mariano de, Madrid, Espasa Calpe, 1994] Teatro";"BUERO VALLEJO, ANTONIO";"La doble historia del doctor Valmy. Relato escénico en dos partes";1976;"Teatro";"España";"Mary.— (Ríe.) ¡Es una historia muy romántica! Mi marido y yo nos conocimos en este banco."
"1976 BUERO VALLEJO, ANTONIO, La doble historia del doctor Valmy. Relato escénico en dos partes [España] [Iglesias, Luis; Paco, Mariano de, Madrid, Espasa Calpe, 1994] Teatro";"BUERO VALLEJO, ANTONIO";"La doble historia del doctor Valmy. Relato escénico en dos partes";1976;"Teatro";"España";"Doctor.— (Se la estrecha.) De ninguna manera. (Ríe.) Ya no me atrevería a profanarlo... (Con mirada profesional.) Tiene usted un aspecto inmejorable."
"1976 BUERO VALLEJO, ANTONIO, La doble historia del doctor Valmy. Relato escénico en dos partes [España] [Iglesias, Luis; Paco, Mariano de, Madrid, Espasa Calpe, 1994] Teatro";"BUERO VALLEJO, ANTONIO";"La doble historia del doctor Valmy. Relato escénico en dos partes";1976;"Teatro";"España";"Abuela.— Ya conoces a tu abuela, ¿eh? ¿O es que me pides cuentos? Ríe, ríe... También tu papá me echaba risitas para que se los contase. Y los entendía como tú, que sí que los entiendes, que lo sé yo muy bien... Pues verás: érase que se era un niño pequeñito, más bonito que el sol, que se llamaba... ¡Danielito! (Ríe."
"1976 BUERO VALLEJO, ANTONIO, La doble historia del doctor Valmy. Relato escénico en dos partes [España] [Iglesias, Luis; Paco, Mariano de, Madrid, Espasa Calpe, 1994] Teatro";"BUERO VALLEJO, ANTONIO";"La doble historia del doctor Valmy. Relato escénico en dos partes";1976;"Teatro";"España";"Abuela.— Ya conoces a tu abuela, ¿eh? ¿O es que me pides cuentos? Ríe, ríe... También tu papá me echaba risitas para que se los contase. Y los entendía como tú, que sí que los entiendes, que lo sé yo muy bien... Pues verás: érase que se era un niño pequeñito, más bonito que el sol, que se llamaba... ¡Danielito! (Ríe.) ¿"
"1976 VÁZQUEZ, ÁNGEL, La vida perra de Juanita Narboni [España] [Barcelona, Editorial Planeta, 1990] Novela";"VÁZQUEZ, ÁNGEL";"La vida perra de Juanita Narboni";1976;"Novela";"España";"De drama nada, seguro. Éstas han venido por lo del negro, las muy putas. Ya lo sabía yo. Me lo presentía. Las conozco. Y mi hermanita, la peor de todas. Limpiabotas. Limpiabotas como de Algeciras. Ella es una desgraciada, descaradilla, simpática la cabrona. Me has hecho reír. La negra, con esos nenes. El negro de verdad no es para tanto. Claro que, al fin y al cabo, qué entiendo yo de eso. Es un hombretón. Y, ahora, el limpiabotas otra vez. ¡Cómo canta! Canta que te canta. Y el chusmerío rugiendo. Éstas, mucho presumir de"
"1976 VÁZQUEZ, ÁNGEL, La vida perra de Juanita Narboni [España] [Barcelona, Editorial Planeta, 1990] Novela";"VÁZQUEZ, ÁNGEL";"La vida perra de Juanita Narboni";1976;"Novela";"España";"bueno. Está guapa, porque mamá fue bonita siempre. Pero lo que ella tiene es por dentro. Un mal que le está royendo las entrañas. No tiene ganas de nada. Ella, que siempre ha sido tan viva, tan predispuesta para todo y ahora está como apagada. Y esta idiota me mira y se ríe. ¿Es que, acaso, tengo monos en la cara, preta? Te entre un mal por cachonda. Inconsciente. Quisiera hablarte, mamá, quisiera ser como ella es, que lo suelta todo por esa boca. Todo mentira. Pero tú te ríes, siempre le has estado riendo las gracias. Tarde o temprano"
"1976 VÁZQUEZ, ÁNGEL, La vida perra de Juanita Narboni [España] [Barcelona, Editorial Planeta, 1990] Novela";"VÁZQUEZ, ÁNGEL";"La vida perra de Juanita Narboni";1976;"Novela";"España";"como apagada. Y esta idiota me mira y se ríe. ¿Es que, acaso, tengo monos en la cara, preta? Te entre un mal por cachonda. Inconsciente. Quisiera hablarte, mamá, quisiera ser como ella es, que lo suelta todo por esa boca. Todo mentira. Pero tú te ríes, siempre le has estado riendo las gracias. Tarde o temprano te la pegará. La conozco. Crees, mamá, que yo soy como tonta. Mañana iremos las dos a La Española, a merendar, te invitaré. Lenguas, que te encantan, y tocinitos de cielo. Hasta mañana, mi reina. Quisiera decirte muchas"
"1976 VÁZQUEZ, ÁNGEL, La vida perra de Juanita Narboni [España] [Barcelona, Editorial Planeta, 1990] Novela";"VÁZQUEZ, ÁNGEL";"La vida perra de Juanita Narboni";1976;"Novela";"España";"me mira y se ríe. ¿Es que, acaso, tengo monos en la cara, preta? Te entre un mal por cachonda. Inconsciente. Quisiera hablarte, mamá, quisiera ser como ella es, que lo suelta todo por esa boca. Todo mentira. Pero tú te ríes, siempre le has estado riendo las gracias. Tarde o temprano te la pegará. La conozco. Crees, mamá, que yo soy como tonta. Mañana iremos las dos a La Española, a merendar, te invitaré. Lenguas, que te encantan, y tocinitos de cielo. Hasta mañana, mi reina. Quisiera decirte muchas cosas, mamá, con una"
