BIBLIOGRAFÍA;AUTOR;TÍTULO;FECHA;CRITERIO;BLOQUE;MEDIO;SOPORTE;TEMA;PAÍS;ZONA;TIPOLOGÍA;NOTAS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
Pantaleoni, Ana: «Un vecino de Nevada vende por Internet terrenos en la Luna». El País. Ciberpaís. Madrid: elpais.com, 2001-12-12.;Pantaleoni, Ana;El País. Ciberpaís;2001;Primera edición;No ficción;Escrito;Prensa;Ciencias y tecnología;España;;Noticia;;'¿Que ha comprado un trozo de mi luna?' Al otro lado del teléfono un hombre de voz profunda se carcajea. 'Un cliente más', explica Dennis Hope, de 53 años. De profesión, 'propietario del sistema solar'. Suena a broma. Muchos piensan que se trata de una estafa. Pero Hope no pierde su sentido del humor: lleva 21 años vendiendo trozos de Luna. Un acre (0,40;si;si;no;imperfectivo;animado;;
«La Casa Blanca ratifica sus planes de trasladar la sede de la embajada norteamericana a Jerusalén». El Norte de Castilla. Valladolid: nortecastilla.es, 2001-03-21.;;El Norte de Castilla;2001;Primera edición;No ficción;Escrito;Prensa;Política, economía y justicia;España;;;;«Tú no pensabas entonces que fueras a ser primer ministro y por supuesto que ni te imaginabas que yo pudiera ser presidente», carcajeó divertido.;si;no;no;perfectivo;animado;;
Díaz, María Paz: Amor en Florencia. Brenes: Muñoz Moya Editores, 2002.;Díaz, María Paz;Amor en Florencia;2002;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;El libro presenta numerosos errores de acentuación;cristianos desembarcaron en el puerto o hicieron el simulacro. Y subieron la cuesta hacia la torre y al pie de ella, el príncipe Alfonso le gritó a Aben Moho que se rindiera. Porque se negó le volvió a gritar a qué tu resistencia si tu media luna infame carece ya de brillo. Aben Moho se carcajeó. En toda la extensión que domina la torre se oyeron sus carcajadas. Alfonso recalcó he dicho infame y no me retracto. El moro lo llamó vil cristiano, mentiroso y otra serie de insultos. Alfonso le dijo que sus palabras eran para él necia verborrea, de perro mal nacido. Así metidos en una guerra;si;si;no;perfectivo;animado;;
«5Oº FESTIVAL DE CINE DE SAN SEBASTIÁN». El País. Madrid: Diario El País, S.A., 2002-09-24.;;El País;2002;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;;;;'Es el premio que conceden a uno antes de la muerte. ¿No? Eso me han contado', bromeó ayer Dennis Hopper sobre la concesión de un premio que ha arrastrado una pequeña leyenda de gafe. 'No, es broma', se carcajea, 'coincidir aquí con Coppola y Wim Wenders, que han sido tan importantes en mi carrera, es todo un honor [trabajó a las órdenes de Coppola en Apocalypse now y La ley de la calle, y con Wenders en El amigo americano]. Estuve en este festival hace 22 años con Bigas Luna con la película;si;si;no;imperfectivo;animado;;
Royuela, Fernando: La pasión según las fieras. Madrid: Alfaguara, 2003.;Royuela, Fernando;La pasión según las fieras;2003;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;l trago, reposaba tumbada junto a la hoguera, sacó del agujero a uno de ellos, al más taciturno de los tres. Lo acarició sin remilgos para erizarle el apetito. Anduvo usándolo hasta que el otro se deshizo en gemidos y se le extinguieron por agotamiento las ganas de seguir. La Graja carcajeó al verla satisfecha y levantó la mano como si brindara por la efervescencia de la juventud.;si;no;no;perfectivo;animado;;
Royuela, Fernando: La pasión según las fieras. Madrid: Alfaguara, 2003.;Royuela, Fernando;La pasión según las fieras;2003;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;-Suéltalo ahora y te corto las manos, Graja -la mendiga se carcajeaba de su suerte y tiraba de hombro con una fuerza que sorprendía.;si;si;si;imperfectivo;animado;;
Royuela, Fernando: La pasión según las fieras. Madrid: Alfaguara, 2003.;Royuela, Fernando;La pasión según las fieras;2003;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Pálpame y te lo indico -dijo carcajeándose.;si;si;no;gerundio;animado;;
García Sánchez, Javier: Dios se ha ido. Barcelona: Planeta, 2003.;García Sánchez, Javier;Dios se ha ido;2003;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;Premio Azorín de la Diputación Provincial de Alicante 2003;Pero se limitó a carcajear como un tocino cebado a base de felicitaciones. Debía de haber pensado en una alusión típicamente fálica. O sea, la cutrez sin descanso que emana de las bodas.;si;no;no;infinitivo;animado;;
Alonso Álvarez, Óscar: «De re sepulchra». Disculpen el percance. Madrid: Castalia, 2003.;Alonso Álvarez, Óscar;Disculpen el percance;2003;Primera edición;Ficción;Escrito;Libro;Relato;España;;Ficción;;— Para que vean que estoy donde nace la cultura de esta tierra —dijo y después se carcajeó por la frase tan fina que le había salido, ante una multitud que se congregó en la zona atraída por el ulular de las sirenas y los Patrol de la guardia civil.;si;si;por;perfectivo;animado;;
«Chicote vuelve a servir copas a las estrellas». El Mundo. Magazine. Madrid: Unidad Editorial, 2003-03-16.;;El Mundo. Magazine;2003;Primera edición;No ficción;Escrito;Prensa;Actualidad, ocio y vida cotidiana;España;;;;", recuerda con nostalgia un tiempo que se esfumó. ""Ava Gardner llegó a Barajas por la mañana y antes de dejarse caer por el museo ya estaba borracha"". Y es que el animal más bello del mundo se bebía el universo a borbotones, mientras los muros de Chicote aullaban de lascivia. Ella se carcajeaba de la vida y Sinatra ponía cara de póquer detrás de un cigarrillo. ""Encadenadme aquí y transformaré en sueños todas esas botellas"", susurraba la condesa descalza. La inmortalidad se fue colgando de la pared en instantáneas en blanco y negro.";si;si;si;perfectivo;animado;;
Colomer, Álvaro: Mimodrama de una ciudad muerta. Madrid: Ediciones Siruela, 2004.;Colomer, Álvaro;Mimodrama de una ciudad muerta;2004;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;nadie quiere desperdiciar un ataúd de mil quinientos euros, en estos casos se suele depositar algún objeto sobre la almohada del cajón. Los familiares meten ahí dentro corbatas, fotografías, botellas de güisqui, poemas o, como ocurrió en cierta ocasión, amígdalas. El señor Gómez me las trajo en un frasco, yo me carcajeé y, cuando él me soltó que la inhumación de esas glándulas aportaría un dineral a la empresa, las coloqué en el féretro con el mismo esmero que cuando encajono un difunto. En la actualidad, bajo el epitafio de «Tu familia no te olvida», reposan los desperdicios de una garganta cuyo dueño quizá siga;si;si;no;perfectivo;animado;;
Sánchez-Andrade, Cristina: Ya no pisa la tierra tu rey. Barcelona: Editorial Anagrama, 2004.;Sánchez-Andrade, Cristina;Ya no pisa la tierra tu rey;2004;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;- ¡Cosas! -se carcajeó él-. ¡Últimamente todo el mundo hace cosas!;si;si;no;perfectivo;animado;;
García Montalvo, Pedro: Retrato de dos hermanas. Barcelona: Destino, 2004.;García Montalvo, Pedro;Retrato de dos hermanas;2004;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Las mascaronas se carcajean y aúllan, haciendo chanzas sobre este tema, terminan las olivas, y Consuelo observa que Sandra está cada vez más seria, y triste. Es como si sintiera que las otras conocen su situación, y cantan todo eso por su causa. Y sigue el coro burlón:;si;si;no;imperfectivo;animado;;
Cebrián, Mercedes: «Material de oficina». El malestar al alcance de todos. Barcelona: Random House Mondadori, 2004.;Cebrián, Mercedes;El malestar al alcance de todos;2004;Primera edición;Ficción;Escrito;Libro;Relato;España;;Ficción;;y dejando ver que no se ha depilado. Y como tantas películas del FBI hemos visto y tanto hemos aprendido de ellas, sabemos que es posible manejar el programa ese para aislar las imágenes y enfocar con claridad las cosas y así poder ver cómo Carlos, el simpático jefe que ha crecido en democracia, se carcajea de sus empleados. Carlos y tantos otros: Mariajo, Joaquín, Elena...Y lo bueno de la técnica es que te permite poner a cámara lenta las imágenes y puedes ver una y otra vez los codazos de tus compañeros, la burla en forma de risotada con líquido saliendo a borbotones y la sonrisa malintencionada de;si;si;si;imperfectivo;animado;;
Guerra, Alicia: Los infortunios de una pobre huérfana. Alicante: Biblioteca Virtual Miguel de Cervantes, 2004.;Guerra, Alicia;Los infortunios de una pobre huérfana;2004;Primera edición;Ficción;Escrito;Libro;Teatro;España;;Ficción;El texto fuente incluye expresiones esporádicas en inglés y francés.;COMISARIO.— Sólo cuando se ríe, pero dudo que tenga ganas de carcajearse.;si;si;no;infinitivo;animado;;
Martínez, Gabriel: Ático. Barcelona: Destino, 2004.;Martínez, Gabriel;Ático;2004;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;(La audiencia se carcajea.);si;si;no;imperfectivo;animado;;
Pascual, Javier: El Cantar de Gamyl. Madrid: Caballo de Troya, 2005.;Pascual, Javier;El Cantar de Gamyl;2005;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;en el aire con una cierta impaciencia, como invocando algo muy lejano, no sé si en el tiempo o en el espacio. En el Libro, me dijo, y volvió a agitar los dedos como si el Libro hubiese volado o fuese uno simbólico. ¿Dónde está el Libro? No hay Libro, se carcajeó en silencio, los franceses lo destruyeron. Le rogué que me dijera el nombre del Libro. Sirat Gam-i-yil de Esmarra, fue lo que entendí.;si;si;no;perfectivo;animado;;
Montero Glez: Manteca colorá. Madrid: Taller de Mario Muchnik, 2005.;Montero Glez;Manteca colorá;2005;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;"tranquilidad de la noche se rompe como si fuera una lámpara atravesada por polillas. Y el Roque siente abrirse la puerta tras él y el terror ceñir su pescuezo; el hierro ajustado a la nuca que le paraliza y el aliento vinoso que se pega a la oreja. Cagondiós. El Roque oyó a la Juana carcajearse desde dentro; la risa rota de gallina vieja. Será zorra la muy puta, se dijo el Roque para sus adentros.";si;si;no;infinitivo;animado;semicausativa;
Manrique, Diego: «La chica rebelde». El País.com. Madrid: elpais.com, 2005-03-06.;Manrique, Diego;El País.com;2005;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;;;;", aunque mi hermana me picaba diciéndome que me habían recogido en la calle. Y como era muy renegrida, muy diferente de los otros, me lo tomaba en serio"". Cuando baja la guardia se muestra atractiva; cae la máscara de artista precavida y brota una niña con ágil cuerpo de mujer. Se carcajea del piropo: ""¡¿Qué dices?! No me veo como mujer despampanante, soy una chica sin tetas ni na"".";si;si;si;perfectivo;animado;;
Aparicio-Belmonte, Juan: El disparatado círculo de los pájaros borrachos. Madrid: Ediciones Lengua de Trapo, 2006.;Aparicio-Belmonte, Juan;El disparatado círculo de los pájaros borrachos;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;aureola de seducción hipnotizante. Das un sorbo a tu copa y él te sonríe. Y entonces, mientras el agua borbotea, le lanzas el contenido de la copa a la cara en un impulso gamberro, y él se enfada, se cabrea, te pregunta que qué haces, te agarra las manos mientras tú te carcajeas de lo modosito que es. Y poco a poco os sumergís en el agua y en la excitación que unirá vuestros cuerpos en una danza violenta que durará no más de cinco minutos y que encharcará el suelo del cuarto de baño.;si;si;si;imperfectivo;animado;;
Aparicio-Belmonte, Juan: El disparatado círculo de los pájaros borrachos. Madrid: Ediciones Lengua de Trapo, 2006.;Aparicio-Belmonte, Juan;El disparatado círculo de los pájaros borrachos;2006;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;La doctora Montalvo, que te miraba muy seria, de pronto abrió la boca y expulsó un sonido gutural y pestilente —su halitosis era permanente, mezcla de carne podrida y café caro—: se estaba carcajeando, arrugaba la cara y se doblaba sobre sus rodillas matando de golpe el dramatismo de tu escena.;si;si;no;gerundio;animado;no reflexiva;
Royuela, Fernando: «El Florita Mar». El rombo de Michaelis. Madrid: Alfaguara, 2007.;Royuela, Fernando;El rombo de Michaelis;2007;Primera edición;Ficción;Escrito;Libro;Relato;España;;Ficción;;de que aquella mujer que sin conocerle en absoluto se le acercara nada más ordenarse sacerdote no fuera otra que el mismísimo diablo quien, con ánimo de llevarle por el camino equivocado, le hubiera inducido a creer que gozaba de poderes para exorcizar, por lo que desde aquel entonces no hubiese hecho cosa distinta que carcajearse de él y de la Santa Madre Iglesia con toda esa fenomenología esper-péntica con la que ilustraba los falsos actos de posesión.;si;si;si;infinitivo;animado;;
Usón, Clara: Perseguidoras. Madrid: Alfaguara, 2007.;Usón, Clara;Perseguidoras;2007;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;necesitaba dinero. Acabó por informarme de que ella y María Elena proyectaban convertirse en empresarias. Hizo referencia, con vaguedad, a una novedosa compañía «internacional» de marketing y promoción de eventos corporativos en general que ellas dos iban a fundar. Me harté de reír. Llevaba tiempo esperando el momento en que pudiera carcajearme de ella en su cara. ¿Quería humillarla? Digamos que deseaba ponerla en su sitio.;si;si;si;infinitivo;animado;no reflexiva;
Zarraluki, Pedro: Todo eso que tanto nos gusta. Barcelona: Ediciones Destino, 2008.;Zarraluki, Pedro;Todo eso que tanto nos gusta;2008;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;impuesto la compañía de una desconocida. Tampoco yo lo entendía, pero mi madre parecía feliz de que María confiase en ella y le sobraba práctica para capear la hostilidad de Irene. Iba a resultarle muy fácil. Irene era una mujer cordial, sin doble fondo y de risa pronta. A medio camino ya estaba carcajeándose de las ocurrencias de Cristina, y su mirada recelosa se había convertido en franca camaradería. Como respuesta a un comentario de mi madre acerca de lo torpes que somos los hombres con los regalos de cumpleaños, le dio en el hombro una palmada tan enérgica que a punto estuvo de descoyuntárselo.;si;si;si;gerundio;animado;no reflexiva;
Zarraluki, Pedro: Todo eso que tanto nos gusta. Barcelona: Ediciones Destino, 2008.;Zarraluki, Pedro;Todo eso que tanto nos gusta;2008;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Rodeamos el edificio por el aparcamiento de los coches. Nada más llegar al jardín me detuve en seco. Había reconocido de inmediato al muchacho que hacía de transportista de las prostitutas, sentado a una de las mesas en compañía de otros dos. Hablaban a gritos, se carcajeaban con estridencia y se volvían hacia las mesas circundantes para pedir cigarrillos o piropear a las chicas. Parecían disfrutar llamando la atención y enrareciendo el ambiente. Era obvio, por la actitud de los muchos clientes de la terraza, que su presencia hacía ya rato que se había hecho incómoda para todos.;si;si;no;imperfectivo;animado;;
De la Prada, Juan Manuel: «Animales de compañía. INCRÉDULOS». XLSemanal. Madrid: xlsemanal.com, 2008-10-12.;De la Prada, Juan Manuel;XLSemanal;2008;Primera edición;No ficción;Escrito;Prensa;Ciencias sociales, creencias y pensamiento;España;;;;"con una suerte de compasiva arrogancia, como si de un pobre diablo se tratase. Y uno estaría dispuesto a dejarse tratar de pobre diablo si los escépticos fueran coherentes con su escepticismo; pero, a poco que uno rasca, descubre que la incredulidad del escéptico sólo atañe a determinados asuntos. El mismo incrédulo que se carcajea de los enfermos que se confían a la intercesión de un santo está convencido de que vivirá más de cien años, gracias a no sé qué avances de la ingeniería genética que hasta la fecha sólo se han verificado en el ámbito especulativo. El mismo incrédulo que se burla de la existencia de un cielo donde los justos se";si;si;si;imperfectivo;animado;;
Lazcano, Asís: El norte. Barcelona: Ediciones Destino, 2009.;Lazcano, Asís;El norte;2009;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;"serie de adjetivos, uno de los cuales se iluminaba al introducir la moneda, después de oírse una musiquilla espasmódica. Un grandullón intentaba probar suerte y lo único que le salía era ""sensible"", metía otra moneda y... ""afeminado"". ""Indeciso."" Un gafitas que había con él se carcajeaba con una risita mientras el gordo, blasfemando, daba puñetazos a la máquina. Cuando aquellos dos abandonaron la máquina, dejando aquel prodigio por imposible, Iván fue echando sus monedas una tras otra, cada adjetivo que aparecía iluminado en aquella pantalla de cristal -semejante a las de las máquinas de petacos, pero aquí sin";si;si;no;imperfectivo;animado;;
Lazcano, Asís: El norte. Barcelona: Ediciones Destino, 2009.;Lazcano, Asís;El norte;2009;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Pues no has ido muy lejos, parecían decir sus ojos, pero Fanny se limitó a carcajearse y él también, un poco a su pesar, tuvo que reírse de sí mismo.;si;si;no;infinitivo;animado;reflexiva;
Lazcano, Asís: El norte. Barcelona: Ediciones Destino, 2009.;Lazcano, Asís;El norte;2009;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;- No lo sé. Seguro que los dos quinquis esos, los hermanos de Fanny. Le han debido de confundir -y no pudo evitar carcajearse-. Bueno, no sé si es para reírse, porque le han tenido que cascar bien. Lo han llevado a Cruces. Yo mañana subiré a verle. Tú lo mejor es que no te muevas de aquí. Aquí no se le va a ocurrir a nadie buscarte.;si;si;no;imperfectivo;animado;;
Velasco, María: «Beatle muerto». Blasco Mena, Lola ... [et al.]: Teatro. Piezas breves. Resad. Alumnos 2008/2009. Madrid: Fundamentos, 2009.;Blasco Mena, Lola ... [et al.];Teatro. Piezas breves. Resad. Alumnos 2008/2009;2009;Primera edición;Ficción;Escrito;Libro;Teatro;España;;Ficción;;John.- Estoy muy enamorado. ¡Un metro cincuenta de estatura, para una mujer tan grande! Es... es fantástica, el otro día expuso una manzana sobre un pedestal. (Se carcajea. Los demás le miran muy serios.) Pasamos el día cocinando desnudos, me acompaña al baño. (Silencio.) Lo siento por ti, Paul.;si;si;no;imperfectivo;animado;;
Pastor Seco, Javier: Mate jaque. Barcelona: Random House Mondadori, 2009.;Pastor Seco, Javier;Mate jaque;2009;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;La comida de aquí empieza a ser un asco. Ayer quería festejarme, amanecí con cuerpo de jueves santo. Solicité una tajada rebozada de la legendaria merluza negra de la localidad. El camarero (no era el favorito del maître) ¡juraría que se carcajeó! Al rato tenía delante un escalope de cartón troquelado copulando con una pelota de puré de patata apedreada de guisantes. ¿Comentárselo al maître: con delicadeza, descargando la responsabilidad de esta cosabazofia en..., los proveedores? ¿Los pinches, las mujeres de la limpieza? ¿El camarero,;si;si;no;perfectivo;animado;;
Anson, Luis María: «LAS CARTAS BOCA ARRIBA. ARTURO FERNANDEZ». El Mundo. Madrid: elmundo.es, 2009-02-22.;Anson, Luis María;El Mundo;2009;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;;Opinión;;Llevas casi sesenta años sobre la escena. Llevo casi sesenta años asistiendo a todo lo que haces. No has necesitado nunca ni subvenciones ni apoyos gubernamentales ni garambainas. Te has carcajeado de las izquierdas. También de las derechas, que eran, en teoría, tus amigos y que no te dieron nunca ni agua. Jamás tendiste la mano mendigando, porque abarrotaste siempre las salas de teatro. Nunca te falló el público. Con más de cien películas sobre los hombros, con millonarias series de;si;si;si;perfectivo;animado;;
Martín, Daniel: «Hasta el infinito y más allá». Cine público. www.republica.com/cine-publico: republica.com/cine-publico, 2010-07-27.;Martín, Daniel;Cine público;2010;Fecha de escritura;No ficción;Escrito; ;Artes, cultura y espectáculos;España;;Blog;;"Después de disfrutar Toy Story 3, estuve reflexionando bastante tiempo. Me había reído, entretenido, divertido, carcajeado, emocionado... llorado. En el fondo del filme había un enorme poso de nostalgia, una sentimental reflexión sobre el sentido de la existencia, de nuestra naturaleza, de si servimos o no para algo. Lo grandioso es que, como ocurría en el cine del genial Frank Capra, el ""mensaje"",";si;si;no;perfectivo;animado;;
Castro, Mercedes: Mantis. Madrid: Alfaguara, 2010.;Castro, Mercedes;Mantis;2010;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Se ríe, se carcajea en mi cara, con las piernas abiertas plantadas en el suelo y la máquina rugiendo como un león entre ellas se permite el lujo de echarse ligeramente hacia atrás y casi recostarse sobre su sillín de cuero para estudiarme tranquilamente, con curiosidad, con exagerada y risueña atención, como un científico que con su;si;si;no;imperfectivo;animado;;
Castro, Mercedes: Mantis. Madrid: Alfaguara, 2010.;Castro, Mercedes;Mantis;2010;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;arte de magia a mi lado y se parte de risa intentando enumerar las bromas que me he perdido, un script que se desternilla me coge de la cintura con cariño y familiaridad y se ofrece a soplarme la mitad al oído y, curiosamente, no me molestan sus manos sobre mi cuerpo y todos nos carcajeamos al unísono y brindamos hasta que alguien cambia la música y pone un rock y muchos empiezan a bailar, la mayoría haciendo el ganso, y de pronto, entre el asombro general, distinguimos a Germán en medio de la improvisada pista marcándose un baile con Estrella que, algo torpe pero animada, se agarra;si;si;no;imperfectivo;animado;;
Castro, Mercedes: Mantis. Madrid: Alfaguara, 2010.;Castro, Mercedes;Mantis;2010;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;Me carcajeo más aún en silencio, satisfecha, radiante por el inesperado triunfo que sin haberlo previsto estoy anotando en mi casillero. Disfruto con su furor, casi me da más placer causar su irritación, asistir a esta demostración de impotencia, de ira contenida que sólo yo sé percibir, que el puro deseo que estoy concibiendo;si;si;no;imperfectivo;animado;;
Castro, Mercedes: Mantis. Madrid: Alfaguara, 2010.;Castro, Mercedes;Mantis;2010;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;en efectivo, sólo muebles, pinturas, alguna joya horrible y terrenos y fincas, y como seguramente sabrás porque no dudo de que te has informado, si no doy mi consentimiento para su puesta en venta no podrás recibir nada al menos mientras yo viva. Cuánto lo siento, querida: somos coherederas -se carcajeó con saña e inquina.;si;si;no;perfectivo;animado;;
Castro, Mercedes: Mantis. Madrid: Alfaguara, 2010.;Castro, Mercedes;Mantis;2010;Primera edición;Ficción;Escrito;Libro;Novela;España;;Ficción;;teatro que se burla o se apena con su cara de bruja y siempre me desconcierta. Al menos me consuela saber que ella está más expuesta que yo a la furia de los elementos y, fiel a mi empeño de no oír las mofas del árbol centenario, el maldito jefe de los cotillas que se carcajea de mi obstinación por pasear precisamente hoy y me agradece que le dé tiempo con mi lento avance a difundir el rechazo de Germán para ponerlo en boca de todos antes de que consiga alcanzar el amparo de mi hogar.;si;si;si;imperfectivo;animado;;
