BIBLIOGRAFÍA;CORDEMÁFORO;AUTOR;TÍTULO;FECHA;TEMA;PAÍS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
c1240 [mediados del s. XIV] ANÓNIMO, Libro de Apolonio [España] [Dolores Corbella, Madrid, Cátedra, 1992] Verso;R;ANÓNIMO;Libro de Apolonio;c1240[mediados del s. XIV] ;Verso;España;"pero non q ue houiesse el duelo oluidado.  Alçó contra la due nya vn poq uiello el çeio, fue ella d e vergüe nza p resa hu n poq uelleio, fue trayendo el arq uo egual & muy p areio, abés cabié la due nya d e gozo en su pelleio.   Fue leuantando hu nos tan dulçes son es, doblas & debayladas, temblantes semiton es; a todos alegraua la boz los corazon es; fue la due nya toq uada d e malos aguigones.  Todos por hu na boca dizién & afirmaua n que Apolo nin Orfeo mejor no n violauan;  el cantar d e la due nya, que mucho alabaua n, contra el d e Apolonio nada no n lo p reciaua n.  El rey Architrastres no n s erìa más pagado sy ganasse hu n regno ho hu n";transitivo;;;;;;
c1240 [mediados del s. XIV] ANÓNIMO, Libro de Apolonio [España] [Dolores Corbella, Madrid, Cátedra, 1992] Verso;R;ANÓNIMO;Libro de Apolonio;c1240[mediados del s. XIV] ;Verso;España;"por nodriça ha Luçiana dada.  Díxole la huéspeda, q ue hauÿa gra n pesar: «Apolonyo d e Tiro, q uiérote p reguntar: ¿qué fue d e tus conpa nyas, mesnadas d e p restar? De tantas q ue leueste, non veyemos hu no tornar.  De toda tu fazienda te veyemos camiado,  abés te con noscemos, tanto eres demudado; alegrarte non puedes, andas t riste & pesado. ¡Por Dios, d e tu fazienda q ue sepamos mandado!».  Recudiól' Apolonyo, entró en la razón, llorando d e los oios ha hu na gra n mesión; díxole la estoria & la t ribulaçión, cómo p erdió en la mar toda su criazón.  Díxoles de quál guisa estorçió tan";si;si;no;imperfectivo;animado;;
c1240 [mediados del s. XIV] ANÓNIMO, Libro de Apolonio [España] [Dolores Corbella, Madrid, Cátedra, 1992] Verso;R;ANÓNIMO;Libro de Apolonio;c1240[mediados del s. XIV] ;Verso;España;"toda la sangre con cuyta & con pesar; tornó en su encubierta a la mug er a rebtar, mas cuydáuase ella con mentiras saluar.   Saluó el rey sus huéspedes & fuelos abraçar, fue dellos reçebido como deuìa estar, cataua por su fija q ue les dio ha criar, non se podié sin ella reýr ni alegrar.  «Huéspedes, dixo el rey, ¿q ué puede esto seer? Pésame d e mi fija, q ue non me viene veyer; querría desta cosa la v erdat entend er, que veyo a uos t ristes, mala color ten er».  Recudiól' Dionisa, díxol' grant falssedat: «Rey, d e tu fija, ésta";si;ambiguo;no;imperfectivo;animado;;reír y alegrar (el reflexivo puede ser solo de reír)
c1240 [mediados del s. XIV] ANÓNIMO, Libro de Apolonio [España] [Dolores Corbella, Madrid, Cátedra, 1992] Verso;R;ANÓNIMO;Libro de Apolonio;c1240[mediados del s. XIV] ;Verso;España;"te dexe al tu padre veyer, perdóname el fecho, dart' é d e mìo auer; erré co n fello nía, puédeslo bien creyer, ca nu nq ua fiz tal yerro ni n lo cuydé fazer.   Demás, si me dixiesses, qua puédete me nbrar, el nombr e del ama q ue te ssolié criar, podriémosnos por ventura amos alegrar, yo podría la fija, tú el padre cobrar».  Perdonólo la due nya, p erdió el mal taliento, dio a la dema nda leyal recudimie nto: «La ama, diçe, d e que siemp re me nguada me siento, dixiéro nle Licórides, sepades q ue non uos mie nto».  Vio bien Apolonyo q ue andaua carrera, entendió bien";si;si;no;imperfectivo;animado;;
1240-1250 [principios del s. XV] ANÓNIMO, Libro de Alexandre [España] [Jesús Cañas, Madrid, Cátedra, 1988] Verso;R;ANÓNIMO;Libro de Alexandre;1240-1250[principios del s. XV] ;Verso;España;"Diól salto en un puerto, un lugar apartado, como lo teniá bien d'ante' l traidor asmado, el lograr fue estrecho e él apoderado, fue el rëy Phelipo muy mal desbaratado.  Golpes ovo de muerte, fincóse espantado; fue, quando esso vio, Pausona esforçado, el que mal siglo aya fue tanto alegrado como si lo oviessen sus parientes ganado.  Dexó al rey por muerto, que tanto se valié, fuése pora la villa do Olimpias yazié; mas el malventurado agrimar non sabié la su mala ventura que tan çercal vinié.  Si vino en las nuves o lo aduxo 'l viento, o l' aduxo la";transitivo;;;;;;
1240-1250 [principios del s. XV] ANÓNIMO, Libro de Alexandre [España] [Jesús Cañas, Madrid, Cátedra, 1988] Verso;R;ANÓNIMO;Libro de Alexandre;1240-1250[principios del s. XV] ;Verso;España;"viersos nunca fue tan pagado; tovo que fue Achiles omne aventurado, que ovo de su gesta dictado tan honrado.   Echaron grant ofrenda, dieron grant oblaçión, ençensaron las fuessas, fizieron proçessión, orava cada uno con grant devoçïón por aquellos que fueron de su generación.  La proçessión andada, fizo el rey sermón por alegrar sus gentes, ferles buen coraçón; enpeçó la estoria de Troya de fondón, cómo fue destroída e sobre quál razón.   Contóles a los suyos cómo fue destroída, cómo oviera Paris a Elena rabida, cómo ovo Diomedes a Venus mal ferida, cómo murió don Éctor, una lança ardida.   Dixo cóm fue Ulixes sossacador";transitivo;;;;;;
1240-1250 [principios del s. XV] ANÓNIMO, Libro de Alexandre [España] [Jesús Cañas, Madrid, Cátedra, 1988] Verso;R;ANÓNIMO;Libro de Alexandre;1240-1250[principios del s. XV] ;Verso;España;"veces vos dix, si bien vos acordades, de can que mucho ladra nunca vos d'él temades.  Una cosa que dixo devedes bien creer: que ave rica tierra e sobra grant aver, ca nunca fizo al sinon sobreponer, ca nunca se cuidó en aquesto veer.  Mucho más vos devedes, por esto alegrar, como omnes que aven tal cosa a ganar, ca puesto an los fados todo a vos lo dar, sólo que vos querades un poco aturar.   Todo esto avremos; maguer es cosa puesta, Dios non vos lo dará yaziendo vos en cuesta; esforçad, fijosdalgo, tornemos la respuesta, en quanto que él";si;si;por;imperfectivo;animado;;
1246-1252 [s. XVIII (1775-1779)] BERCEO, GONZALO DE, Los Milagros de Nuestra Señora [España] [Brian Dutton, Londres, Tamesis Books, 1971] Verso;A;BERCEO, GONZALO DE;Los Milagros de Nuestra Señora;1246-1252[s. XVIII (1775-1779)] ;Verso;España;", goloso e logrero, no lo saqe Dios ende, aguarde so cellero, fablemos su vegada del pleit del mercadero, levémosli las nuevas do ribó el tablero.  El burgés de Bizancio vivié con grand pesar, qe non podió al plazo al judío pagar; non podié el bon omne la cara alegrar, ni lo podién por nada sos omnes confortar.  Andido un grand tiempo, ganó muchos dineros, comprando e vendiendo a ley de mercaderos; quand su ora uyó dechssó essos senderos, tornó a su provincia con otros companneros.  Fo por Constantinopla semnado el roído, el burgés don Valerio como era venido; plógoli a";transitivo;;;;;;
1246-1252 [s. XVIII (1775-1779)] BERCEO, GONZALO DE, Los Milagros de Nuestra Señora [España] [Brian Dutton, Londres, Tamesis Books, 1971] Verso;A;BERCEO, GONZALO DE;Los Milagros de Nuestra Señora;1246-1252[s. XVIII (1775-1779)] ;Verso;España;"falleces non me tengo a nada; Sennora, tú qe esta cosa has empeçada, fázme render la carta, será bien recabdada.»  «Non fincará por eso —disso la Glorïosa— non finqe por tan poco empeçada la cosa.» Tollióseli delante la Reína preciosa, fue buscar esta carta de guisa presurosa.  Alegróse Teófilo qe yazié quebrantado, non era maravella ca yazié muy lazrado; tornó en su estudio, el qe avié usado, nunqa fue en est sieglo confesor más penado.  Tornó en su estudio, en fer su penitencia, en comer, en bever tener grand abstenencia; tenié enna Gloriosa toda la su creencia,";si;si;no;perfectivo;animado;;
1250 [segunda mitad del siglo XIII] TOLEDO, ABRAHAM DE, Moamín. Libro de los animales que cazan [España] [Óscar Perez, Madrid, Universidad Complutense, 2003] Zoología y paleontología;V;TOLEDO, ABRAHAM DE;Moamín. Libro de los animales que cazan;1250[segunda mitad del siglo XIII] ;Zoología y paleontología;España;las IIII perchas esté cada una d'ellas ante la finiestra, e la quinta en medio de la muda, por tal que se pueda deuiar del uiento calient o de la luuia quando la fizier'e si quisieren fazerles en la muda una finiestra por ó les entre el sol, cúmpleles. E si uieren que se alegran e andan mucho saltando por las perchas, métanles uaras de callos e sean enbueltas en lana, e que sean enuestidas de suso de panno cosido. E esto les fazen por tal de las guardar de la dureza de las perchas, ca quando posaren en ellas, fallarlas an blandas, e guardarlas á que non se llaguen;si;si;no;imperfectivo;animado;;
1250 [segunda mitad del siglo XIII] TOLEDO, ABRAHAM DE, Moamín. Libro de los animales que cazan [España] [Óscar Perez, Madrid, Universidad Complutense, 2003] Zoología y paleontología;V;TOLEDO, ABRAHAM DE;Moamín. Libro de los animales que cazan;1250[segunda mitad del siglo XIII] ;Zoología y paleontología;España;"desatadas todo el día, cansan por ello e pierden el agudez, e non son tan alegres. E quando los sacaren a ribera, no los saquen todos en uno, sino cada uno por so cabo; e si estidieren muchos días que non salgan a caça, sáquenlos de dos en dos a ribera, ca con esto se alegraran e serán ledos, e serles á segundo si los sacasen a caça.";si;si;no;imperfectivo;animado;;
c1250 [finales del s. XIII] ANÓNIMO, Libro de los buenos proverbios que dijeron los filósofos y sabios antiguos [España] [Harlam Sturm, Lexington, Edición electrónica, 1971] Educación;V;ANÓNIMO;Libro de los buenos proverbios que dijeron los filósofos y sabios antiguos;c1250[finales del s. XIII] ;Educación;España;"E dixo Socrates a uno de sus disçipulos: — ¿Non fallanos ny oviemos bien sino de oros? Dixo el discipulo: — Non, pues porque aborreçemos de yr a aquel logar dont avemos el bien; aquel que non connoce este sieglo non se alegra por bien que aya.";si;si;no;imperfectivo;animado;;
c1250 [finales del s. XIII] ANÓNIMO, Libro de los buenos proverbios que dijeron los filósofos y sabios antiguos [España] [Harlam Sturm, Lexington, Edición electrónica, 1971] Educación;V;ANÓNIMO;Libro de los buenos proverbios que dijeron los filósofos y sabios antiguos;c1250[finales del s. XIII] ;Educación;España;que non podria estorçer della. Otrosí non devedes aver cuydado nyn ducho ninguno ca vos nunqua fuestes tan torpe que non sopiessedes que de los mortales era yo. Y saber quando yo fiz esta carta fue y my asmamiento ca sabedes que a lo que yo vo, que es mejor que lo que dexo. Pues alegratvos con la my yda y aparejavos de seguir todos mios buenos fechos que ya destajada es toda my nonbradia del vuestro buen seso y del vuestro buen consejo. Pues abivatvos la mi nonbradia con mio amor a las cosas que yo amo y que quiero bien. Y la  señal del omne que ama al;si;si;con;imperfectivo;animado;;
c1250 [finales del s. XIII] ANÓNIMO, Libro de los buenos proverbios que dijeron los filósofos y sabios antiguos [España] [Harlam Sturm, Lexington, Edición electrónica, 1971] Educación;V;ANÓNIMO;Libro de los buenos proverbios que dijeron los filósofos y sabios antiguos;c1250[finales del s. XIII] ;Educación;España;"vida maguer sea porlongada la fin la a de alcançar, y sy fuere contra el comienço desfara; y las cosas nuevas deste syeglo, envegeeimiento an de venir, y sus pueblos a enarmar y sus rregnos a perder y sus vicios a camiar y su clareza a encobrir y su alegria a duelo; este sieglo alegra y adoleçe y tuelle cuydado, y faze cuydado, y faze a omne ledo y fazel triste.";transitivo;;;;;;uso absoluto
c1250 [finales del s. XIII] ANÓNIMO, Libro de los buenos proverbios que dijeron los filósofos y sabios antiguos [España] [Harlam Sturm, Lexington, Edición electrónica, 1971] Educación;V;ANÓNIMO;Libro de los buenos proverbios que dijeron los filósofos y sabios antiguos;c1250[finales del s. XIII] ;Educación;España;E dix su echant: — Esta agora quel a quien ssolian adobar buenos comeres y ssolie governarsse de buenas viandas, esta sola tierra y goviernansse del y el que se alegrava con las animalias y con los spiritus tornase agora a govierno de los vestiglos y de los yermos.;si;si;con;imperfectivo;animado;;
c1250 [finales del s. XIII] ANÓNIMO, Libro de los buenos proverbios que dijeron los filósofos y sabios antiguos [España] [Harlam Sturm, Lexington, Edición electrónica, 1971] Educación;V;ANÓNIMO;Libro de los buenos proverbios que dijeron los filósofos y sabios antiguos;c1250[finales del s. XIII] ;Educación;España;aventura llega a lo que ama y muere de alegria o de duelo. O por aventura sospira sospiro grande y affoga su alma quanto XXIIII oras, y cuydanse que es muerto. Y sotierranle y es vivo o por ventura ressuelga un rressuelgo alto y aprietasse su coraçon y non se desaprieta fata que muere. O por aventura alegrasse y tiene ojo contra lo que bien quiere, y veelo a so ora y muere a so ora. Y vos veedes el enamorado que quando  oee dezir de lo qua bien quiere, commo se le fuye la sangre y camiasle la color y esto non lo puede toller sinon la merçet de Dios. Ca por fecho;si;si;no;imperfectivo;animado;;
c1250 [mediados del x. XIII] ALFONSO X, Lapidario [España] [Pedro Sánchez-Prieto Borja, Alcalá de Henares, Universidad de Alcalá de Henares, 2003] Geología;V;ALFONSO X;Lapidario;c1250[mediados del x. XIII] ;Geología;España;"& es tamanna como una faua; o ya quanto poco mayor. De su natura es fria & humida. Et a tal uertud que si dieren della molida a beuer al omne quando a grand sed; tuellegela. & si la lauaren ante que sea molida. & dieren daquella lauadura a beuer; alegrarsela el espiritu de la uida. & tollerse la tristeza si la ouiere. & esso mismo faz al que la trae consigo. Et si la traen los moços; pierden aquel miedo que an acostumbrado de auer, quando son pequennos. Et la estrella siguient de las dos que son en la rayz del pescueço";transitivo;;;;;;
c1250 [s. XVI (1500-1503)] ANÓNIMO, La historia de la donzella Teodor [España] [Walter Mettmann, Mainz, Akademie der Wissenschaften und der Literatur, 1962] Novela;R_manual;ANÓNIMO;La historia de la donzella Teodor;c1250[s. XVI (1500-1503)] ;Novela;España;", porque hauía fallado tan buen recaudo en aquel su amigo de todo lo que hauía menester para su donzella; e dixo en su coraçon: Si al señor Dios pluguiere, esto será buen comienço. E vínose luego para su casa con sus paños e afeytes e diólo todo a la donzella. E ella se alegró mucho con ello, por quanto ella era mucho hermosa e los paños e afeytes eran buenos; por lo qual ella fué muy contenta e dixo al mercadero, su señor: ""Alegradvos, señor; haued plazer, que esto será comienço de vuestro bien, si al señor Dios pluguiere."" E la donzella";si;si;no;perfectivo;animado;;
c1250 [s. XVI (1500-1503)] ANÓNIMO, La historia de la donzella Teodor [España] [Walter Mettmann, Mainz, Akademie der Wissenschaften und der Literatur, 1962] Novela;R_manual;ANÓNIMO;La historia de la donzella Teodor;c1250[s. XVI (1500-1503)] ;Novela;España;"será buen comienço. E vínose luego para su casa con sus paños e afeytes e diólo todo a la donzella. E ella se alegró mucho con ello, por quanto ella era mucho hermosa e los paños e afeytes eran buenos; por lo qual ella fué muy contenta e dixo al mercadero, su señor: ""Alegradvos, señor; haued plazer, que esto será comienço de vuestro bien, si al señor Dios pluguiere."" E la donzella tomó los paños e vestióselos, los quales le venían tan bien como si fueran cortados a su medida, e tomó los afeytes e afeytóse con ellos lo mejor que pudo. E quando";si;si;no;imperfectivo;animado;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;R;ANÓNIMO;Bocados de oro;a1250[s. XV] ;Relatos;España;[28] El que tiene algunt portillo en este mundo, non se puede alegrar, e el que non lo ha, es despreciado.;si;si;no;imperfectivo;animado;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;R;ANÓNIMO;Bocados de oro;a1250[s. XV] ;Relatos;España;"[14] La buena alma nunca se duele, nin se alegra; ca non le acaesce la alegría, si non por que cata a las bondades de la cosa e non a sus maldades. E acaesce la dolor, por que cata a las sus maldades e non a las bondades E la buena alma cata todo este mundo e vee que son iguales sus bondades e sus maldades; e";si;si;no;imperfectivo;animado;;alma = animado?
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;R;ANÓNIMO;Bocados de oro;a1250[s. XV] ;Relatos;España;"E dizíe que el alma es fincable, e que ha gualardón o pena. E pesava la vianda de guisa que non era un tienpo sano e otro enfermo, nin un tienpo gordo nin otro magro; pues era en su alma muy sotil, nin se alegrava mucho nin se dolíe mucho además, nin lo vido ninguno reír nin llorar. E amava fazer bien a sus amigos ante que a sí mesmo. E dizíe que los averes de los amigos deven ser de consuno. E dizíe de sus saberes por allegoría, e fizo dozientos e ochenta libros. E dexó muchos deciplos.";si;si;no;imperfectivo;animado;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;R;ANÓNIMO;Bocados de oro;a1250[s. XV] ;Relatos;España;[36] Non te eches a dormir desde aquí fasta que cates las obras que feziste en cada día por saber si erraste e en que erraste. E si feziste lo que non devíes fazer, e si non feziste lo que devías fazer. E si fallares que feziste bien, alegra-te, e si fallares que feziste mal, espanta-te. E por esto ganarás con que seas cerca de Dios.;si;si;no;imperfectivo;animado;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;R;ANÓNIMO;Bocados de oro;a1250[s. XV] ;Relatos;España;[117] ¡Como el llorar por el que matan a tuerto! E ¡como es bueno por el que mata a otro a tuerto! ca por el que matan a tuerto, conviene de se alegrar por la su muerte, por el bien que ha de rescebir. E el que mata a tuerto conviene de se doler por el mal que ha de rescebir.;si;si;no;imperfectivo;animado;;
a1250 [s. XV] ANÓNIMO, Bocados de oro [España] [Mechthild Crombach, Bonn, Romanisches Seminar der Universität Bonn, 1971] Relatos;R;ANÓNIMO;Bocados de oro;a1250[s. XV] ;Relatos;España;[167] Al que faze el mundo alegrar de su enemigo, ¡como le fará aina a su enemigo alegrar d'él!;si;no;de;;;causativa;
