EjemploID;BIBLIOGRAFIA;AUTOR;TITULO;FECHA;CRITERIO;BLOQUE;MEDIO;SOPORTE;TEMA;PAIS;ZONA;TIPOLOGIA;NOTAS;CONCORDANCIA;Valido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perifrasis;Observaciones
114;"Ayanz, Miguel: «""Spamalot""». Notas desde la fila siete. http://notasdesdelafilasiete.blogspot.com.es/: notasdesdelafilasiete.blogspot.com.es/, 2009-09-13.";Ayanz, Miguel;Notas desde la fila siete;2009;Fecha de escritura;No ficción;Escrito;NA;Artes, cultura y espectáculos;España;NA;Blog;NA;"Palin y compañía. En cualquier caso, esta versión española se disfruta de principio a fin, las letras han sido traducidas con acierto y la sensibilidad humorística de Tricicle, a pesar de venir del teatro gestual, se hermana bien con la de sus colegas ingleses. El resultado no decepcionará a los fans. Con gente que te hace reír así es fácil olvidar los defectos y, como ellos proponen en un momento robado a ""La vida de Brian"", buscar el lado bueno de la vida.";si;no;;;;causativa;
152;"Carro, Pablo: «""Internet ha dado poder a los artistas"", dice Marilyn Manson». ABC.es. Madrid: abc.es, 2007-11-17.";Carro, Pablo;ABC.es;2007;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;NA;"la prensa no ya especializada en música sino de información general, Manson no se siente particularmente incómodo con el acoso de los medios: ""Supongo que es una parte del precio que tengo que pagar por haber podido desarrollar mi carrera en la música, pero no le doy demasiada importancia. De hecho, normalmente me hace reír el interés que parece que despierto en ciertos sectores de la prensa"".";si;no;;;;causativa;
161;Centinel: «Fundamentalismo católico». El Blog de Centinel. elcentinel.blogspot.com.es: elcentinel.blogspot.com.es, 2006-12-21.;Centinel;El Blog de Centinel;2006;Primera edición;No ficción;Escrito;NA;Ciencias sociales, creencias y pensamiento;España;NA;Blog;NA;Buscando por la red al respecto, encontrarás cosas que te harán reir, llorar e incluso temblar. Para empezar fuerte, este vídeo de chavalotes y chavalitas guapos/as, formales, seguramente vírgenes y que probablemente han sacado el BUP o el COU, o como se llame ahora, con notas estupendas. Sus argumentos son tan aplastantes que hasta yo me lo estoy empezando a plantear: ¿Cómo es;si;no;;;;causativa;
169;Colubi, Pepe: «Risa 'al dente'». Cinemanía. www.cinemania.fsinfo.es: cinemania.fsinfo.es, 2010-04-26.;Colubi, Pepe;Cinemanía;2010;Fecha de escritura;No ficción;Escrito;NA;Artes, cultura y espectáculos;España;NA;Blog;NA;Bueno, pues a pesar de ese valor añadido que tiene la comedia, las películas que nos hacen reír siguen siendo ignoradas por la crítica sesuda en general y por los reconocimientos de la industria en particular (¡os estoy mirando, Oscar!). El más sonado desagravio de este año ha sido para la magnífica Resacón en Las Vegas, canto al desfase, apología de la juerga y transgresión en toda regla en tiempos de;si;no;;;;causativa;
176;Costa, Jordi: «CRÍTICA. Mirada agridulce entre bambalinas». El País.com. Cine. Madrid: elpais.com/diario/cine, 2009-09-04.;Costa, Jordi;El País.com. Cine;2009;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;Periodicidad: semanal;HAZME REÍR;si;no;;;;causativa;
217;Estaire, Félix: «A ras de lengua». Teatro. Piezas breves. Alumnos Resad. Curso 2009-2010. Madrid: Fundamentos, 2010.;Estaire, Félix;Teatro. Piezas breves. Alumnos Resad. Curso 2009-2010;2010;Primera edición;Ficción;Escrito;Libro;Teatro;España;NA;Ficción;NA;Tereo.- La ignorancia te permite reír.;si;no;no;infinitivo;animado;semicausativa;
235;Ferrer, Fiona: «Sacar partido a una buena causa». El blog de Fiona Ferrer Leoni. www.blog.hola.com/fionaferrer: blog.hola.com/fionaferrer, 2010-11-24.;Ferrer, Fiona;El blog de Fiona Ferrer Leoni;2010;Fecha de escritura;No ficción;Escrito;NA;Actualidad, ocio y vida cotidiana;España;NA;Blog;NA;todo, bueno, más bien dio una serie de botellas firmadas con cristal de Swarosky por Penélope Cruz, Brad Pitt, Antonio Banderas, Kevin Costner Catherine Deneuve. Todos los fondos recaudados van destinados a la Casa del Actor. Porque si queridos.....los actores no son sólo seres maravillosos que se mueven al son del guión y nos hacen reír, llorar morirnos de miedo. Los actores son personas, que no personajes, que sufren el éxito y el olvido, que nos lo dan todo y solo piden que no les olvidemos, que vayamos al cine, al teatro y que la audiencia responda ante las series de televisión.;si;no;;;;causativa;
239;"Font Martí, J. M.: «ENTREVISTA: MARC FUMAROLI Pensador y ensayista. ""No llamemos arte al arte contemporáneo""». El País.com. Madrid: elpais.com, 2010-09-28.";Font Martí, J. M.;El País.com;2010;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;Entrevista;NA;iluminados por el incendio, y los otros se volvían locos porque la melancolía es pesada y aplasta, es como el petróleo. Es profundamente verdadera esta idea. Ahora estamos en la fase del petróleo y estamos ahogados por el petróleo. La literatura, cuando vuelva, será la literatura de lo grotesco, porque hacer reír ya es curar. Hacen falta dos o tres Rabelais.;si;no;;;;causativa;
241;Frías, Manuel: «Uríos-Fis, la conexión cubana en España». ABC.es. Madrid: abc.es, 2006-01-30.;Frías, Manuel;ABC.es;2006;Primera edición;No ficción;Escrito;Prensa;Actualidad, ocio y vida cotidiana;España;NA;NA;NA;"Me gusta estar con Julio porque es muy alegre y me hace reír, señala Uríos mientras Fis pone cara de modelo para posar delante de un fotógrafo. ""Lo que te gusta salir en las fotos"", le apunta Uríos haciendo poses Fis. ""¿Sabes lo que hacía Napoleón?"", añade Julio logrando la atención de toda la concurrencia. ""Cuando ganaba una batalla";si;no;;;;causativa;
251;Galindo, Daniel: «El viejo oficio de conmover, de provocar...». Apuntes de cine y teatro. http://blog.rtve.es/apuntesdecineyteatro/: blog.rtve.es/apuntesdecineyteatro/, 2009-10-29.;Galindo, Daniel;Apuntes de cine y teatro;2009;Fecha de escritura;No ficción;Escrito;NA;Artes, cultura y espectáculos;España;NA;Blog;NA;Ay, los actores... ¡Qué grandes que son algunos! Los buenos consiguen emocionarnos, hacernos llorar, reir, en definitiva, convencernos con lo que en un primer momento fueron ideas plasmadas en un papel -seguro que vosotros tenéis vuestros favoritos, ¿nos lo contáis?-.;si;no;;;;causativa;
254;"Gallo, Isabel: «""La frontera entre el éxito y el fracaso es tan fina como el papel de fumar""». El País.com. Madrid: elpais.com, 2007-01-07.";Gallo, Isabel;El País.com;2007;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;NA;R. Es un humor que además de hacer reír sirve para hacer pensar.;si;no;;;;causativa;
271;"García, Toni: «""España es un país partido en dos: si uno ríe, el otro llora""». El País.com. Madrid: elpais.com, 2010-09-08.";García, Toni;El País.com;2010;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;NA;R. No [risas], a mí los payasos me dan miedo y además creo que esta no es una película de circo, no quería que se viera el circo. El payaso es en realidad un tío disfrazado para hacer reír y eso es lo que me interesa, los payasos son gente que está intentando desesperadamente hacer felices a los demás con un disfraz ridículo. ¿Qué pretenden? ¿Por qué creen que con ese disfraz me van a hacer reír? Por eso primero hay un odio hacia ese ser extraño y repulsivo y por otro lado;si;no;;;;causativa;
286;Gosálvez, Patricia: «Un milanés no va en chándal». El País.com. El viajero. Madrid: elviajero.elpais.com, 2010-06-05.;Gosálvez, Patricia;El País.com. El viajero;2010;Primera edición;No ficción;Escrito;Prensa;Actualidad, ocio y vida cotidiana;España;NA;NA;NA;"cuadro era un ""magnífico borrón""). Leonardo arguyó ante el duque que un genio necesita tiempo y le explicó que aún estaba buscando un modelo que representase la vileza de Judas. De no encontrarlo, amenazó, siempre podría usar el rostro ""de aquel prior tan inoportuno e indiscreto"". La ocurrencia hizo reír al duque y el prior dejó de acosar a Da Vinci. Hoy Judas está tan desvaído como el resto del cuadro, porque en vez de usar el fiable fresco de toda la vida, Leonardo decidió experimentar pintando sobre la pared seca y el invento no resistió el paso del tiempo. Tras múltiples restauraciones, y para";si;no;;;;causativa;
304;Hernández, Belén: «Ridley Scott dirige tu vida». El País.com. Madrid: elpais.com, 2010-07-07.;Hernández, Belén;El País.com;2010;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;NA;¿Qué te gusta?, ¿Qué temes?, ¿Qué te hace reír?, ¿Qué llevas en los bolsillos?. Esas son las cuatro preguntas que el director Ridley Scott y Kevin MacDonald quieren que los usuarios de Youtube respondan en los videos que compongan la película La vida en un día, el nuevo proyecto de los creadores de Robin Hood y El último rey de Escocia.;si;no;;;;causativa;
309;Imaz, Virginia: «Ana Padovani: Me gustan los cuentos que mueven fuertes emociones». Artez. Bilbao: artezblai.com/artez, 2006-12-03.;Imaz, Virginia;Artez;2006;Primera edición;No ficción;Escrito;Prensa;Ciencias sociales, creencias y pensamiento;España;NA;NA;NA;"puedo menos que decir que me gusta ""cambiar"", me interesa fundamentalmente el juego y el desafío. Por eso a veces hago elegir al público el acento de los personajes o cuento historias con lenguas inventadas sólo comprensibles por su musicalidad. Me gustan los cuentos que mueven fuertes emociones, me gusta hacer llorar, reír o sentir miedo, porque todo eso lo siento yo, si no, el juego no existe, y todo esto puedo encontrarlo tanto en los relatos orales, como en los literarios o en los que yo invento.";si;no;;;;causativa;
321;Labordeta, José Antonio: En el remolino. Madrid: Editorial Anagrama, 2007.;Labordeta, José Antonio;En el remolino;2007;Primera edición;Ficción;Escrito;Libro;Novela;España;NA;Ficción;NA;seguía tañendo suavemente- un ruido a hueco, a hondo, invadió la menuda capilla a la que, por San Roque, acudíamos todos de verbena en años anteriores. Y al girarse, al quedar boca arriba, las gafas estrujadas, rotas, le hacían a los ojos veinte muecas extrañas, hasta casi hacernos reír por la ridícula figura en que quedaba. Luego, a rastras, lo sacamos al aire -alguien dijo que al aire se pudrían más pronto- y lo dejamos yerto sobre el campo, junto a Pascual, ahora mucho más sereno ya. Después nos quedamos mirando al Angelito envuelto en sus vomiteras, y;si;no;;;;causativa;
373;Marías, Javier: «El género abandonado». El País.com. Babelia. Madrid: elpais.com/babelia, 2009-08-15.;Marías, Javier;El País.com. Babelia;2009;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;NA;". También pasan por tales las películas que protagonizan una serie de ""cómicos"" detestables y sin atisbo de gracia que no comprendo cómo tienen éxito: Ben Stiller, Adam Sandler, Will Ferrell, Rob Schneider, los ya veteranos y sosísimos Steve Martin y Jim Carrey, y el más reciente y abominable, un tal Seth Rogen que al parecer hace reír a los jóvenes ""modernos"" (?). Hasta Woody Allen ha recurrido a algunos de ellos en un par de ocasiones, y no sé qué es más deprimente, si tal rebajamiento o su caída en el más absoluto ridículo en cuanto ha puesto una cámara en España. Y, dicho sea de paso, es significativo que a";si;no;;;;causativa;
380;Marsé, Berta: «La diva y la peluquera». En jaque. Barcelona: Anagrama, 2006.;Marsé, Berta;En jaque;2006;Primera edición;Ficción;Escrito;Libro;Relato;España;NA;Ficción;NA;— Ay, no me haga de reír...;si;no;;;;causativa;deísmo!
391;Martínez Alonso, María: «No se puede cocinar eternamente». Teatro. Piezas breves. Alumnos RESAD Curso 2005/2006. Madrid: Fundamentos, 2006.;Martínez Alonso, María;Teatro. Piezas breves. Alumnos RESAD Curso 2005/2006;2006;Primera edición;Ficción;Escrito;Libro;Teatro;España;NA;Ficción;NA;"Pequeña.- Algunas me las sé de memoria. A mí siempre me cuentas la del yayo; ese día, ese primer día que te vio y..., ya sólo podía pronunciar tu nombre. Y cómo él siempre te hacía reír. Debió ser un hombre increíble. Alguien con quien merece la pena vivir. Pero bueno, hay mucho más que contar. Llevamos juntas tanto tiempo..., digo yo que también tendrás algún recuerdo mío.";si;no;;;;causativa;
402;Mejías, Inma: «Homenaje. Invitados de lujo para agasajar a Sardá». El Mundo.es. Madrid: elmundo.es, 2010-04-19.;Mejías, Inma;El Mundo.es;2010;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;NA;"cariño para todos los invitados a la gala, entre los que estaba Jorge Sanz, su ""primer hijo"", Imanol Arias o Manolo Gómez Pereira. ""Mis hermanos se han convertido en mis amigos y mis amigos en mis hermanos"", ha comentado la actriz, que ha dado muestra de su sentido del humor y de su capacidad para hacer reir.";si;no;;;;causativa;
456;Perales Muñoz, Ana Andrea: «Perro y Mar». Bravo Iriarte, Olatz... [et al.]: Teatro Piezas breves. Alumnos RESAD. Curso 2006-2007. Madrid: Fundamentos, 2007.;Bravo Iriarte, Olatz... [et al.];Teatro Piezas breves. Alumnos RESAD. Curso 2006-2007;2007;Primera edición;Ficción;Escrito;Libro;Teatro;España;NA;Ficción;NA;/ me ponía detrás de él / mi cuerpo pegado al suyo / y le regalaba mis brazos / yo jugaba a adivinar lo que él deseaba / a veces sólo quería beber un vaso de agua / y otras peinarse / o escribir / algunos días yo no intentaba adivinarle / entonces jugaba a hacerle reír / le metía el dedo en la nariz / o hacía gestos obscenos con las manos / recuerdo un día / sentí su cuerpo caliente delante del mío / adiviné su deseo / mis manos empezaron a acariciar su cuerpo / ocurrió así / sin pensar / nunca hubo nada malo en todo aquello / era amor / el;si;no;;;;causativa;
474;Portinari, Beatriz: «El regreso (sin arresto) de los dueños de la risoterapia». El País.com. Madrid: elpais.com, 2010-01-21.;Portinari, Beatriz;El País.com;2010;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;NA;"ha definido por un ""teatro de acción"" naturalista, donde la cuerda es una cuerda y la pared es una pared, pero sin perder la ingenuidad de los gestos y el humor blanco. Para Paco Mir, ""el mimo es sencillamente contrario al humor y nosotros queríamos hacer algo divertido. Un mimo no te hace reír, sino reflexionar sobre lo que ves"". ""De hecho, nuestro paso del mimo clásico al teatro de acción quizás surgió a partir del Festival de Mimo de 1982, donde un crítico nos dijo que teníamos una excelente técnica pero nos faltaba imaginación. Nosotros veíamos que el mimo nos limitaba y decidimos hacer otra";si;no;;;;causativa;
487;Pulido, Natividad: «Fallece Rodrigo Uría, un humanista moderno que amó el Arte y el Derecho». ABC.es. Madrid: abc.es, 2007-07-18.;Pulido, Natividad;ABC.es;2007;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;NA;los sentidos, pues a sus múltiples actividades profesionales sumaba una gran humanidad) se paró en plena costa adriática. Supo vivir y supo morir, en el mar, como muchos sueñan, rodeado suponemos que de familiares y amigos, a quienes a buen seguro acabaría de brindar una de sus animadísimas conversaciones. Y les habría hecho reír. No hay duda. Sufrió un infarto mientras se hallaba, junto a otras siete personas, en un barco. Sus restos mortales se han trasladado a Dubrovnik, desde donde serán trasladados a España.;si;no;;;;causativa;
491;Racionero, Luis: «La X era Cantinflas». Desde el nirvana. www.republica.com/desde-el-nirvana/: republica.com/desde-el-nirvana/, 2010-11-14.;Racionero, Luis;Desde el nirvana;2010;Fecha de escritura;No ficción;Escrito;NA;Política, economía y justicia;España;NA;Blog;NA;Desde ese día consideré a González un insulto a la inteligencia y decidí combatirle para que España no se convirtiera en una dictadura bananera camuflada de PSOE. Así que apoyé a Charlot, a pesar que, de niño, me hacía reír más Cantinflas.;si;no;;;;causativa;
498;Reina, Sergio: «Arrástrame al infierno». Afición por y para el cine. http://critico-de-cine-aficionado.blogspot.com.es/: critico-de-cine-aficionado.blogspot.com.es/, 2009-11-02.;Reina, Sergio;Afición por y para el cine;2009;Fecha de escritura;No ficción;Escrito;NA;Artes, cultura y espectáculos;España;NA;Blog;NA;Quizá se heche en falta algún momento cómico fuera de las escenas de terror, como pasaba en sus anteriores trabajos, en los que el gran antiheroe Ash, lograba hacernos reír también fuera de las escenas de terror.;si;no;;;;causativa;
499;Reina, Sergio: «Noche en el museo 2». Afición por y para el cine. http://critico-de-cine-aficionado.blogspot.com.es/: critico-de-cine-aficionado.blogspot.com.es/, 2009-09-22.;Reina, Sergio;Afición por y para el cine;2009;Fecha de escritura;No ficción;Escrito;NA;Artes, cultura y espectáculos;España;NA;Blog;NA;(genial como siempre, y ojala tuviera más minutos), Robin Williams, Hank Azaria, y un divertido Jonah Hill, es una lástima que este último tan solo haga un cameo, pues para mi, participa en la escena más divertida de la película, y es un tipo que sabe muy bien la que hace para hacer reír.;si;no;;;;causativa;
503;Relaño, Borja: «Una partida que se juega sobre un tablero desgastado». Artez. Bilbao: artezblai.com/artez, 2009-03.;Relaño, Borja;Artez;2009;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;Periodicidad: mensual;"Clownclusiones'- ha acabado provocando el nacimiento de un espectáculo, una propuesta realizada por Círculo Solidario Euskadi con la idea de sensibilizar a la población sobre estos temas y sobre los que Oihulari Klown ha venido trabajando durante largo tiempo para poder tratar ""con madurez temas que son muy fuertes, y dar con las claves que nos permitan reírnos pero sin frivolizar, así como evitar el panfleto. En definitiva, se trata de invitar a la gente a reflexionar y plantearse estas cuestiones sin sentimiento de culpa ni de impotencia"", sostiene Imaz, subrayando que se trata de un espectáculo de teatro que no se ha de circunscribir solamente al ámbito de la";si;si;no;infinitivo;animado;semicausativa;
505;Reyes, Joaquín: «Qué frío hace en la cima». SOY UN CINÉFALO. La columna chanante de Joaquín Reyes. www.cinemania.es/category/cinefalo-2: cinemania.es/category/cinefalo-2, 2010-11-21.;Reyes, Joaquín;SOY UN CINÉFALO. La columna chanante de Joaquín Reyes;2010;Fecha de escritura;No ficción;Escrito;NA;Actualidad, ocio y vida cotidiana;España;NA;Blog;NA;Pero tener talento, pero TALENTO en mayúsculas, puede ser una carga. En el fondo sientes que tienes una misión en la vida, algo poderoso que guía tus pasos. En mi caso es hacer reír. El Dios de la comedia me tocó con su dedo. Me eligió a mí y a mis compinches (aunque a ellos en menor medida, claro) para que llevásemos la felicidad a las gentes con nuestras patochadas.;si;no;;;;causativa;
529;"Ruiz Mantilla, Jesús: «ENTREVISTA: Ian Gibson Hispanista. ""Machado era un libro abierto en sus versos""». El País.com. Madrid: elpais.com, 2006-04-16.";Ruiz Mantilla, Jesús;El País.com;2006;Primera edición;No ficción;Escrito;Prensa;Ciencias sociales, creencias y pensamiento;España;NA;NA;NA;R. Sí, pero también capaz de hacer reír, irónico. Podría haber sido un gran humorista, lo que es compatible con ser triste. Tenía un problema con su hermano, Manuel. Poeta, también, pero auténtico seductor Mañara y Bradomín. Antonio, en cambio, era tímido.;si;no;;;;causativa;
531;Ruiz Mantilla, Jesús: «Simon Rattle. La batuta más envidiada del mundo». El País.com. Madrid: elpais.com, 2007-07-01.;Ruiz Mantilla, Jesús;El País.com;2007;Primera edición;No ficción;Escrito;Prensa;Artes, cultura y espectáculos;España;NA;NA;NA;Es muy listo. Y tiene suerte, además de petróleo. A pesar de lo que se diga, se preocupa por el bienestar de su gente. Ante todo es un político, y en todos los lados hay gente despreciable. Por lo menos, él me hace reír, no como los neocon. El proyecto Abreu tiene un apoyo importante de su Gobierno, pero el hombre fundamental para que salga adelante es el propio Abreu. Es bueno saber que una sola persona puede conseguir tantas cosas.;si;no;;;;causativa;
540;Sánchez, Juan: «Capítulo 9. Viralizar el mensaje». Sanagustín Fernández, Eva [ed.]: Del 1.0 al 2.0: claves para entender el nuevo marketing. www.clavesdelnuevomarketing.com: clavesdelnuevomarketing.com, 2009.;Sanagustín Fernández, Eva [ed.];Del 1.0 al 2.0: claves para entender el nuevo marketing;2009;Primera edición;No ficción;Escrito;Libro;Política, economía y justicia;España;NA;Divulgación;NA;"de estructura empresarial (por ejemplo, nuevos puestos como el de Community manager) o a nivel de campaña. No pienses en una campaña de boca a oído como algo ilógico y rompedor que no lleva estrategia detrás. En ocasiones se escucha que ""esto va a generar buzz"" porque hay un teaser, porque ha hecho reír al CEO o porque hay bloggers de por medio. Invierte en estrategia entendida como consecuencia de análisis y comprensión y no crees por crear. El marketing de spray and pray no funciona, no lances sin pensar y no deberás rezar.";si;no;;;;causativa;
544;Santos, Care: «Permitan que les cuente». Elmundo.es. El Cultural. Madrid: elcultural.es, 2006-10-26.;Santos, Care;Elmundo.es. El Cultural;2006;Primera edición;No ficción;Escrito;Prensa;Ciencias sociales, creencias y pensamiento;España;NA;NA;NA;"Parece que busca sorprender al lector a cada momento, pero no sólo se trata de eso: también busca fascinarle con sus muchas referencias eruditas, darle que pensar al plantear ""a menudo a modo de fábula"" verdaderas parodias de los problemas del mundo actual y, sobre todo, hacerle reír. Se agradece esta heterogénea mezcla de citas cultas ""la Biblia, Lao Tse o Eisenstein"" junto a referencias populares: una alineación del Real Club Deportivo Espanyol o un verso de Albert Pla, el cantoautor. Una lee a Zabala y le da la impresión de que, de la pluma de un atrevido con tanto talento como";si;no;;;;causativa;
548;Segarra, Toni: Desde el otro lado del escaparate. Madrid: Espasa Calpe, 2009.;Segarra, Toni;Desde el otro lado del escaparate;2009;Primera edición;No ficción;Escrito;Libro;Artes, cultura y espectáculos;España;NA;NA;NA;O mejor dicho, fragmentos de conversaciones. Porque en general nosotros aparecemos cuando marca y consumidor ya llevan mucho tiempo hablando. A nosotros se nos pide variar el rumbo de esa conversación, animarla, obtener respuesta, convencer de algo en un momento determinado, hacer reír... Pero sobre todo hablar con sentido, con criterio y con personalidad, defendiendo un punto de vista, porque son las conversaciones las que nos explican.;si;no;;;;causativa;
